shortname: benhoyt_goawk-BuiltinGsubAmpersand
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
BuiltinGsubAmpersand,1.3193e-05,1%,4.3356e-05,0%,+228.63%,p=0.008 n=5,3.2744000000000004e-05,1%,+148.19%,p=0.008 n=5
geomean,1.319299999999999e-05,,4.335599999999999e-05,,+228.63%,,3.274399999999998e-05,,+148.19%,

shortname: benhoyt_goawk-NativeFunc
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
NativeFunc,7.378e-06,1%,2.9287000000000003e-05,1%,+296.95%,p=0.008 n=5,2.2256000000000002e-05,2%,+201.65%,p=0.008 n=5
geomean,7.377999999999994e-06,,2.9287000000000013e-05,,+296.95%,,2.2255999999999985e-05,,+201.65%,

shortname: benhoyt_goawk-RecursiveFunc
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
RecursiveFunc,1.2015000000000001e-05,3%,3.4135000000000004e-05,1%,+184.10%,p=0.008 n=5,2.7175000000000003e-05,1%,+126.18%,p=0.008 n=5
geomean,1.2014999999999998e-05,,3.413499999999999e-05,,+184.10%,,2.7174999999999986e-05,,+126.18%,

shortname: benhoyt_goawk-SimpleBuiltins
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
SimpleBuiltins,5.755e-07,1%,2.305e-06,2%,+300.52%,p=0.008 n=5,1.917e-06,1%,+233.10%,p=0.008 n=5
geomean,5.754999999999999e-07,,2.304999999999998e-06,,+300.52%,,1.917e-06,,+233.10%,

shortname: bloom_bits-BitSetExtractDeposit%2Fsize%3D64%2Ffn%3DDepositTo
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
BitSetExtractDeposit,2.1840000000000002e-08,1%,3.706e-08,0%,+69.69%,p=0.008 n=5,1.881e-08,0%,-13.87%,p=0.008 n=5
geomean,2.1839999999999992e-08,,3.706000000000004e-08,,+69.69%,,1.8810000000000014e-08,,-13.87%,

shortname: capnproto2-Growth_MultiSegment
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Growth_MultiSegment,0.01264252,0%,0.030635786,0%,+142.32%,p=0.008 n=5,0.022669518000000003,1%,+79.31%,p=0.008 n=5
geomean,0.012642520000000006,,0.030635786000000005,,+142.32%,,0.022669518000000003,,+79.31%,

shortname: capnproto2-Unmarshal_Reuse
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Unmarshal_Reuse,4.6000000000000004e-07,0%,1.049e-06,2%,+128.04%,p=0.008 n=5,8.033e-07,0%,+74.63%,p=0.008 n=5
geomean,4.6000000000000004e-07,,1.0489999999999998e-06,,+128.04%,,8.032999999999995e-07,,+74.63%,

shortname: commonmark_markdown-RenderSpecNoHTML
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
RenderSpecNoHTML,0.0043727570000000006,0%,0.012315743,0%,+181.65%,p=0.008 n=5,0.009035072,1%,+106.62%,p=0.008 n=5
geomean,0.004372756999999999,,0.012315742999999999,,+181.65%,,0.009035072,,+106.62%,

shortname: dustin_broadcast-ParallelBrodcast
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
ParallelBrodcast,5.555e-07,8%,2.9145000000000003e-05,5%,+5146.62%,p=0.008 n=5,2.8815e-05,1%,+5087.22%,p=0.008 n=5
geomean,5.555e-07,,2.9145000000000013e-05,,+5146.62%,,2.8815000000000018e-05,,+5087.22%,

shortname: dustin_humanize-BigCommas
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
BigCommas,3.7710000000000006e-07,0%,2.076e-06,0%,+450.52%,p=0.008 n=5,1.7270000000000002e-06,0%,+357.97%,p=0.008 n=5
geomean,3.771000000000003e-07,,2.0759999999999993e-06,,+450.52%,,1.7270000000000008e-06,,+357.97%,

shortname: dustin_humanize-Commaf
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Commaf,2.4780000000000004e-07,0%,1.1910000000000001e-06,1%,+380.63%,p=0.008 n=5,8.298e-07,1%,+234.87%,p=0.008 n=5
geomean,2.478000000000001e-07,,1.1910000000000005e-06,,+380.63%,,8.297999999999996e-07,,+234.87%,

shortname: dustin_humanize-ParseBytes
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
ParseBytes,8.837000000000002e-08,1%,3.4780000000000003e-07,6%,+293.57%,p=0.008 n=5,2.677e-07,1%,+202.93%,p=0.008 n=5
geomean,8.837e-08,,3.478e-07,,+293.57%,,2.6769999999999984e-07,,+202.93%,

shortname: dustin_humanize-ParseSI
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
ParseSI,3.919e-07,1%,1.666e-06,0%,+325.11%,p=0.008 n=5,1.2050000000000001e-06,1%,+207.48%,p=0.008 n=5
geomean,3.9190000000000017e-07,,1.6660000000000004e-06,,+325.11%,,1.2049999999999997e-06,,+207.48%,

shortname: ericlagergren_decimal-Mandelbrot_decimal_GDA_9
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Mandelbrot_decimal_GDA_9,3.390146547,0%,6.086848841,0%,+79.55%,p=0.008 n=5,5.930045166,0%,+74.92%,p=0.008 n=5
geomean,3.390146547,,6.086848841,,+79.55%,,5.930045166,,+74.92%,

shortname: ericlagergren_decimal-Pi%2Ffoo%3Dapmckinlay%2Fprec%3D19
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Pi,2.023e-06,1%,8.973e-06,1%,+343.55%,p=0.008 n=5,8.28e-06,2%,+309.29%,p=0.008 n=5
geomean,2.0229999999999987e-06,,8.972999999999995e-06,,+343.55%,,8.280000000000007e-06,,+309.29%,

shortname: ericlagergren_decimal-Pi%2Ffoo%3Dcockroachdb%2Fapd%2Fprec%3D100
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Pi,0.0047354960000000005,1%,0.03559635,0%,+651.69%,p=0.008 n=5,0.028456947000000003,0%,+500.93%,p=0.008 n=5
geomean,0.004735496000000002,,0.03559634999999999,,+651.69%,,0.028456947,,+500.93%,

shortname: ericlagergren_decimal-Pi%2Ffoo%3Dgo-inf%2Fprec%3D100
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Pi,9.0272e-05,1%,0.000301737,4%,+234.25%,p=0.008 n=5,0.000239647,1%,+165.47%,p=0.008 n=5
geomean,9.0272e-05,,0.00030173699999999984,,+234.25%,,0.00023964699999999992,,+165.47%,

shortname: gonum_community-NewDirectedLayers%2FgraphSize%3D10%2CnumGraphs%3D1
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
NewDirectedLayers,1.2280000000000001e-06,1%,1.4390000000000001e-06,2%,+17.18%,p=0.008 n=5,1.2390000000000001e-06,3%,~,p=0.167 n=5
geomean,1.2280000000000006e-06,,1.4389999999999997e-06,,+17.18%,,1.2389999999999995e-06,,+0.90%,

shortname: gonum_community-NewDirectedLayers%2FgraphSize%3D1000%2CnumGraphs%3D1
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
NewDirectedLayers,0.000142193,2%,0.00014819800000000002,2%,+4.22%,p=0.008 n=5,0.00013592,2%,-4.41%,p=0.008 n=5
geomean,0.0001421929999999999,,0.0001481979999999999,,+4.22%,,0.0001359200000000001,,-4.41%,

shortname: gonum_community-NewUndirectedLayers%2FgraphSize%3D1000%2CnumGraphs%3D10
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
NewUndirectedLayers,0.0017220970000000001,1%,0.001976045,0%,+14.75%,p=0.008 n=5,0.001812959,2%,+5.28%,p=0.008 n=5
geomean,0.0017220969999999995,,0.0019760449999999996,,+14.75%,,0.0018129590000000003,,+5.28%,

shortname: gonum_lapack_native-Dgeev%2FCirculant5
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Dgeev,9.4e-06,12%,5.4487e-05,0%,+479.65%,p=0.008 n=5,4.5084000000000004e-05,0%,+379.62%,p=0.008 n=5
geomean,9.400000000000001e-06,,5.448700000000004e-05,,+479.65%,,4.5084e-05,,+379.62%,

shortname: gonum_mat-AddScaledVec10Inc1
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
