benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	221573325169	415498591000	8847149000
IXGo	LLGoFullLTOGlobalDCE	196376718532	350461966000	8926221000
IXGo	LLGoNoLTO	116182261558	352002933000	7259828000
IXGo	LLGoFullLTOGlobalDCEPlugin	193994482970	347105410000	8649136000
IXGo	LLGoDeadcodeDrop	94197339518	311092341000	7975647000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	110185150243	170820275000	3356808000
Etcdctl	LLGoFullLTOGlobalDCE	109703469484	170037979000	3463838000
Etcdctl	LLGoFullLTONoGlobalDCE	102880962126	159155206000	3321206000
Etcdctl	LLGoDeadcodeDrop	43530512892	123985560000	3233678000
Etcdctl	LLGoNoLTO	42307638808	121903935000	2961521000
XGo	LLGoFullLTOGlobalDCEPlugin	88156851014	121880694000	2405218000
XGo	LLGoFullLTOGlobalDCE	84076875231	117961988000	2374473000
XGo	LLGoFullLTONoGlobalDCE	82030361545	114375329000	2306245000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	70200562061	93764524000	1856694000
Aws_restjson	LLGoFullLTONoGlobalDCE	69391651446	90663120000	1675315000
Aws_restjson	LLGoFullLTOGlobalDCE	60855061667	83081941000	1740600000
XGo	LLGoDeadcodeDrop	28343669586	70079428000	2003679000
XGo	LLGoNoLTO	26812228328	67837085000	1890606000
Uber_zap	LLGoFullLTONoGlobalDCE	53313044757	68361776000	1244985000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	47665963262	63716363000	1253364000
Uber_zap	LLGoFullLTOGlobalDCE	46656470603	61960360000	1218686000
Aws_restjson	LLGoDeadcodeDrop	26118506128	52180268000	1358338000
Aws_restjson	LLGoNoLTO	26486761461	51991156000	1432203000
IXGo	Go	15218836504	48228287000	4181802000
Gorm_schema	LLGoFullLTOGlobalDCE	28576162342	40388013000	1027877000
Gorm_schema	LLGoFullLTONoGlobalDCE	27768778446	38474120000	928243000
Uber_zap	LLGoDeadcodeDrop	16892829949	35665729000	1009810000
Uber_zap	LLGoNoLTO	16493726789	35524649000	990315000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	19934266339	31139517000	942853000
Toml	LLGoFullLTONoGlobalDCE	23342660989	29949869000	766397000
Toml	LLGoFullLTOGlobalDCE	19748590122	27454866000	746367000
Toml	LLGoFullLTOGlobalDCEPlugin	19891544563	27352615000	750248000
Gorm_schema	LLGoDeadcodeDrop	8634814727	24142168000	861415000
Gorm_schema	LLGoNoLTO	8524260820	23581271000	908877000
Dustin_humanize	LLGoFullLTONoGlobalDCE	17985986949	22173308000	602517000
Etcdctl	Go	6839927717	20519290000	1767530000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	12064726199	16159375000	600593000
Dustin_humanize	LLGoFullLTOGlobalDCE	11770804773	15735812000	580671000
Toml	LLGoDeadcodeDrop	6322806700	15447846000	742600000
Toml	LLGoNoLTO	5750989782	14218700000	648596000
XGo	Go	3578881667	10974223000	934934000
Dustin_humanize	LLGoDeadcodeDrop	4152715968	8594667000	535387000
Dustin_humanize	LLGoNoLTO	3853726659	8434804000	488749000
Aws_restjson	Go	2106176763	4555111000	523710000
Gorm_schema	Go	1367588475	3308745000	292088000
Uber_zap	Go	1426229453	3246553000	299930000
K8s_workqueue	Go	2161450987	2992387000	464090000
Toml	Go	700123735	1111256000	186321000
Dustin_humanize	Go	260228015	414042000	111182000
