benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	297818857965	566032783000	13545015000
IXGo	LLGoFullLTONoGlobalDCE	292505804751	550379195000	12004294000
IXGo	LLGoFullLTOGlobalDCEPlugin	281966023279	518040816000	12839552000
IXGo	LLGoDeadcodeDrop	149615393855	475654943000	10678599000
IXGo	LLGoNoLTO	141869068346	456075232000	10474029000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	159676342815	249630060000	5122945000
Etcdctl	LLGoFullLTONoGlobalDCE	160873016150	248613486000	5240338000
Etcdctl	LLGoFullLTOGlobalDCE	157964057697	246819223000	4944548000
Etcdctl	LLGoDeadcodeDrop	63559187297	180590764000	4655130000
XGo	LLGoFullLTOGlobalDCE	130978369329	180173297000	3583226000
Etcdctl	LLGoNoLTO	60418333353	175139257000	4282948000
XGo	LLGoFullLTOGlobalDCEPlugin	124201547783	173240612000	3488052000
XGo	LLGoFullLTONoGlobalDCE	124682054879	172879828000	3498039000
Aws_restjson	LLGoFullLTONoGlobalDCE	101190652682	133506688000	2557782000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	92430243758	126762298000	2573226000
Aws_restjson	LLGoFullLTOGlobalDCE	88876986059	121975443000	2411631000
Uber_zap	LLGoFullLTONoGlobalDCE	82571326245	105087355000	1910297000
XGo	LLGoDeadcodeDrop	41929680714	103612150000	3172380000
XGo	LLGoNoLTO	40351796690	101390854000	2914593000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	73471472264	97603834000	1965394000
Uber_zap	LLGoFullLTOGlobalDCE	72725526088	97124783000	1905282000
Aws_restjson	LLGoDeadcodeDrop	40945043207	81725063000	2248740000
Aws_restjson	LLGoNoLTO	39390697785	79140860000	2121811000
IXGo	Go	22773677709	74619482000	5489795000
Gorm_schema	LLGoFullLTONoGlobalDCE	43384577829	60288402000	1418283000
Gorm_schema	LLGoFullLTOGlobalDCE	42200694478	59349951000	1458347000
Uber_zap	LLGoDeadcodeDrop	25082650758	54764234000	1599662000
Uber_zap	LLGoNoLTO	24440308937	52980533000	1526745000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	31051280712	48633900000	1392991000
Toml	LLGoFullLTONoGlobalDCE	36056243834	46083669000	1101103000
Toml	LLGoFullLTOGlobalDCEPlugin	29635732436	40923624000	1166325000
Toml	LLGoFullLTOGlobalDCE	28738130860	38842377000	1159153000
Gorm_schema	LLGoDeadcodeDrop	12911741469	36593192000	1259339000
Gorm_schema	LLGoNoLTO	12415452548	35004937000	1248029000
Dustin_humanize	LLGoFullLTONoGlobalDCE	27029132797	32699141000	917777000
Etcdctl	Go	9630452937	29663634000	2167952000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	18160819682	24454156000	962232000
Dustin_humanize	LLGoFullLTOGlobalDCE	18047961128	24501970000	908474000
Toml	LLGoDeadcodeDrop	8727638639	22146105000	1086174000
Toml	LLGoNoLTO	8677741733	21530978000	1003621000
XGo	Go	5511305073	17143265000	1365052000
Dustin_humanize	LLGoDeadcodeDrop	5769375807	12498041000	762206000
Dustin_humanize	LLGoNoLTO	5669460889	12368918000	761866000
Aws_restjson	Go	3188638766	7091901000	740783000
Gorm_schema	Go	2128482258	5095094000	417533000
Uber_zap	Go	2301018805	4741202000	586994000
K8s_workqueue	Go	2090070048	4161383000	682724000
Toml	Go	1032042693	1779989000	263012000
Dustin_humanize	Go	384987843	659897000	154241000
