benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	540877896467	757509823000	6763043000
IXGo	LLGoFullLTOGlobalDCE	520389496503	735463831000	6650540000
IXGo	LLGoFullLTONoGlobalDCE	499065567694	710219468000	6486253000
IXGo	LLGoDeadcodeDrop	150744273639	419606718000	5778209000
IXGo	LLGoNoLTO	149615665074	408917208000	5673489000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	164481426501	268626697000	4960704000
Etcdctl	LLGoFullLTOGlobalDCE	162797474741	266457912000	4784590000
Etcdctl	LLGoFullLTONoGlobalDCE	161581562629	262218644000	4614187000
Etcdctl	LLGoDeadcodeDrop	65453550708	195638363000	4076392000
Etcdctl	LLGoNoLTO	64896459344	194645877000	4322569000
XGo	LLGoFullLTOGlobalDCE	125079822961	178852159000	3313942000
XGo	LLGoFullLTOGlobalDCEPlugin	123953218669	175660878000	3157651000
XGo	LLGoFullLTONoGlobalDCE	122917951096	174019502000	3064236000
Aws_restjson	LLGoFullLTONoGlobalDCE	104685427397	141096206000	2371826000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	92560018181	130544238000	2335970000
Aws_restjson	LLGoFullLTOGlobalDCE	91451429860	129160423000	2241805000
Uber_zap	LLGoFullLTONoGlobalDCE	83662266639	108552538000	1722884000
XGo	LLGoDeadcodeDrop	40318583014	106381374000	2934407000
XGo	LLGoNoLTO	39583313949	103878391000	2851992000
K8s_workqueue	LLGoFullLTOGlobalDCE	81140845419	103226159000	1717640000
K8s_workqueue	LLGoFullLTONoGlobalDCE	80269131284	102059373000	1893394000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	74060401101	100252704000	1713820000
Uber_zap	LLGoFullLTOGlobalDCE	73912171944	99360481000	1711549000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	70156040474	92946058000	1821194000
Aws_restjson	LLGoDeadcodeDrop	38615372305	82503032000	2035758000
Aws_restjson	LLGoNoLTO	37831203282	80028747000	2025838000
Gorm_schema	LLGoFullLTOGlobalDCE	45542549852	64713949000	1431018000
Gorm_schema	LLGoFullLTONoGlobalDCE	44839806287	63587182000	1348252000
Uber_zap	LLGoDeadcodeDrop	24529879961	56401117000	1490051000
Uber_zap	LLGoNoLTO	23880820200	54478568000	1459481000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	34247173633	53861725000	1371848000
Toml	LLGoFullLTONoGlobalDCE	39425466790	50394661000	989439000
K8s_workqueue	LLGoDeadcodeDrop	22329050103	48679983000	1492669000
K8s_workqueue	LLGoNoLTO	22021753750	48201032000	1526062000
Toml	LLGoFullLTOGlobalDCE	31984834828	43921910000	1019232000
IXGo	Go	12634279273	41232900000	3034535000
Toml	LLGoFullLTOGlobalDCEPlugin	31355122869	43181973000	992635000
Gorm_schema	LLGoDeadcodeDrop	12722184957	37680669000	1245871000
Gorm_schema	LLGoNoLTO	12234977245	36802788000	1139660000
Etcdctl	Go	10130989603	31468907000	2084958000
Dustin_humanize	LLGoFullLTONoGlobalDCE	25973199698	32497836000	812986000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17957828168	25144069000	787943000
Toml	LLGoDeadcodeDrop	9406716694	23965967000	971997000
Dustin_humanize	LLGoFullLTOGlobalDCE	17133857860	23996885000	767941000
Toml	LLGoNoLTO	8834484693	22960097000	911525000
XGo	Go	5486869250	17564951000	1175843000
Dustin_humanize	LLGoDeadcodeDrop	5860524102	13117086000	704004000
Dustin_humanize	LLGoNoLTO	5715893167	12969166000	697483000
Aws_restjson	Go	3194459556	7328569000	630361000
Gorm_schema	Go	2178057011	5357988000	425715000
Uber_zap	Go	2219949568	5312530000	426338000
K8s_workqueue	Go	1668895558	4260582000	395826000
Toml	Go	964731804	1889043000	217758000
Dustin_humanize	Go	408361779	723705000	119829000
