benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	277944234784	416101182000	4514161000
IXGo	LLGoFullLTOGlobalDCE	263234370040	399595559000	4603892000
IXGo	LLGoFullLTONoGlobalDCE	240946806861	367248036000	4351298000
IXGo	LLGoNoLTO	85389988115	256446608000	3805577000
IXGo	LLGoDeadcodeDrop	86290445932	251208013000	3929886000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	101527058540	161245522000	3389088000
Etcdctl	LLGoFullLTOGlobalDCE	100046808107	159155733000	3228834000
Etcdctl	LLGoFullLTONoGlobalDCE	100615597769	158738971000	3339431000
Etcdctl	LLGoDeadcodeDrop	40214759297	116271596000	2748920000
Etcdctl	LLGoNoLTO	38413660345	112401422000	2786180000
XGo	LLGoFullLTOGlobalDCEPlugin	77125970806	107375243000	2107757000
XGo	LLGoFullLTOGlobalDCE	77250493169	107243629000	2049360000
XGo	LLGoFullLTONoGlobalDCE	77220338711	106973790000	2078838000
Aws_restjson	LLGoFullLTONoGlobalDCE	63301066295	82729013000	1582263000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	57088474231	76585836000	1575506000
Aws_restjson	LLGoFullLTOGlobalDCE	55841984230	76244184000	1489226000
Uber_zap	LLGoFullLTONoGlobalDCE	52895596707	66599856000	1091247000
K8s_workqueue	LLGoFullLTOGlobalDCE	50556703519	62819906000	1134764000
XGo	LLGoDeadcodeDrop	24339671414	61980713000	1816368000
XGo	LLGoNoLTO	24042076084	61313921000	1783536000
K8s_workqueue	LLGoFullLTONoGlobalDCE	49939356573	61863898000	1219975000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	46022557298	60623134000	1241132000
Uber_zap	LLGoFullLTOGlobalDCE	46112630644	60205924000	1125964000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	42761035437	55034028000	1211158000
Aws_restjson	LLGoNoLTO	24125564661	48667191000	1267873000
Aws_restjson	LLGoDeadcodeDrop	23511290416	47937311000	1358697000
Gorm_schema	LLGoFullLTONoGlobalDCE	27314857833	37600782000	849203000
Gorm_schema	LLGoFullLTOGlobalDCE	26652096438	36965936000	905709000
Uber_zap	LLGoNoLTO	15884341137	33597509000	956893000
Uber_zap	LLGoDeadcodeDrop	15974950551	33353744000	928155000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	20807909902	31369356000	896698000
Toml	LLGoFullLTONoGlobalDCE	23793441640	29998773000	673424000
K8s_workqueue	LLGoDeadcodeDrop	14692193056	28967676000	961069000
K8s_workqueue	LLGoNoLTO	13890173382	28412545000	947888000
Toml	LLGoFullLTOGlobalDCEPlugin	19310667775	25778536000	709817000
IXGo	Go	7557440411	23966859000	2075345000
Toml	LLGoFullLTOGlobalDCE	19003810706	25158892000	677244000
Gorm_schema	LLGoDeadcodeDrop	7286382934	21255217000	779709000
Gorm_schema	LLGoNoLTO	7039471566	20282213000	800982000
Dustin_humanize	LLGoFullLTONoGlobalDCE	15895000601	19390480000	559627000
Etcdctl	Go	5921585035	18290935000	1378056000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	10780363730	14760181000	523852000
Dustin_humanize	LLGoFullLTOGlobalDCE	10510003349	14101629000	512862000
Toml	LLGoDeadcodeDrop	5188133077	13194620000	629079000
Toml	LLGoNoLTO	5013167610	12730703000	605496000
XGo	Go	3331007933	10441778000	820588000
Dustin_humanize	LLGoDeadcodeDrop	3753082920	7237184000	461996000
Dustin_humanize	LLGoNoLTO	3314987693	7214458000	447027000
Aws_restjson	Go	1876053628	4138556000	465511000
Gorm_schema	Go	1265017149	3062530000	274573000
Uber_zap	Go	1200469329	2818423000	265881000
K8s_workqueue	Go	983940294	2445723000	291623000
Toml	Go	544929711	1038371000	149908000
Dustin_humanize	Go	226799222	375067000	91059000
