benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	294489677034	559178550000	12045911000
IXGo	LLGoFullLTOGlobalDCE	298317272378	555543934000	12852578000
IXGo	LLGoFullLTONoGlobalDCE	278744619252	520754455000	11203295000
IXGo	LLGoDeadcodeDrop	131528487081	434909484000	10233464000
IXGo	LLGoNoLTO	125700904944	411839214000	10940190000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	174386667968	296401806000	5096477000
Etcdctl	LLGoFullLTOGlobalDCE	167769455533	286666442000	4901538000
Etcdctl	LLGoFullLTONoGlobalDCE	168253240744	285389215000	4884726000
Etcdctl	LLGoDeadcodeDrop	74405321402	225515224000	4669700000
Etcdctl	LLGoNoLTO	71555226468	219787890000	4119753000
XGo	LLGoFullLTOGlobalDCE	128122514001	182257477000	3368126000
XGo	LLGoFullLTOGlobalDCEPlugin	126659698915	181894678000	3401434000
XGo	LLGoFullLTONoGlobalDCE	126397527914	180336161000	3283268000
Aws_restjson	LLGoFullLTONoGlobalDCE	138640106260	173701964000	2513609000
Aws_restjson	LLGoFullLTOGlobalDCE	119496183652	155222984000	2221966000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	118101567713	154274802000	2280242000
Aws_restjson	LLGoDeadcodeDrop	70847656506	113113833000	2172245000
Aws_restjson	LLGoNoLTO	70938854273	112776400000	2021008000
XGo	LLGoDeadcodeDrop	42810940915	111239127000	2927652000
XGo	LLGoNoLTO	42088648147	109143423000	2790785000
Uber_zap	LLGoFullLTONoGlobalDCE	84593047809	109516524000	1791187000
K8s_workqueue	LLGoFullLTOGlobalDCE	80945626564	102985692000	1788191000
K8s_workqueue	LLGoFullLTONoGlobalDCE	81272893811	102914152000	1776100000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	74021643440	100397946000	1887685000
Uber_zap	LLGoFullLTOGlobalDCE	73591216340	99179142000	1794371000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	67382290886	89622413000	1817584000
IXGo	Go	23757481820	79157266000	5107423000
Gorm_schema	LLGoFullLTONoGlobalDCE	43815768171	62398563000	1402525000
Gorm_schema	LLGoFullLTOGlobalDCE	42302689075	61172577000	1386261000
Uber_zap	LLGoDeadcodeDrop	25996127280	57884750000	1465584000
Uber_zap	LLGoNoLTO	25546403297	56892134000	1444508000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	32414754526	51894356000	1346096000
K8s_workqueue	LLGoNoLTO	25041378568	51332738000	1672364000
K8s_workqueue	LLGoDeadcodeDrop	23654208423	50099439000	1493623000
Toml	LLGoFullLTONoGlobalDCE	36982797063	48360953000	1051002000
Toml	LLGoFullLTOGlobalDCEPlugin	29467462357	41836481000	1069652000
Toml	LLGoFullLTOGlobalDCE	29980177273	41519165000	1166645000
Gorm_schema	LLGoDeadcodeDrop	13771040014	39945276000	1246864000
Gorm_schema	LLGoNoLTO	13385217633	39263134000	1194745000
Dustin_humanize	LLGoFullLTONoGlobalDCE	27263896241	34286599000	911426000
Etcdctl	Go	10697988235	31909785000	2402657000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	18398675442	25729454000	843349000
Dustin_humanize	LLGoFullLTOGlobalDCE	18415030663	25111330000	819272000
Toml	LLGoDeadcodeDrop	9459808097	24463070000	1072281000
Toml	LLGoNoLTO	9414170688	24013706000	1004023000
XGo	Go	5808403276	18239707000	1187734000
Dustin_humanize	LLGoDeadcodeDrop	5960962778	13084781000	724628000
Dustin_humanize	LLGoNoLTO	5923631687	13038763000	764104000
Aws_restjson	Go	3249485589	7277733000	684036000
Gorm_schema	Go	2653549502	5433040000	572668000
Uber_zap	Go	2099648220	4905887000	435444000
K8s_workqueue	Go	2156651470	4301581000	589755000
Toml	Go	940807432	1830880000	242722000
Dustin_humanize	Go	402629016	681681000	155489000
