benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	241270927137	419006781000	9875630000
IXGo	LLGoFullLTOGlobalDCEPlugin	237882038129	418056687000	10414122000
IXGo	LLGoFullLTONoGlobalDCE	230322077091	403122553000	9758857000
IXGo	LLGoDeadcodeDrop	99404067434	312997411000	8711633000
IXGo	LLGoNoLTO	93091262462	298564753000	9132262000
Etcdctl	LLGoFullLTOGlobalDCE	131234333581	199277257000	4183962000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	125261803794	197971368000	3978271000
Etcdctl	LLGoFullLTONoGlobalDCE	135635824606	192580287000	4040353000
Etcdctl	LLGoDeadcodeDrop	47183501221	137137663000	3588756000
Etcdctl	LLGoNoLTO	49190149277	136858293000	3565770000
Aws_restjson	LLGoFullLTONoGlobalDCE	108811265340	135522987000	1891119000
XGo	LLGoFullLTONoGlobalDCE	101669631927	134387603000	2786041000
XGo	LLGoFullLTOGlobalDCE	96844469953	132233918000	2785577000
XGo	LLGoFullLTOGlobalDCEPlugin	93292966633	128827834000	2525976000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	104337523444	124154458000	1980151000
Aws_restjson	LLGoFullLTOGlobalDCE	98810336553	121707032000	2033926000
Aws_restjson	LLGoNoLTO	63916939935	94942692000	1598168000
Aws_restjson	LLGoDeadcodeDrop	59618402815	89982713000	1605698000
Uber_zap	LLGoFullLTONoGlobalDCE	61299218722	77822116000	1478318000
XGo	LLGoDeadcodeDrop	35301675496	76844376000	2363370000
XGo	LLGoNoLTO	30879339360	75415002000	2256534000
K8s_workqueue	LLGoFullLTOGlobalDCE	58808996323	73421533000	1370579000
K8s_workqueue	LLGoFullLTONoGlobalDCE	58575330923	73290713000	1435335000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	58000274639	71709735000	1530881000
Uber_zap	LLGoFullLTOGlobalDCE	52836644120	70026693000	1506990000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	48259078331	63271941000	1365278000
IXGo	Go	36684759484	53745594000	4843210000
Gorm_schema	LLGoFullLTONoGlobalDCE	32092298407	44293394000	1131026000
Gorm_schema	LLGoFullLTOGlobalDCE	32020179380	43709019000	1119370000
Uber_zap	LLGoDeadcodeDrop	17477610910	39819831000	1219142000
Uber_zap	LLGoNoLTO	18424785165	38711682000	1333283000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	24976012956	38788207000	1169607000
Toml	LLGoFullLTONoGlobalDCE	30903355826	35474284000	863857000
K8s_workqueue	LLGoDeadcodeDrop	21983691131	34809108000	1224884000
K8s_workqueue	LLGoNoLTO	15766059214	34007651000	1146566000
Toml	LLGoFullLTOGlobalDCEPlugin	22389624497	30599097000	846444000
Toml	LLGoFullLTOGlobalDCE	21887121293	30213013000	804439000
Gorm_schema	LLGoDeadcodeDrop	9781010978	26643458000	1015983000
Gorm_schema	LLGoNoLTO	12211160633	25644243000	1010801000
Dustin_humanize	LLGoFullLTONoGlobalDCE	20906276871	25458343000	669978000
Etcdctl	Go	7105041480	21762920000	1860002000
Dustin_humanize	LLGoFullLTOGlobalDCE	14337659084	19228628000	640205000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	13865021488	18415359000	640919000
Toml	LLGoDeadcodeDrop	8332618578	17548684000	769505000
Toml	LLGoNoLTO	9944129000	15852334000	752922000
XGo	Go	5402333534	12120857000	1036592000
Dustin_humanize	LLGoDeadcodeDrop	4947208027	9617449000	565606000
Dustin_humanize	LLGoNoLTO	4344482116	9121146000	514510000
Aws_restjson	Go	2762189595	5260603000	621816000
Gorm_schema	Go	1540650286	3663257000	315603000
Uber_zap	Go	1737340150	3435998000	323312000
K8s_workqueue	Go	10701993313	3213963000	468131000
Toml	Go	635216730	1242557000	143086000
Dustin_humanize	Go	277942157	460718000	107901000
