benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	385363139315	572175670000	4925333000
IXGo	LLGoFullLTOGlobalDCE	358829649429	535830465000	4877859000
IXGo	LLGoFullLTOGlobalDCEPlugin	322061522509	480470058000	4941232000
IXGo	LLGoDeadcodeDrop	117803897130	342571357000	4563446000
IXGo	LLGoNoLTO	105169047538	304998687000	4337898000
Etcdctl	LLGoFullLTOGlobalDCE	117867501406	188031353000	3736579000
Etcdctl	LLGoFullLTONoGlobalDCE	112300324280	177860812000	3374902000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	110148661751	176281368000	3459323000
Etcdctl	LLGoDeadcodeDrop	45442071371	131311412000	3367424000
Etcdctl	LLGoNoLTO	44548706472	130032150000	3141329000
XGo	LLGoFullLTOGlobalDCE	90112295682	124501129000	2371805000
XGo	LLGoFullLTONoGlobalDCE	90019235993	123672281000	2283461000
XGo	LLGoFullLTOGlobalDCEPlugin	87985789423	121412446000	2356192000
Aws_restjson	LLGoFullLTONoGlobalDCE	75363242563	98252169000	1688551000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	65979784680	88555134000	1735716000
Aws_restjson	LLGoFullLTOGlobalDCE	64974331342	88158646000	1600358000
Uber_zap	LLGoFullLTONoGlobalDCE	57689395136	73378735000	1245089000
K8s_workqueue	LLGoFullLTOGlobalDCE	56684092865	70355273000	1282665000
XGo	LLGoDeadcodeDrop	26764537978	68800645000	1974695000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	53518819844	68952641000	1445903000
XGo	LLGoNoLTO	26403641247	68334141000	1974031000
K8s_workqueue	LLGoFullLTONoGlobalDCE	54740016909	67662952000	1186089000
Uber_zap	LLGoFullLTOGlobalDCE	51779266556	66970364000	1183916000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	45481270564	58514768000	1242637000
Aws_restjson	LLGoNoLTO	28273534880	55363984000	1459468000
Aws_restjson	LLGoDeadcodeDrop	26819204626	54502966000	1542702000
Gorm_schema	LLGoFullLTOGlobalDCE	31114997658	42920792000	1003550000
Gorm_schema	LLGoFullLTONoGlobalDCE	30475893176	42098225000	981805000
Uber_zap	LLGoDeadcodeDrop	17726895352	38751025000	1073229000
Uber_zap	LLGoNoLTO	17573099863	36829810000	1109317000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	23017349818	34744637000	980955000
Toml	LLGoFullLTONoGlobalDCE	27006601026	34000305000	812907000
K8s_workqueue	LLGoDeadcodeDrop	16721762801	33719383000	1092466000
K8s_workqueue	LLGoNoLTO	16080096220	33334274000	1070900000
Toml	LLGoFullLTOGlobalDCE	21946594327	29063053000	754928000
IXGo	Go	8547819281	26913646000	2268253000
Toml	LLGoFullLTOGlobalDCEPlugin	21104346586	27986989000	736230000
Gorm_schema	LLGoNoLTO	8560653765	24601804000	875363000
Gorm_schema	LLGoDeadcodeDrop	8583250221	24516380000	941990000
Etcdctl	Go	6609885017	20304778000	1517051000
Dustin_humanize	LLGoFullLTONoGlobalDCE	16786419431	20940055000	548629000
Dustin_humanize	LLGoFullLTOGlobalDCE	13068729131	17423033000	601101000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	12378179348	16651705000	601638000
Toml	LLGoDeadcodeDrop	5957946366	15107509000	695877000
Toml	LLGoNoLTO	5585312426	13876054000	653629000
XGo	Go	3747643421	11931376000	866320000
Dustin_humanize	LLGoDeadcodeDrop	4055185907	8656683000	510782000
Dustin_humanize	LLGoNoLTO	3789268989	8060628000	498635000
Aws_restjson	Go	2295655876	4936475000	502898000
Gorm_schema	Go	1494415598	3525941000	281856000
Uber_zap	Go	1467786226	3303384000	347207000
K8s_workqueue	Go	1061860611	2593949000	330826000
Toml	Go	681960080	1235705000	169524000
Dustin_humanize	Go	270167217	432212000	99888000
