benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	614034334430	850349459000	7299522000
IXGo	LLGoFullLTOGlobalDCE	474574907036	689684196000	7183397000
IXGo	LLGoFullLTONoGlobalDCE	480209208346	685738532000	6796702000
IXGo	LLGoDeadcodeDrop	136284685533	412338873000	6460400000
IXGo	LLGoNoLTO	138895447202	411664707000	6020699000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	166115316148	262090458000	5424455000
Etcdctl	LLGoFullLTOGlobalDCE	161726294437	256570389000	5177313000
Etcdctl	LLGoFullLTONoGlobalDCE	164479110575	256721812000	4975398000
Etcdctl	LLGoNoLTO	64837710989	189132442000	4560401000
Etcdctl	LLGoDeadcodeDrop	64014634916	188374264000	4638306000
XGo	LLGoFullLTOGlobalDCEPlugin	129184571103	178193950000	3423230000
XGo	LLGoFullLTOGlobalDCE	127371065796	176645372000	3358597000
XGo	LLGoFullLTONoGlobalDCE	128304836229	175992279000	3421510000
Aws_restjson	LLGoFullLTONoGlobalDCE	107544136260	140378737000	2408362000
Aws_restjson	LLGoFullLTOGlobalDCE	94833330521	128019346000	2497207000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	93049125211	127098407000	2492881000
Uber_zap	LLGoFullLTONoGlobalDCE	89592743162	112231012000	1881065000
XGo	LLGoDeadcodeDrop	41938112430	103888853000	2878421000
K8s_workqueue	LLGoFullLTONoGlobalDCE	83368657154	103475071000	1803006000
K8s_workqueue	LLGoFullLTOGlobalDCE	82235233793	101970643000	2029037000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	77186125535	101232054000	1883912000
Uber_zap	LLGoFullLTOGlobalDCE	76676454354	100124043000	1816685000
XGo	LLGoNoLTO	38793144885	98966014000	2756570000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	72440781193	92823260000	1730359000
Aws_restjson	LLGoDeadcodeDrop	40477828918	80992020000	2188173000
Aws_restjson	LLGoNoLTO	37880126021	77781842000	2151440000
Gorm_schema	LLGoFullLTONoGlobalDCE	46090783802	63497952000	1351642000
Gorm_schema	LLGoFullLTOGlobalDCE	44109978133	61240702000	1481252000
Uber_zap	LLGoDeadcodeDrop	24543266986	53611862000	1519646000
Uber_zap	LLGoNoLTO	25217696856	53667915000	1444933000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	34370169377	52187940000	1376725000
Toml	LLGoFullLTONoGlobalDCE	39838625201	49722006000	1121615000
K8s_workqueue	LLGoNoLTO	24687379196	48181863000	1639402000
K8s_workqueue	LLGoDeadcodeDrop	22670091151	46688932000	1637493000
Toml	LLGoFullLTOGlobalDCEPlugin	32869086755	43650597000	1120348000
IXGo	Go	12880455046	41033376000	3309392000
Toml	LLGoFullLTOGlobalDCE	32176710920	42307359000	1129619000
Gorm_schema	LLGoDeadcodeDrop	12035344370	35118206000	1197348000
Gorm_schema	LLGoNoLTO	11891752564	34631389000	1193620000
Dustin_humanize	LLGoFullLTONoGlobalDCE	25558615388	31279796000	829411000
Etcdctl	Go	9726024955	29877602000	2172332000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17779119607	23884613000	863921000
Dustin_humanize	LLGoFullLTOGlobalDCE	17732197509	23655527000	881518000
Toml	LLGoDeadcodeDrop	8715441295	22016858000	1083711000
Toml	LLGoNoLTO	8663018684	21570677000	973214000
XGo	Go	5432857121	17203277000	1285949000
Dustin_humanize	LLGoDeadcodeDrop	5417199290	11771852000	708182000
Dustin_humanize	LLGoNoLTO	5233270855	11414347000	766219000
Aws_restjson	Go	3388742037	7306177000	740030000
Gorm_schema	Go	2159126701	5246189000	397112000
Uber_zap	Go	2083255111	4774452000	462470000
K8s_workqueue	Go	1633982495	4055751000	467788000
Toml	Go	945780227	1779383000	256041000
Dustin_humanize	Go	382462205	653324000	161582000
