benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	563219537182	779896971000	6320577000
IXGo	LLGoFullLTOGlobalDCE	548980237940	758623045000	6525257000
IXGo	LLGoFullLTOGlobalDCEPlugin	511861417274	734634820000	6582306000
IXGo	LLGoNoLTO	150215841320	422960649000	5562410000
IXGo	LLGoDeadcodeDrop	144235845370	411452128000	6000677000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	162182960809	264742497000	4550684000
Etcdctl	LLGoFullLTOGlobalDCE	159825545089	260864455000	4504458000
Etcdctl	LLGoFullLTONoGlobalDCE	159701752622	259197614000	4202997000
Etcdctl	LLGoDeadcodeDrop	64940854040	194142631000	4020754000
Etcdctl	LLGoNoLTO	64223207365	193557069000	4070175000
XGo	LLGoFullLTOGlobalDCE	125745754520	179228004000	3096277000
XGo	LLGoFullLTOGlobalDCEPlugin	122492376329	175224432000	2975330000
XGo	LLGoFullLTONoGlobalDCE	122468920924	172472045000	2886940000
Aws_restjson	LLGoFullLTONoGlobalDCE	103399873039	139223506000	2155612000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	89659825385	127068146000	2111886000
Aws_restjson	LLGoFullLTOGlobalDCE	89826788553	125354427000	2205273000
Uber_zap	LLGoFullLTONoGlobalDCE	82902911189	107533365000	1750462000
XGo	LLGoDeadcodeDrop	39033028512	103868591000	2592054000
K8s_workqueue	LLGoFullLTOGlobalDCE	80643097825	102892962000	1678690000
K8s_workqueue	LLGoFullLTONoGlobalDCE	80869807783	102421040000	1652529000
XGo	LLGoNoLTO	38543085983	101438804000	2547750000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	74508246439	100089612000	1652932000
Uber_zap	LLGoFullLTOGlobalDCE	73456610694	98623017000	1710892000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	68413448233	90814659000	1693766000
Aws_restjson	LLGoDeadcodeDrop	39213382010	82710011000	1865067000
Aws_restjson	LLGoNoLTO	38296182786	80911325000	1875708000
Gorm_schema	LLGoFullLTOGlobalDCE	43469159778	62208217000	1307917000
Gorm_schema	LLGoFullLTONoGlobalDCE	43643868036	61460648000	1248184000
Uber_zap	LLGoDeadcodeDrop	24235979389	55761625000	1430674000
Uber_zap	LLGoNoLTO	23477316123	54032569000	1481863000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	33834287415	52879099000	1252606000
Toml	LLGoFullLTONoGlobalDCE	38606075492	49415040000	926183000
K8s_workqueue	LLGoDeadcodeDrop	21657466458	47571366000	1374860000
K8s_workqueue	LLGoNoLTO	21215524279	46742230000	1316102000
IXGo	Go	12756637118	41216381000	2970085000
Toml	LLGoFullLTOGlobalDCEPlugin	31464985335	42775064000	957012000
Toml	LLGoFullLTOGlobalDCE	30553760083	41543010000	955060000
Gorm_schema	LLGoDeadcodeDrop	12344063531	36917796000	1141655000
Gorm_schema	LLGoNoLTO	12078248620	36148266000	1154262000
Dustin_humanize	LLGoFullLTONoGlobalDCE	25902756589	32606362000	718794000
Etcdctl	Go	9789248586	30842475000	1916660000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17468359691	24141640000	774645000
Dustin_humanize	LLGoFullLTOGlobalDCE	17011334566	23750635000	696610000
Toml	LLGoDeadcodeDrop	9057386393	23423940000	910169000
Toml	LLGoNoLTO	8681799102	22072120000	799774000
XGo	Go	5566581819	17890244000	1172153000
Dustin_humanize	LLGoDeadcodeDrop	5619449546	12502474000	634675000
Dustin_humanize	LLGoNoLTO	5382815081	12369931000	656057000
Aws_restjson	Go	3133852990	7149796000	621982000
Gorm_schema	Go	2100847170	5246268000	367942000
Uber_zap	Go	2067970914	4867806000	398746000
K8s_workqueue	Go	1578748498	4166541000	351550000
Toml	Go	884665980	1753698000	193312000
Dustin_humanize	Go	358946739	656018000	100750000
