benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	300446451220	572652417000	12247498000
IXGo	LLGoFullLTOGlobalDCE	294243544026	568513424000	11945416000
IXGo	LLGoFullLTONoGlobalDCE	295290783616	568943371000	10957670000
IXGo	LLGoDeadcodeDrop	132725127747	435510177000	10869063000
IXGo	LLGoNoLTO	126667271441	414393892000	9890273000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	163178471827	261067298000	4827278000
Etcdctl	LLGoFullLTOGlobalDCE	160532616190	257511137000	4665789000
Etcdctl	LLGoFullLTONoGlobalDCE	160841261204	254171481000	4801637000
Etcdctl	LLGoDeadcodeDrop	65730709982	192545987000	4247559000
Etcdctl	LLGoNoLTO	65235710637	189579297000	4330458000
XGo	LLGoFullLTOGlobalDCEPlugin	127811666770	182810789000	3304473000
XGo	LLGoFullLTOGlobalDCE	126812425244	180597019000	3320486000
XGo	LLGoFullLTONoGlobalDCE	126950419921	179900344000	3278039000
Aws_restjson	LLGoFullLTONoGlobalDCE	102612159955	138447209000	2393498000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	90426509525	127318475000	2657476000
Aws_restjson	LLGoFullLTOGlobalDCE	89476882237	126459456000	2541485000
XGo	LLGoDeadcodeDrop	43028233127	112617055000	2799317000
XGo	LLGoNoLTO	42220913650	109942541000	2815682000
Uber_zap	LLGoFullLTONoGlobalDCE	84296842658	109735898000	1893351000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	74321791611	100666913000	1895098000
Uber_zap	LLGoFullLTOGlobalDCE	73514417734	99601277000	1910048000
Aws_restjson	LLGoDeadcodeDrop	41299825968	86592794000	2156865000
Aws_restjson	LLGoNoLTO	40355412810	83796754000	2212268000
IXGo	Go	23427701987	79843480000	5020601000
Gorm_schema	LLGoFullLTOGlobalDCE	43292041087	62692774000	1428940000
Gorm_schema	LLGoFullLTONoGlobalDCE	43133678451	61492391000	1353248000
Uber_zap	LLGoDeadcodeDrop	26488579549	58275482000	1638280000
Uber_zap	LLGoNoLTO	25696571762	57654874000	1498964000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	32559692029	52310539000	1358821000
Toml	LLGoFullLTONoGlobalDCE	37510892097	48879835000	1154020000
Toml	LLGoFullLTOGlobalDCEPlugin	29635773668	41942198000	1143514000
Toml	LLGoFullLTOGlobalDCE	29595133295	41446450000	1133939000
Gorm_schema	LLGoDeadcodeDrop	14016505123	39931554000	1258883000
Gorm_schema	LLGoNoLTO	13505176972	39121824000	1246538000
Dustin_humanize	LLGoFullLTONoGlobalDCE	27321508890	34457390000	865313000
Etcdctl	Go	10377829029	32178922000	2079446000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	18700848841	26017051000	886300000
Dustin_humanize	LLGoFullLTOGlobalDCE	18551709946	25754829000	845743000
Toml	LLGoDeadcodeDrop	9386552459	24143967000	1059799000
Toml	LLGoNoLTO	9235603129	23761845000	1000323000
XGo	Go	5986200343	18245602000	1283456000
Dustin_humanize	LLGoDeadcodeDrop	6162988752	13689593000	765527000
Dustin_humanize	LLGoNoLTO	6016071623	13522990000	846456000
Aws_restjson	Go	3831072419	7471442000	896363000
Gorm_schema	Go	2384086244	5458554000	434090000
Uber_zap	Go	2061098495	4942310000	402397000
K8s_workqueue	Go	2224576898	4305212000	532242000
Toml	Go	1102514486	1850344000	263543000
Dustin_humanize	Go	402901569	669044000	176658000
