benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	382929189366	580565041000	5751685000
IXGo	LLGoFullLTOGlobalDCEPlugin	362871243422	531465323000	5980678000
IXGo	LLGoFullLTOGlobalDCE	361127714874	526974070000	6236359000
IXGo	LLGoNoLTO	121022373363	356627039000	5125978000
IXGo	LLGoDeadcodeDrop	114525373974	332080993000	5195139000
Etcdctl	LLGoFullLTOGlobalDCE	133243887432	209879708000	4161910000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	133151416080	209288788000	4024210000
Etcdctl	LLGoFullLTONoGlobalDCE	129699965278	202613606000	3958628000
Etcdctl	LLGoDeadcodeDrop	52296247104	151522958000	3660103000
Etcdctl	LLGoNoLTO	50918589876	149864610000	3689477000
XGo	LLGoFullLTONoGlobalDCE	105623242359	144248269000	2717917000
XGo	LLGoFullLTOGlobalDCEPlugin	101794865442	140381867000	2846915000
XGo	LLGoFullLTOGlobalDCE	101828342327	140299174000	2706248000
Aws_restjson	LLGoFullLTONoGlobalDCE	84947533147	110195101000	1907413000
Aws_restjson	LLGoFullLTOGlobalDCE	74673840345	101019447000	1888117000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	71628506461	97743521000	2010362000
Uber_zap	LLGoFullLTONoGlobalDCE	71678158946	90053324000	1566010000
K8s_workqueue	LLGoFullLTOGlobalDCE	69897121144	85818446000	1559817000
XGo	LLGoDeadcodeDrop	32122704972	80898876000	2347448000
XGo	LLGoNoLTO	31604079630	79507531000	2265357000
K8s_workqueue	LLGoFullLTONoGlobalDCE	65129635051	80242193000	1403636000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	61032049505	79481904000	1570513000
Uber_zap	LLGoFullLTOGlobalDCE	60650160043	78556099000	1655721000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	55697839961	71423452000	1439792000
Aws_restjson	LLGoDeadcodeDrop	34933527654	66952650000	1657982000
Aws_restjson	LLGoNoLTO	33240348395	66020731000	1734320000
Gorm_schema	LLGoFullLTONoGlobalDCE	37733809536	51717844000	1133605000
Gorm_schema	LLGoFullLTOGlobalDCE	35644079070	49063282000	1112967000
Uber_zap	LLGoDeadcodeDrop	20135717408	43975780000	1343993000
Uber_zap	LLGoNoLTO	19605293370	42780121000	1250685000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	28675398744	42778086000	1186491000
Toml	LLGoFullLTONoGlobalDCE	31336410909	39100294000	864755000
K8s_workqueue	LLGoNoLTO	18252424716	37259307000	1187656000
K8s_workqueue	LLGoDeadcodeDrop	18202382647	36504623000	1296404000
Toml	LLGoFullLTOGlobalDCE	25930353830	34457235000	896180000
Toml	LLGoFullLTOGlobalDCEPlugin	25594182963	33601337000	882444000
IXGo	Go	9917148574	31466551000	2468146000
Gorm_schema	LLGoNoLTO	9734366491	28066262000	1051198000
Gorm_schema	LLGoDeadcodeDrop	9539472643	27687392000	995762000
Dustin_humanize	LLGoFullLTONoGlobalDCE	20771523186	25230702000	718535000
Etcdctl	Go	7488520533	23346411000	1643864000
Dustin_humanize	LLGoFullLTOGlobalDCE	14857949720	19672285000	660582000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	13934116911	18947972000	647909000
Toml	LLGoDeadcodeDrop	7271053991	18160380000	828213000
Toml	LLGoNoLTO	6693780047	16793032000	789762000
XGo	Go	4265229526	13440501000	951685000
Dustin_humanize	LLGoDeadcodeDrop	4619172534	9651529000	599655000
Dustin_humanize	LLGoNoLTO	4391384253	9264192000	596204000
Aws_restjson	Go	2443134159	5370464000	550071000
Gorm_schema	Go	1682142928	4010053000	336364000
Uber_zap	Go	1604274692	3646824000	377955000
K8s_workqueue	Go	1274898967	3137453000	388581000
Toml	Go	779939689	1442548000	198140000
Dustin_humanize	Go	291995211	480594000	125119000
