benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	397808002857	564813534000	6666998000
IXGo	LLGoFullLTONoGlobalDCE	392926599912	554462948000	6355171000
IXGo	LLGoFullLTOGlobalDCE	373430807487	530483715000	6193169000
IXGo	LLGoDeadcodeDrop	125757612499	330120206000	5694517000
IXGo	LLGoNoLTO	122689664759	323659584000	5574272000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	160155322048	255850319000	4723573000
Etcdctl	LLGoFullLTOGlobalDCE	153968377686	246143450000	4871931000
Etcdctl	LLGoFullLTONoGlobalDCE	154805741349	244565565000	4640328000
Etcdctl	LLGoDeadcodeDrop	60634377051	180635573000	4096338000
Etcdctl	LLGoNoLTO	58444478423	175147074000	4080128000
XGo	LLGoFullLTOGlobalDCE	122896382493	170654912000	3109745000
XGo	LLGoFullLTOGlobalDCEPlugin	121693554998	170363763000	3140629000
XGo	LLGoFullLTONoGlobalDCE	121852190863	168003080000	2884344000
Aws_restjson	LLGoFullLTONoGlobalDCE	98383803025	129266117000	2147642000
Aws_restjson	LLGoFullLTOGlobalDCE	89922949204	122133296000	2050149000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	89514277057	121213718000	2184827000
Uber_zap	LLGoFullLTONoGlobalDCE	79398696678	100785436000	1613813000
XGo	LLGoDeadcodeDrop	37303111415	98147296000	2722578000
XGo	LLGoNoLTO	37487021030	98029364000	2704679000
K8s_workqueue	LLGoFullLTOGlobalDCE	77377382608	96817631000	1746439000
Uber_zap	LLGoFullLTOGlobalDCE	71857003229	94332328000	1735608000
K8s_workqueue	LLGoFullLTONoGlobalDCE	74848452258	93386695000	1566159000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	70232466776	92088297000	1689769000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	67445796034	87997490000	1688686000
Aws_restjson	LLGoNoLTO	36868289414	76216481000	1973043000
Aws_restjson	LLGoDeadcodeDrop	36154114140	76141487000	1971567000
Gorm_schema	LLGoFullLTONoGlobalDCE	43323400862	59560674000	1252904000
Gorm_schema	LLGoFullLTOGlobalDCE	42046131759	58368768000	1281732000
Uber_zap	LLGoDeadcodeDrop	21784079444	49907864000	1567004000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	31956570010	48549769000	1218565000
Toml	LLGoFullLTONoGlobalDCE	38526826414	48503930000	972818000
Uber_zap	LLGoNoLTO	20836515614	47735609000	1396985000
K8s_workqueue	LLGoDeadcodeDrop	19743127819	43140937000	1358494000
K8s_workqueue	LLGoNoLTO	19585867988	42837659000	1334902000
Toml	LLGoFullLTOGlobalDCEPlugin	30011430437	40342352000	953245000
Toml	LLGoFullLTOGlobalDCE	30158860915	40053785000	923183000
IXGo	Go	11610222393	37189126000	2937877000
Gorm_schema	LLGoDeadcodeDrop	11761661936	34815185000	1147202000
Gorm_schema	LLGoNoLTO	11577315579	33993586000	1127401000
Etcdctl	Go	9532585716	29799499000	2149664000
Dustin_humanize	LLGoFullLTONoGlobalDCE	24624627263	30155110000	773820000
Dustin_humanize	LLGoFullLTOGlobalDCE	16499488289	22223518000	650331000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	16369581966	21991719000	700382000
Toml	LLGoDeadcodeDrop	8240430903	21505658000	878286000
Toml	LLGoNoLTO	8171535369	19730847000	772436000
XGo	Go	5145585071	16590765000	1216128000
Dustin_humanize	LLGoNoLTO	5429996700	11707987000	625847000
Dustin_humanize	LLGoDeadcodeDrop	5256851095	11387448000	630657000
Aws_restjson	Go	2875279295	6754155000	606203000
Gorm_schema	Go	2072944472	5136432000	386548000
Uber_zap	Go	1876832216	4480704000	348784000
K8s_workqueue	Go	1562659477	3995194000	398935000
Toml	Go	835674274	1681382000	185639000
Dustin_humanize	Go	352901673	628868000	129562000
