benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	485859291735	684849107000	5811393000
IXGo	LLGoFullLTOGlobalDCE	498709093566	684558978000	5929599000
IXGo	LLGoFullLTOGlobalDCEPlugin	434781982604	617783913000	5833512000
IXGo	LLGoDeadcodeDrop	116747313411	347636592000	5242263000
IXGo	LLGoNoLTO	114158995967	326938069000	5051798000
Etcdctl	LLGoFullLTOGlobalDCE	136694481192	214528899000	4073834000
Etcdctl	LLGoFullLTONoGlobalDCE	136502066552	212937858000	3977202000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	132361304363	209688120000	4072273000
Etcdctl	LLGoDeadcodeDrop	52997110434	151826007000	3675831000
Etcdctl	LLGoNoLTO	51324214670	147330018000	3506569000
XGo	LLGoFullLTOGlobalDCEPlugin	103556500859	141877529000	2702065000
XGo	LLGoFullLTONoGlobalDCE	101583197516	139010210000	2653421000
XGo	LLGoFullLTOGlobalDCE	101122020956	138591470000	2668750000
Aws_restjson	LLGoFullLTONoGlobalDCE	83881032560	108557943000	1907972000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	77255162613	103957092000	2033285000
Aws_restjson	LLGoFullLTOGlobalDCE	74386982174	100955994000	2212042000
Uber_zap	LLGoFullLTONoGlobalDCE	70479063891	88384621000	1471451000
K8s_workqueue	LLGoFullLTONoGlobalDCE	69145992317	84905219000	1492343000
K8s_workqueue	LLGoFullLTOGlobalDCE	68634312424	84185837000	1489853000
XGo	LLGoDeadcodeDrop	32030657385	80880288000	2289467000
XGo	LLGoNoLTO	31375626109	79571785000	2290570000
Uber_zap	LLGoFullLTOGlobalDCE	60961648318	79481633000	1464954000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	60549708159	78756488000	1458545000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	56739750724	72823884000	1490177000
Aws_restjson	LLGoDeadcodeDrop	33261463516	65176153000	1758171000
Aws_restjson	LLGoNoLTO	33286661052	64344058000	1647114000
Gorm_schema	LLGoFullLTOGlobalDCE	35986591669	49812209000	1235438000
Gorm_schema	LLGoFullLTONoGlobalDCE	35992133927	49241274000	1135023000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	28381736674	42586995000	1134002000
Uber_zap	LLGoDeadcodeDrop	19544972783	42378244000	1172732000
Uber_zap	LLGoNoLTO	19463197310	41836917000	1105006000
Toml	LLGoFullLTONoGlobalDCE	32052602279	39837976000	908240000
K8s_workqueue	LLGoNoLTO	18852970069	38118080000	1222849000
K8s_workqueue	LLGoDeadcodeDrop	18985858620	37692237000	1214687000
Toml	LLGoFullLTOGlobalDCEPlugin	25976847216	34169184000	896248000
Toml	LLGoFullLTOGlobalDCE	25793472362	33604179000	907377000
IXGo	Go	9933583555	31687941000	2506217000
Gorm_schema	LLGoNoLTO	9638585958	28097787000	1000891000
Gorm_schema	LLGoDeadcodeDrop	9824516991	27717560000	992559000
Dustin_humanize	LLGoFullLTONoGlobalDCE	20804996731	25529186000	741263000
Etcdctl	Go	7736118860	23795630000	1718560000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	15038033773	19879061000	708105000
Dustin_humanize	LLGoFullLTOGlobalDCE	14580730526	19750684000	716910000
Toml	LLGoDeadcodeDrop	6911270003	17111523000	776021000
Toml	LLGoNoLTO	6666981216	16340993000	782239000
XGo	Go	4451087281	13685491000	1058450000
Dustin_humanize	LLGoNoLTO	4502175220	9896885000	606105000
Dustin_humanize	LLGoDeadcodeDrop	4441226092	9410370000	602569000
Aws_restjson	Go	2514297862	5456266000	565214000
Gorm_schema	Go	1773505920	4202780000	330923000
Uber_zap	Go	1615833207	3718981000	319542000
K8s_workqueue	Go	1284585464	3170798000	410413000
Toml	Go	782531650	1430520000	218367000
Dustin_humanize	Go	307441151	509867000	129969000
