benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	327008075295	598435522000	19248324000
IXGo	LLGoFullLTONoGlobalDCE	306059598893	580041611000	12072908000
IXGo	LLGoFullLTOGlobalDCE	295625205480	561390003000	12680908000
IXGo	LLGoDeadcodeDrop	141259307654	466343542000	11848305000
IXGo	LLGoNoLTO	136167082509	446747541000	10722368000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	162287788141	254165930000	5928039000
Etcdctl	LLGoFullLTOGlobalDCE	158558310982	248543362000	5171115000
Etcdctl	LLGoFullLTONoGlobalDCE	159182644278	245716685000	5123757000
Etcdctl	LLGoDeadcodeDrop	62745537489	182763180000	4544782000
XGo	LLGoFullLTOGlobalDCEPlugin	129775234685	179495121000	3585909000
Etcdctl	LLGoNoLTO	60624282611	176633223000	4419958000
XGo	LLGoFullLTOGlobalDCE	125406208491	174567500000	4034309000
XGo	LLGoFullLTONoGlobalDCE	124830653485	173381998000	3534022000
Aws_restjson	LLGoFullLTONoGlobalDCE	102213912320	134739842000	2621073000
Aws_restjson	LLGoFullLTOGlobalDCE	89684614650	123357638000	2725157000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	88260845712	121986225000	2555524000
Uber_zap	LLGoFullLTONoGlobalDCE	83048865706	105646765000	1969110000
XGo	LLGoDeadcodeDrop	40560580664	103332973000	3214144000
XGo	LLGoNoLTO	39820268078	101331440000	3034524000
K8s_workqueue	LLGoFullLTOGlobalDCE	81333238666	101408277000	2083448000
K8s_workqueue	LLGoFullLTONoGlobalDCE	80286856535	100149596000	1870505000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	72157667077	95715491000	1938070000
Uber_zap	LLGoFullLTOGlobalDCE	71902931055	95667589000	1900368000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	66137803924	86311497000	1895669000
Aws_restjson	LLGoNoLTO	41764555279	81526428000	2346126000
Aws_restjson	LLGoDeadcodeDrop	39740200354	79955826000	2301164000
IXGo	Go	23072095486	75744806000	5487439000
Gorm_schema	LLGoFullLTOGlobalDCE	41978204879	59448566000	1480081000
Gorm_schema	LLGoFullLTONoGlobalDCE	42435295683	59081518000	1484684000
Uber_zap	LLGoDeadcodeDrop	24890800489	54608352000	1683394000
Uber_zap	LLGoNoLTO	24483597634	53776950000	1529656000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	31454508439	49297054000	1383663000
K8s_workqueue	LLGoDeadcodeDrop	22741569732	46677072000	1544288000
Toml	LLGoFullLTONoGlobalDCE	36855787072	47025949000	1157653000
K8s_workqueue	LLGoNoLTO	22517593447	46176811000	1691429000
Toml	LLGoFullLTOGlobalDCEPlugin	29141710220	40036093000	1210447000
Toml	LLGoFullLTOGlobalDCE	29177826062	39728587000	1083089000
Gorm_schema	LLGoDeadcodeDrop	12906322371	36852039000	1248290000
Gorm_schema	LLGoNoLTO	12759031960	36297105000	1280865000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26975700093	33198327000	959437000
Etcdctl	Go	9950720428	30575407000	2193069000
Dustin_humanize	LLGoFullLTOGlobalDCE	18249619305	24500394000	877403000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17903400231	24008062000	842352000
Toml	LLGoDeadcodeDrop	8987479111	22807467000	1056221000
Toml	LLGoNoLTO	8629657364	21689956000	1019516000
XGo	Go	5866180330	17450613000	1444643000
Dustin_humanize	LLGoNoLTO	5717783954	12384090000	770344000
Dustin_humanize	LLGoDeadcodeDrop	5712775733	12195149000	810820000
Aws_restjson	Go	3964981589	7112474000	948475000
Gorm_schema	Go	2236595988	5176709000	479629000
Uber_zap	Go	2055082253	4774441000	460036000
K8s_workqueue	Go	1630770666	4107287000	478294000
Toml	Go	925779927	1711676000	278608000
Dustin_humanize	Go	388162856	660135000	144480000
