benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	314439048156	605763822000	12836984000
IXGo	LLGoFullLTOGlobalDCEPlugin	308094705214	598398236000	12711115000
IXGo	LLGoFullLTONoGlobalDCE	290571488543	557113385000	11029975000
IXGo	LLGoNoLTO	142633356319	471321057000	10115471000
IXGo	LLGoDeadcodeDrop	133376819898	444363059000	10184269000
Etcdctl	LLGoFullLTOGlobalDCE	164747696250	261841803000	4702367000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	161480996443	259274365000	4979437000
Etcdctl	LLGoFullLTONoGlobalDCE	163562318727	257464389000	4733230000
Etcdctl	LLGoDeadcodeDrop	64796686825	191308672000	4139967000
Etcdctl	LLGoNoLTO	62832925954	187423932000	4021440000
XGo	LLGoFullLTONoGlobalDCE	130605708159	183610438000	3430054000
XGo	LLGoFullLTOGlobalDCE	127005520420	180922856000	3215571000
XGo	LLGoFullLTOGlobalDCEPlugin	126147683756	180389667000	3372882000
Aws_restjson	LLGoFullLTONoGlobalDCE	104074444398	139647997000	2532007000
Aws_restjson	LLGoFullLTOGlobalDCE	92445861876	129428603000	2426571000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	89478426788	126166710000	2488799000
XGo	LLGoDeadcodeDrop	41697834877	110692763000	2998993000
Uber_zap	LLGoFullLTONoGlobalDCE	85155718198	109857572000	1910052000
XGo	LLGoNoLTO	40556405954	107305929000	2853612000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	72516419545	98481170000	1943889000
Uber_zap	LLGoFullLTOGlobalDCE	72167531302	97752525000	1840385000
IXGo	Go	23385676391	80106257000	5173857000
Aws_restjson	LLGoNoLTO	39149972239	82954465000	2085599000
Aws_restjson	LLGoDeadcodeDrop	38839421645	82408227000	2155903000
Gorm_schema	LLGoFullLTOGlobalDCE	43893907839	63382830000	1376880000
Gorm_schema	LLGoFullLTONoGlobalDCE	43338337223	62525678000	1437698000
Uber_zap	LLGoDeadcodeDrop	25037814435	57213216000	1554953000
Uber_zap	LLGoNoLTO	24445276099	55739801000	1493660000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	33153063578	52800374000	1363886000
Toml	LLGoFullLTONoGlobalDCE	37266521416	48507702000	1169298000
Toml	LLGoFullLTOGlobalDCEPlugin	30149041932	42291213000	1023250000
Toml	LLGoFullLTOGlobalDCE	29182824030	41084947000	1057331000
Gorm_schema	LLGoDeadcodeDrop	13459659838	39270067000	1251041000
Gorm_schema	LLGoNoLTO	13459944450	38918844000	1277447000
Dustin_humanize	LLGoFullLTONoGlobalDCE	27629799286	34709857000	876141000
Etcdctl	Go	10263766946	31903738000	2085426000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	18553974113	25859645000	819671000
Dustin_humanize	LLGoFullLTOGlobalDCE	18303681862	25317549000	846722000
Toml	LLGoDeadcodeDrop	9434678219	24054027000	1004166000
Toml	LLGoNoLTO	9235437673	23553894000	1011880000
XGo	Go	5916846870	18249268000	1254024000
Dustin_humanize	LLGoNoLTO	6117209846	13534005000	759455000
Dustin_humanize	LLGoDeadcodeDrop	6067684710	13285133000	766158000
Aws_restjson	Go	3287911982	7381511000	659106000
Gorm_schema	Go	2661760917	5693634000	467316000
Uber_zap	Go	2071966073	4868961000	440038000
K8s_workqueue	Go	1889924787	4386755000	496641000
Toml	Go	978878501	1892622000	234598000
Dustin_humanize	Go	399798829	677172000	164114000
