benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	243746024493	452905393000	11060149000
IXGo	LLGoFullLTOGlobalDCE	242106368383	445429249000	10651761000
IXGo	LLGoFullLTONoGlobalDCE	239726605896	436298104000	10837810000
IXGo	LLGoDeadcodeDrop	105893828201	348238551000	9351297000
IXGo	LLGoNoLTO	100864271593	330003347000	8925127000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	135088100293	212744994000	4076349000
Etcdctl	LLGoFullLTOGlobalDCE	133936078389	209186239000	4167312000
Etcdctl	LLGoFullLTONoGlobalDCE	132134950817	205602618000	4273043000
Etcdctl	LLGoDeadcodeDrop	53039443713	155412621000	3760176000
Etcdctl	LLGoNoLTO	52139045282	155221671000	3743585000
XGo	LLGoFullLTOGlobalDCE	108321274220	152382282000	2940148000
XGo	LLGoFullLTOGlobalDCEPlugin	103640908683	146441074000	2724404000
XGo	LLGoFullLTONoGlobalDCE	103746588860	144660203000	2875874000
Aws_restjson	LLGoFullLTONoGlobalDCE	88334570075	117194325000	2097272000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	77735237892	107727494000	2104008000
Aws_restjson	LLGoFullLTOGlobalDCE	73419369801	101910668000	1983189000
XGo	LLGoNoLTO	32672280756	87663656000	2340790000
XGo	LLGoDeadcodeDrop	33105615281	86647541000	2424098000
Uber_zap	LLGoFullLTONoGlobalDCE	66796570647	86649775000	1462010000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	61992988840	83765419000	1677739000
Uber_zap	LLGoFullLTOGlobalDCE	62187248343	83113368000	1582635000
Aws_restjson	LLGoNoLTO	33500639194	69634191000	1807288000
Aws_restjson	LLGoDeadcodeDrop	33941369223	68474510000	1728494000
IXGo	Go	17934227573	61391317000	4388003000
Gorm_schema	LLGoFullLTONoGlobalDCE	37141837053	51985384000	1166926000
Gorm_schema	LLGoFullLTOGlobalDCE	34590023826	49796552000	1210623000
Uber_zap	LLGoDeadcodeDrop	18898168579	44089207000	1300887000
Uber_zap	LLGoNoLTO	18607783607	43136363000	1265278000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	26618974782	42830260000	1230971000
Toml	LLGoFullLTONoGlobalDCE	30063353194	38753040000	858309000
Toml	LLGoFullLTOGlobalDCEPlugin	23500524083	33002789000	869888000
Toml	LLGoFullLTOGlobalDCE	23651796672	32808787000	850473000
Gorm_schema	LLGoDeadcodeDrop	10634536724	31058476000	1022207000
Gorm_schema	LLGoNoLTO	10439906144	30119875000	994559000
Dustin_humanize	LLGoFullLTONoGlobalDCE	22098677722	27605429000	699810000
Etcdctl	Go	7945184412	25203373000	1675011000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	14926178259	20748003000	679434000
Dustin_humanize	LLGoFullLTOGlobalDCE	14731174383	20269816000	654304000
Toml	LLGoDeadcodeDrop	7567921423	19067513000	801979000
Toml	LLGoNoLTO	7579563128	18464918000	856024000
XGo	Go	4483431328	14282343000	1015019000
Dustin_humanize	LLGoDeadcodeDrop	4853604856	10834691000	568951000
Dustin_humanize	LLGoNoLTO	4810602596	10721436000	601971000
Aws_restjson	Go	2943668286	5838629000	588673000
Gorm_schema	Go	1757464036	4347079000	340364000
Uber_zap	Go	1636539686	4082025000	311291000
K8s_workqueue	Go	1316794116	3441797000	337411000
Toml	Go	777146509	1542968000	168224000
Dustin_humanize	Go	771539939	593207000	142996000
