benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	564882715080	825590741000	7233147000
IXGo	LLGoFullLTOGlobalDCE	453670695852	683743221000	6685898000
IXGo	LLGoFullLTONoGlobalDCE	429687961576	645933983000	6446346000
IXGo	LLGoDeadcodeDrop	151427839428	445802160000	6052124000
IXGo	LLGoNoLTO	147497975464	440856157000	6061537000
Etcdctl	LLGoFullLTOGlobalDCE	171110340532	276097630000	4958928000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	171716570656	275613713000	4851768000
Etcdctl	LLGoFullLTONoGlobalDCE	165222093867	265450153000	4673301000
Etcdctl	LLGoDeadcodeDrop	67260779906	199595376000	4132329000
Etcdctl	LLGoNoLTO	65332772891	194775110000	4161342000
XGo	LLGoFullLTONoGlobalDCE	130481828813	181790766000	3101477000
XGo	LLGoFullLTOGlobalDCEPlugin	128686025705	181591890000	3115959000
XGo	LLGoFullLTOGlobalDCE	127322571235	179425197000	3214088000
Aws_restjson	LLGoFullLTONoGlobalDCE	104842045578	140034332000	2280080000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	98918263804	137019221000	2562373000
Aws_restjson	LLGoFullLTOGlobalDCE	95439484856	132334982000	2240591000
Uber_zap	LLGoFullLTONoGlobalDCE	88604611461	112738847000	1998287000
XGo	LLGoDeadcodeDrop	41662749572	109078494000	2750045000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	83770734764	109734220000	1888345000
K8s_workqueue	LLGoFullLTONoGlobalDCE	87406667084	109238183000	1845593000
K8s_workqueue	LLGoFullLTOGlobalDCE	85125887505	106830102000	1901420000
XGo	LLGoNoLTO	40502550720	105810799000	2837544000
Uber_zap	LLGoFullLTOGlobalDCE	80623804024	106154507000	1827086000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	72330314315	94577354000	1732886000
Aws_restjson	LLGoDeadcodeDrop	38534316989	81513830000	2025795000
Aws_restjson	LLGoNoLTO	38674574505	81088593000	2064675000
Gorm_schema	LLGoFullLTOGlobalDCE	47538504613	66596179000	1408116000
Gorm_schema	LLGoFullLTONoGlobalDCE	47938116298	66647051000	1329462000
Uber_zap	LLGoDeadcodeDrop	25834754789	57160947000	1535570000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	36692434929	56167604000	1337098000
Uber_zap	LLGoNoLTO	25066419000	55405151000	1549069000
Toml	LLGoFullLTONoGlobalDCE	41442630277	52456842000	1071812000
K8s_workqueue	LLGoDeadcodeDrop	23922081383	49879414000	1482752000
K8s_workqueue	LLGoNoLTO	23351701105	49450418000	1521447000
Toml	LLGoFullLTOGlobalDCEPlugin	35342421431	47675800000	1158334000
Toml	LLGoFullLTOGlobalDCE	34688095471	46405174000	1043697000
IXGo	Go	13375654648	43629764000	3039263000
Gorm_schema	LLGoDeadcodeDrop	12879690920	38294541000	1211674000
Gorm_schema	LLGoNoLTO	12252772843	36725183000	1144613000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26758811606	33196256000	849151000
Etcdctl	Go	10142727195	31632295000	2075317000
Dustin_humanize	LLGoFullLTOGlobalDCE	17947396903	24650976000	828984000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17718841110	24514635000	820191000
Toml	LLGoDeadcodeDrop	9077745188	23154662000	974738000
Toml	LLGoNoLTO	8930985531	22637514000	932352000
XGo	Go	5654832870	18131672000	1200723000
Dustin_humanize	LLGoNoLTO	5776590762	12978524000	743432000
Dustin_humanize	LLGoDeadcodeDrop	5838328705	12956192000	737339000
Aws_restjson	Go	3186992504	7250955000	674484000
Gorm_schema	Go	2180401476	5365193000	381621000
Uber_zap	Go	2138254659	4995527000	469246000
K8s_workqueue	Go	1760291456	4412281000	469180000
Toml	Go	963827989	1860232000	241615000
Dustin_humanize	Go	381200237	655020000	140083000
