benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	397247712899	650046116000	6792717000
IXGo	LLGoFullLTONoGlobalDCE	405299611283	613664689000	6175624000
IXGo	LLGoFullLTOGlobalDCEPlugin	377838432620	599403310000	6441242000
IXGo	LLGoDeadcodeDrop	135582072925	397287582000	5671993000
IXGo	LLGoNoLTO	129678284518	383112088000	5250860000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	163210006941	264932244000	4511854000
Etcdctl	LLGoFullLTOGlobalDCE	162970414678	263864144000	5222949000
Etcdctl	LLGoFullLTONoGlobalDCE	163691446018	261171239000	4409214000
Etcdctl	LLGoDeadcodeDrop	65341538453	194111035000	3793558000
Etcdctl	LLGoNoLTO	64066651364	191455746000	3944638000
XGo	LLGoFullLTOGlobalDCEPlugin	126825314780	179218539000	3172119000
XGo	LLGoFullLTONoGlobalDCE	125453241546	176192657000	3149617000
XGo	LLGoFullLTOGlobalDCE	124105826593	174134540000	2963623000
Aws_restjson	LLGoFullLTONoGlobalDCE	102959007588	137937569000	2242776000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	90894844956	127041320000	2249109000
Aws_restjson	LLGoFullLTOGlobalDCE	90832011398	125800365000	2195063000
Uber_zap	LLGoFullLTONoGlobalDCE	85996510986	110045209000	1706982000
XGo	LLGoDeadcodeDrop	40867939992	105674925000	2675683000
K8s_workqueue	LLGoFullLTOGlobalDCE	84256662565	105756258000	1764365000
XGo	LLGoNoLTO	40058306758	104299704000	2712423000
K8s_workqueue	LLGoFullLTONoGlobalDCE	83839577981	105070806000	1730505000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	77171226702	102268583000	1637318000
Uber_zap	LLGoFullLTOGlobalDCE	76857128330	101247869000	1786273000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	70201015280	91764178000	1757338000
Aws_restjson	LLGoDeadcodeDrop	41700747033	86788390000	2095766000
Aws_restjson	LLGoNoLTO	37744087381	79855548000	2011092000
Gorm_schema	LLGoFullLTONoGlobalDCE	45788550747	64012062000	1291724000
Gorm_schema	LLGoFullLTOGlobalDCE	45265611192	63777026000	1248500000
Uber_zap	LLGoDeadcodeDrop	26442769171	58183490000	1496264000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	36521000101	55322569000	1277090000
Uber_zap	LLGoNoLTO	24996600244	55087020000	1445577000
Toml	LLGoFullLTONoGlobalDCE	40455568460	51132906000	1026652000
K8s_workqueue	LLGoDeadcodeDrop	23779375635	49503068000	1479641000
K8s_workqueue	LLGoNoLTO	22912076383	48300979000	1416041000
IXGo	Go	13594739177	44232332000	3058677000
Toml	LLGoFullLTOGlobalDCEPlugin	33169862819	44739640000	1020179000
Toml	LLGoFullLTOGlobalDCE	32932244823	43893284000	1016245000
Gorm_schema	LLGoDeadcodeDrop	12498936033	37082896000	1150445000
Gorm_schema	LLGoNoLTO	12044024405	36322287000	1090974000
Dustin_humanize	LLGoFullLTONoGlobalDCE	25898329120	32215119000	825906000
Etcdctl	Go	9957096628	30715166000	1880754000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	18254519612	24979621000	835141000
Dustin_humanize	LLGoFullLTOGlobalDCE	18135676865	24805347000	817319000
Toml	LLGoDeadcodeDrop	8962705563	23031967000	1020379000
Toml	LLGoNoLTO	8676229038	21971409000	863501000
XGo	Go	5551716059	17612527000	1140883000
Dustin_humanize	LLGoDeadcodeDrop	5810707068	13032621000	747149000
Dustin_humanize	LLGoNoLTO	5447867187	12302104000	695395000
Aws_restjson	Go	3215782608	7197300000	695781000
Gorm_schema	Go	2152080104	5294176000	377277000
Uber_zap	Go	2002207406	4780931000	414556000
K8s_workqueue	Go	1927594807	4222753000	476908000
Toml	Go	907816648	1785226000	211193000
Dustin_humanize	Go	365264614	662391000	135486000
