benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	295606852929	576736904000	11186705000
IXGo	LLGoFullLTOGlobalDCE	284890654609	537382803000	11564114000
IXGo	LLGoFullLTOGlobalDCEPlugin	283464393053	533675825000	12458312000
IXGo	LLGoDeadcodeDrop	129186237991	424574752000	10024146000
IXGo	LLGoNoLTO	123849418803	409493374000	9549883000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	158181857852	255093803000	4647226000
Etcdctl	LLGoFullLTONoGlobalDCE	158490931122	252240030000	4487843000
Etcdctl	LLGoFullLTOGlobalDCE	156985834359	251681716000	4725897000
Etcdctl	LLGoDeadcodeDrop	65309725222	192459459000	4240794000
Etcdctl	LLGoNoLTO	63375639927	184317117000	4113732000
XGo	LLGoFullLTOGlobalDCE	127038385507	181046363000	3376986000
XGo	LLGoFullLTOGlobalDCEPlugin	123909431417	178405724000	3253622000
XGo	LLGoFullLTONoGlobalDCE	122314353096	174974795000	3039314000
Aws_restjson	LLGoFullLTONoGlobalDCE	102139112694	138216810000	2476649000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	92580384385	130496150000	2548542000
Aws_restjson	LLGoFullLTOGlobalDCE	89301422401	126570083000	2218929000
XGo	LLGoNoLTO	41080573260	107426557000	2796452000
XGo	LLGoDeadcodeDrop	40705427475	106978380000	2686942000
Uber_zap	LLGoFullLTONoGlobalDCE	81561053833	106491679000	1683960000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	71736646711	98497739000	1779828000
Uber_zap	LLGoFullLTOGlobalDCE	73022849751	98304952000	1726359000
Aws_restjson	LLGoDeadcodeDrop	39496398930	83002232000	1988895000
Aws_restjson	LLGoNoLTO	39078341937	81738591000	1927977000
IXGo	Go	22680815210	75912797000	5236009000
Gorm_schema	LLGoFullLTOGlobalDCE	42376096960	61691666000	1301406000
Gorm_schema	LLGoFullLTONoGlobalDCE	42532621443	61444359000	1331217000
Uber_zap	LLGoDeadcodeDrop	25176061609	56398947000	1462324000
Uber_zap	LLGoNoLTO	24524439568	56410275000	1419160000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	32056882162	51403703000	1320068000
Toml	LLGoFullLTONoGlobalDCE	35706776956	46866892000	970162000
Toml	LLGoFullLTOGlobalDCEPlugin	28143816572	40247362000	1037115000
Toml	LLGoFullLTOGlobalDCE	28476332287	39746400000	994632000
Gorm_schema	LLGoDeadcodeDrop	13457440947	38939624000	1206890000
Gorm_schema	LLGoNoLTO	12908019343	38034179000	1157295000
Dustin_humanize	LLGoFullLTONoGlobalDCE	27832400124	35014402000	868068000
Etcdctl	Go	9800261081	30664201000	2007719000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	18350058389	25663797000	817228000
Dustin_humanize	LLGoFullLTOGlobalDCE	18200330211	25040234000	756934000
Toml	LLGoNoLTO	9333248295	23469831000	925793000
Toml	LLGoDeadcodeDrop	9128188127	23216286000	893947000
XGo	Go	5581189798	17691486000	1214475000
Dustin_humanize	LLGoNoLTO	5968064063	13550159000	669673000
Dustin_humanize	LLGoDeadcodeDrop	5809556712	13000823000	679563000
Aws_restjson	Go	3197179276	7200896000	628043000
Gorm_schema	Go	2517237226	5318409000	501965000
Uber_zap	Go	2266733695	4864809000	456985000
K8s_workqueue	Go	1578957439	4088233000	419155000
Toml	Go	901330167	1770758000	209066000
Dustin_humanize	Go	387424256	682010000	110098000
