benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	576735493074	836746367000	7107818000
IXGo	LLGoFullLTOGlobalDCEPlugin	570203394490	831937942000	7496713000
IXGo	LLGoFullLTOGlobalDCE	542624039300	788805753000	6791642000
IXGo	LLGoDeadcodeDrop	159438824876	469462551000	6419204000
IXGo	LLGoNoLTO	150790280214	438066914000	5764017000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	182550213076	292844500000	5052359000
Etcdctl	LLGoFullLTOGlobalDCE	180379783876	288868598000	4877115000
Etcdctl	LLGoFullLTONoGlobalDCE	179246330669	285424673000	4694083000
Etcdctl	LLGoDeadcodeDrop	69350050389	207092556000	4219642000
Etcdctl	LLGoNoLTO	68905307153	206142223000	4234494000
XGo	LLGoFullLTOGlobalDCEPlugin	143095383096	200025927000	3440974000
XGo	LLGoFullLTOGlobalDCE	140278460435	196774677000	3400454000
XGo	LLGoFullLTONoGlobalDCE	139967198253	194837294000	3249483000
Aws_restjson	LLGoFullLTONoGlobalDCE	114221947171	151277819000	2399660000
Aws_restjson	LLGoFullLTOGlobalDCE	104349969334	141987998000	2471354000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	99545277672	137409713000	2445221000
Uber_zap	LLGoFullLTONoGlobalDCE	94927596201	120436338000	1845772000
XGo	LLGoDeadcodeDrop	44452119918	115055246000	3011517000
XGo	LLGoNoLTO	43761502869	114313126000	2918783000
K8s_workqueue	LLGoFullLTOGlobalDCE	90078533135	112679072000	1842483000
K8s_workqueue	LLGoFullLTONoGlobalDCE	89838587116	112162168000	1840004000
Uber_zap	LLGoFullLTOGlobalDCE	83661815636	109612794000	1789834000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	82093040215	108086008000	1813397000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	74792576645	97312738000	1764093000
Aws_restjson	LLGoDeadcodeDrop	42946199325	88769540000	2142618000
Aws_restjson	LLGoNoLTO	42410977379	86573541000	2012749000
Gorm_schema	LLGoFullLTONoGlobalDCE	49142220835	67851399000	1318594000
Gorm_schema	LLGoFullLTOGlobalDCE	48679158150	67711124000	1395663000
Uber_zap	LLGoDeadcodeDrop	26698897077	59644119000	1744044000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	38639221018	58749929000	1375435000
Uber_zap	LLGoNoLTO	25837347356	57442843000	1562578000
Toml	LLGoFullLTONoGlobalDCE	43911622240	55384915000	1129092000
K8s_workqueue	LLGoDeadcodeDrop	25020897297	52483734000	1559091000
K8s_workqueue	LLGoNoLTO	23793640811	50952572000	1564222000
Toml	LLGoFullLTOGlobalDCE	35919142707	48364800000	1114841000
Toml	LLGoFullLTOGlobalDCEPlugin	36069063303	48018840000	1098662000
IXGo	Go	13628647934	44250153000	3081998000
Gorm_schema	LLGoDeadcodeDrop	13492563647	40078781000	1265512000
Gorm_schema	LLGoNoLTO	13073913637	38814064000	1261220000
Dustin_humanize	LLGoFullLTONoGlobalDCE	28617867035	35236948000	855178000
Etcdctl	Go	10349458137	32187875000	2068659000
Dustin_humanize	LLGoFullLTOGlobalDCE	19503157112	26167035000	893642000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	19326357077	26128412000	889783000
Toml	LLGoDeadcodeDrop	9445537529	24311906000	1051997000
Toml	LLGoNoLTO	9343696216	24119825000	1049754000
XGo	Go	5898451517	18889309000	1259679000
Dustin_humanize	LLGoDeadcodeDrop	6071724841	13370637000	759761000
Dustin_humanize	LLGoNoLTO	6010842034	13326310000	726728000
Aws_restjson	Go	3596582663	7866677000	739612000
Gorm_schema	Go	2289826140	5515267000	378381000
Uber_zap	Go	2214512052	5087005000	428994000
K8s_workqueue	Go	1687183473	4331444000	478563000
Toml	Go	1032408092	1934086000	261748000
Dustin_humanize	Go	400569362	675987000	158791000
