benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	298002803148	549695631000	10280082000
IXGo	LLGoFullLTONoGlobalDCE	277358153151	525313106000	10807903000
IXGo	LLGoFullLTOGlobalDCE	240622180242	434149770000	10321219000
IXGo	LLGoNoLTO	104743543971	337359796000	8085102000
IXGo	LLGoDeadcodeDrop	100809561708	328036175000	8676982000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	126287970338	196212522000	4092267000
Etcdctl	LLGoFullLTOGlobalDCE	122702995626	190941376000	4193851000
Etcdctl	LLGoFullLTONoGlobalDCE	123857207350	191279520000	3822471000
XGo	LLGoFullLTONoGlobalDCE	104939691410	143969153000	2909894000
Etcdctl	LLGoDeadcodeDrop	48813316160	141017056000	3478272000
XGo	LLGoFullLTOGlobalDCE	101602219081	140728699000	2780381000
Etcdctl	LLGoNoLTO	47611652831	137670227000	3537286000
XGo	LLGoFullLTOGlobalDCEPlugin	97731992678	136043990000	2744730000
Aws_restjson	LLGoFullLTONoGlobalDCE	83653841865	109051003000	2146397000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	69338497866	95965237000	2042370000
Aws_restjson	LLGoFullLTOGlobalDCE	68372432002	94316829000	2012504000
XGo	LLGoDeadcodeDrop	32167089130	81676170000	2390996000
Uber_zap	LLGoFullLTONoGlobalDCE	64256853900	81765431000	1448778000
XGo	LLGoNoLTO	31312670780	79654353000	2435372000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	61385907989	80441663000	1601870000
Uber_zap	LLGoFullLTOGlobalDCE	56290240363	74887929000	1592468000
Aws_restjson	LLGoDeadcodeDrop	30396114643	62184858000	1747997000
Aws_restjson	LLGoNoLTO	29548777380	60460728000	1705516000
IXGo	Go	17053133736	57999432000	4155136000
Gorm_schema	LLGoFullLTONoGlobalDCE	33503791315	46945597000	1129148000
Gorm_schema	LLGoFullLTOGlobalDCE	32530890192	46114635000	1255422000
Uber_zap	LLGoDeadcodeDrop	20371649922	43538826000	1352257000
Uber_zap	LLGoNoLTO	19065242776	41425611000	1195523000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	24612690399	38209045000	1185321000
Toml	LLGoFullLTONoGlobalDCE	28262631260	36027331000	857932000
Toml	LLGoFullLTOGlobalDCEPlugin	22303010960	30906490000	911637000
Toml	LLGoFullLTOGlobalDCE	22200530640	30194564000	856723000
Gorm_schema	LLGoDeadcodeDrop	10144352126	28424607000	998505000
Dustin_humanize	LLGoFullLTONoGlobalDCE	23410943739	28522418000	790408000
Gorm_schema	LLGoNoLTO	10884884016	27812436000	1017674000
Etcdctl	Go	8319071749	25126236000	1837798000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	14282610994	19098116000	682344000
Dustin_humanize	LLGoFullLTOGlobalDCE	14027743614	19004558000	691033000
Toml	LLGoNoLTO	7573101064	17742035000	848875000
Toml	LLGoDeadcodeDrop	6874661062	17211707000	774165000
XGo	Go	4259348669	13359856000	978591000
Dustin_humanize	LLGoDeadcodeDrop	4655689462	10005907000	701529000
Dustin_humanize	LLGoNoLTO	4509755565	9877713000	599402000
Aws_restjson	Go	3740094175	5893457000	726869000
Gorm_schema	Go	1662973086	3991136000	303711000
Uber_zap	Go	1570724139	3641811000	352017000
K8s_workqueue	Go	1456768676	3389270000	407382000
Toml	Go	705927656	1336568000	199415000
Dustin_humanize	Go	296291121	491286000	130264000
