benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	280236833188	526720901000	12087760000
IXGo	LLGoFullLTOGlobalDCEPlugin	281544426602	518481514000	12315637000
IXGo	LLGoFullLTONoGlobalDCE	275526983080	508599566000	12035751000
IXGo	LLGoDeadcodeDrop	128407226333	419543157000	10776231000
IXGo	LLGoNoLTO	122028808288	396434177000	9979217000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	158301831285	255131743000	4668708000
Etcdctl	LLGoFullLTOGlobalDCE	156585894575	251932344000	4912830000
Etcdctl	LLGoFullLTONoGlobalDCE	157519988949	250319325000	4643640000
Etcdctl	LLGoDeadcodeDrop	65375860018	190876137000	4285983000
Etcdctl	LLGoNoLTO	64449778103	185672099000	4449809000
XGo	LLGoFullLTOGlobalDCEPlugin	123710425886	176899374000	3357132000
XGo	LLGoFullLTONoGlobalDCE	124425570904	176999449000	3223211000
XGo	LLGoFullLTOGlobalDCE	123216209973	176519731000	3410072000
Aws_restjson	LLGoFullLTONoGlobalDCE	99739477232	135277971000	2408390000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	86518927820	123907868000	2449627000
Aws_restjson	LLGoFullLTOGlobalDCE	87552628287	123443861000	2604012000
XGo	LLGoDeadcodeDrop	42816712129	110686033000	2840888000
XGo	LLGoNoLTO	41689479159	108262768000	2757816000
Uber_zap	LLGoFullLTONoGlobalDCE	82678556146	108036911000	1853401000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	72654487566	98907184000	1824154000
Uber_zap	LLGoFullLTOGlobalDCE	72256663613	98069554000	1838951000
IXGo	Go	23040999065	79135897000	5151615000
Aws_restjson	LLGoDeadcodeDrop	39146231449	81916015000	2302108000
Aws_restjson	LLGoNoLTO	38572884735	82054593000	2130939000
Gorm_schema	LLGoFullLTOGlobalDCE	42285201660	61333660000	1380198000
Gorm_schema	LLGoFullLTONoGlobalDCE	42936166684	61168537000	1460388000
Uber_zap	LLGoDeadcodeDrop	26049511415	57765476000	1505821000
Uber_zap	LLGoNoLTO	25385043074	56176841000	1469944000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	31745211997	51121765000	1308111000
Toml	LLGoFullLTONoGlobalDCE	36499059917	47586783000	1023151000
Toml	LLGoFullLTOGlobalDCEPlugin	28736851958	40729924000	1079753000
Toml	LLGoFullLTOGlobalDCE	28531135014	39939230000	1030226000
Gorm_schema	LLGoDeadcodeDrop	13598720438	39181799000	1263060000
Gorm_schema	LLGoNoLTO	13405111613	38528895000	1264780000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26771589988	33620097000	901839000
Etcdctl	Go	10603439569	31463640000	2284030000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	18095904253	25331447000	869513000
Dustin_humanize	LLGoFullLTOGlobalDCE	18101626025	25186679000	831848000
Toml	LLGoDeadcodeDrop	9277223915	24201158000	1059227000
Toml	LLGoNoLTO	9078204196	23303591000	1028197000
XGo	Go	5899585153	18004288000	1233003000
Dustin_humanize	LLGoDeadcodeDrop	6016188902	13541324000	772793000
Dustin_humanize	LLGoNoLTO	5915021685	13494836000	773546000
Aws_restjson	Go	3181104227	7192674000	721407000
Gorm_schema	Go	2205032373	5353470000	405427000
Uber_zap	Go	2156489696	4887796000	426962000
K8s_workqueue	Go	1656784720	4230740000	460422000
Toml	Go	915431326	1756056000	269106000
Dustin_humanize	Go	732339123	715605000	273682000
