benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	243351344913	446626055000	11515239000
IXGo	LLGoFullLTOGlobalDCE	241159427677	439335602000	11770428000
IXGo	LLGoFullLTONoGlobalDCE	233442746375	426380628000	10378572000
IXGo	LLGoDeadcodeDrop	105579830866	347083219000	9691864000
IXGo	LLGoNoLTO	99673005763	328664883000	8630521000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	134170372122	210765021000	4169656000
Etcdctl	LLGoFullLTOGlobalDCE	132881502650	207262580000	4318631000
Etcdctl	LLGoFullLTONoGlobalDCE	132069945163	205539929000	3967843000
Etcdctl	LLGoDeadcodeDrop	50438563206	149568768000	3651118000
Etcdctl	LLGoNoLTO	49578259087	147103274000	3703918000
XGo	LLGoFullLTONoGlobalDCE	104806332246	145864244000	2737625000
XGo	LLGoFullLTOGlobalDCEPlugin	103508701056	145404510000	2842435000
XGo	LLGoFullLTOGlobalDCE	101946796882	143737626000	2842236000
Aws_restjson	LLGoFullLTONoGlobalDCE	85545180038	113114290000	2044036000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	75718426893	104100985000	2073302000
Aws_restjson	LLGoFullLTOGlobalDCE	73370602566	101554686000	2054242000
XGo	LLGoDeadcodeDrop	32473374769	86177065000	2523035000
Uber_zap	LLGoFullLTONoGlobalDCE	66943709771	86531538000	1536082000
XGo	LLGoNoLTO	31616160450	83923610000	2441022000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	58846969775	79383318000	1590296000
Uber_zap	LLGoFullLTOGlobalDCE	58072734208	78004910000	1702625000
Aws_restjson	LLGoNoLTO	32642246895	66289683000	1807450000
Aws_restjson	LLGoDeadcodeDrop	32039425509	66394033000	1702533000
IXGo	Go	19262667028	62297401000	4930027000
Gorm_schema	LLGoFullLTOGlobalDCE	34722922761	49799489000	1186680000
Gorm_schema	LLGoFullLTONoGlobalDCE	34783160769	48934126000	1189471000
Uber_zap	LLGoDeadcodeDrop	18848008951	43439666000	1299527000
Uber_zap	LLGoNoLTO	18400850122	43130077000	1277822000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	26368896258	41564148000	1207998000
Toml	LLGoFullLTONoGlobalDCE	29811407507	38404339000	883073000
Toml	LLGoFullLTOGlobalDCE	23745642925	32826050000	834699000
Toml	LLGoFullLTOGlobalDCEPlugin	23351010969	32746829000	885236000
Gorm_schema	LLGoDeadcodeDrop	10625458680	30875214000	1088698000
Gorm_schema	LLGoNoLTO	10331428510	29581889000	994339000
Dustin_humanize	LLGoFullLTONoGlobalDCE	22694737965	28276438000	649469000
Etcdctl	Go	8638426657	24933017000	1898141000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	14932741702	20660080000	659441000
Dustin_humanize	LLGoFullLTOGlobalDCE	14928648460	20277032000	665725000
Toml	LLGoDeadcodeDrop	7467746256	18640483000	857840000
Toml	LLGoNoLTO	7369618686	18184122000	778691000
XGo	Go	4553026465	14093290000	1062008000
Dustin_humanize	LLGoDeadcodeDrop	5002514191	10384148000	633114000
Dustin_humanize	LLGoNoLTO	4706440711	10154672000	594728000
Aws_restjson	Go	2886439221	5765835000	562054000
Gorm_schema	Go	1708046777	4275023000	304504000
Uber_zap	Go	1637850018	4037575000	328569000
K8s_workqueue	Go	1343624623	3447601000	360947000
Toml	Go	1138246685	1510864000	202648000
Dustin_humanize	Go	309203609	554950000	102701000
