benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	235090585508	427886398000	10716481000
IXGo	LLGoFullLTOGlobalDCE	234549175123	416480585000	9880640000
IXGo	LLGoFullLTONoGlobalDCE	226347269558	396111673000	10327486000
IXGo	LLGoNoLTO	107752915881	342065429000	8715427000
IXGo	LLGoDeadcodeDrop	105123544452	328917057000	8539475000
Etcdctl	LLGoFullLTONoGlobalDCE	127438687569	194517498000	3935708000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	124296079154	194500215000	3865412000
Etcdctl	LLGoFullLTOGlobalDCE	125143440077	191817292000	3927221000
Etcdctl	LLGoDeadcodeDrop	50707339036	145121256000	3664206000
Etcdctl	LLGoNoLTO	52540036218	144503838000	3791119000
XGo	LLGoFullLTONoGlobalDCE	100084180976	138066491000	2744131000
XGo	LLGoFullLTOGlobalDCEPlugin	97072946097	135930734000	2741382000
XGo	LLGoFullLTOGlobalDCE	97118302637	134783046000	2654615000
Aws_restjson	LLGoFullLTONoGlobalDCE	79258618181	102993334000	1936266000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	73487100591	98086758000	1994495000
Aws_restjson	LLGoFullLTOGlobalDCE	68036435338	93943660000	1938252000
Uber_zap	LLGoFullLTONoGlobalDCE	70401118125	87512354000	1543361000
XGo	LLGoDeadcodeDrop	33178610232	80613833000	2351794000
XGo	LLGoNoLTO	31224844748	78785131000	2369266000
Uber_zap	LLGoFullLTOGlobalDCE	58247190041	75589773000	1506315000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	56289576745	74454117000	1507265000
Aws_restjson	LLGoNoLTO	31049592592	61169400000	1678262000
Aws_restjson	LLGoDeadcodeDrop	29751409134	61263342000	1577884000
IXGo	Go	17212116267	57491033000	4176340000
Gorm_schema	LLGoFullLTOGlobalDCE	33739148792	47169448000	1223083000
Gorm_schema	LLGoFullLTONoGlobalDCE	33182365012	46512188000	1154489000
Uber_zap	LLGoNoLTO	20167960006	43053500000	1277137000
Uber_zap	LLGoDeadcodeDrop	21929853940	42942169000	1359402000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	24517983035	38185030000	1093813000
Toml	LLGoFullLTONoGlobalDCE	28363511989	36039236000	862494000
Toml	LLGoFullLTOGlobalDCE	24570517763	32307667000	977179000
Toml	LLGoFullLTOGlobalDCEPlugin	23054311627	30401246000	935749000
Gorm_schema	LLGoDeadcodeDrop	11745572688	29701861000	1070271000
Gorm_schema	LLGoNoLTO	9945942314	27919043000	973419000
Dustin_humanize	LLGoFullLTONoGlobalDCE	23009377475	26919519000	751300000
Etcdctl	Go	7562196126	23428952000	1700286000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	14688829722	19160033000	729387000
Dustin_humanize	LLGoFullLTOGlobalDCE	14122673295	18830608000	718074000
Toml	LLGoDeadcodeDrop	7016906076	17711132000	834993000
Toml	LLGoNoLTO	7719563802	17437109000	815211000
XGo	Go	5686503081	13167647000	1003234000
Dustin_humanize	LLGoDeadcodeDrop	4659151984	9714697000	608611000
Dustin_humanize	LLGoNoLTO	5257546716	9611442000	659051000
Aws_restjson	Go	3480200256	5313806000	606900000
Gorm_schema	Go	2549695564	4009256000	359167000
Uber_zap	Go	1579655210	3636512000	310471000
K8s_workqueue	Go	2055274175	3164652000	404206000
Toml	Go	689966430	1286839000	162122000
Dustin_humanize	Go	283915228	457927000	93122000
