benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	496313680331	733438433000	6667467000
IXGo	LLGoFullLTONoGlobalDCE	462803076964	684648586000	6337779000
IXGo	LLGoFullLTOGlobalDCEPlugin	444740089921	672278075000	6625520000
IXGo	LLGoDeadcodeDrop	138350457517	411881959000	5781299000
IXGo	LLGoNoLTO	134637210419	399335115000	5621628000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	166874638533	268923747000	4722567000
Etcdctl	LLGoFullLTOGlobalDCE	164647753382	266590161000	4509281000
Etcdctl	LLGoFullLTONoGlobalDCE	165342366192	265455124000	4803436000
Etcdctl	LLGoDeadcodeDrop	66613667008	197627670000	4033105000
Etcdctl	LLGoNoLTO	65836956970	195472182000	4018397000
XGo	LLGoFullLTOGlobalDCEPlugin	127673254464	179993778000	3150194000
XGo	LLGoFullLTOGlobalDCE	127286798693	179760523000	2905989000
XGo	LLGoFullLTONoGlobalDCE	128011195819	179077943000	3081940000
Aws_restjson	LLGoFullLTONoGlobalDCE	105192787136	140415902000	2245573000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	93491256774	130090278000	2328033000
Aws_restjson	LLGoFullLTOGlobalDCE	92886523466	128610671000	2204770000
Uber_zap	LLGoFullLTONoGlobalDCE	88572250160	112855135000	1727491000
XGo	LLGoDeadcodeDrop	41553892118	108663781000	2765590000
K8s_workqueue	LLGoFullLTOGlobalDCE	86162708924	108277981000	1718803000
K8s_workqueue	LLGoFullLTONoGlobalDCE	85204436878	106422728000	1752853000
XGo	LLGoNoLTO	40998234686	104768545000	2582127000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	79154876292	104712233000	1725557000
Uber_zap	LLGoFullLTOGlobalDCE	77979758819	102685997000	1710825000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	72150056992	94053127000	1707291000
Aws_restjson	LLGoNoLTO	39169071474	82101462000	1967903000
Aws_restjson	LLGoDeadcodeDrop	39108669345	81918110000	1999543000
Gorm_schema	LLGoFullLTONoGlobalDCE	46923180735	65044254000	1399834000
Gorm_schema	LLGoFullLTOGlobalDCE	45897939096	64208844000	1389987000
Uber_zap	LLGoDeadcodeDrop	25343993709	56693351000	1408492000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	36258193459	55391668000	1249434000
Uber_zap	LLGoNoLTO	24891276222	55288096000	1282947000
Toml	LLGoFullLTONoGlobalDCE	41712426838	52703486000	981071000
K8s_workqueue	LLGoDeadcodeDrop	23305812608	49000342000	1460703000
K8s_workqueue	LLGoNoLTO	22957441234	48405527000	1514237000
Toml	LLGoFullLTOGlobalDCEPlugin	33936255245	45807500000	996890000
Toml	LLGoFullLTOGlobalDCE	34084895853	45017284000	1009303000
IXGo	Go	13098167192	42714580000	2988279000
Gorm_schema	LLGoDeadcodeDrop	12694653288	37509631000	1143757000
Gorm_schema	LLGoNoLTO	12250168954	36429300000	1103245000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26876492459	33682759000	807781000
Etcdctl	Go	10152778939	31733523000	1974993000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17764169815	24952051000	808683000
Dustin_humanize	LLGoFullLTOGlobalDCE	17802658510	24426827000	789312000
Toml	LLGoDeadcodeDrop	9065078167	23234494000	954464000
Toml	LLGoNoLTO	8850083026	22522717000	979982000
XGo	Go	5685701648	18017953000	1129331000
Dustin_humanize	LLGoNoLTO	5627948582	12798164000	741953000
Dustin_humanize	LLGoDeadcodeDrop	5695221075	12587896000	781618000
Aws_restjson	Go	3223586200	7310658000	685034000
Gorm_schema	Go	2193202393	5422662000	383406000
Uber_zap	Go	2119097401	4979951000	383255000
K8s_workqueue	Go	1683662309	4329960000	444649000
Toml	Go	935618796	1808859000	225412000
Dustin_humanize	Go	381918682	661757000	142810000
