benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	303614529766	583572012000	12298362000
IXGo	LLGoFullLTONoGlobalDCE	286285394242	536071868000	10672798000
IXGo	LLGoFullLTOGlobalDCEPlugin	282594984868	533597185000	11822108000
IXGo	LLGoDeadcodeDrop	152246363425	509303613000	9867956000
IXGo	LLGoNoLTO	129828727610	434949744000	9280091000
Etcdctl	LLGoFullLTOGlobalDCE	176039969024	295625430000	5093106000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	169224679283	287777131000	5210645000
Etcdctl	LLGoFullLTONoGlobalDCE	170065079227	288168398000	4716919000
Etcdctl	LLGoDeadcodeDrop	73587279492	221561740000	4637137000
Etcdctl	LLGoNoLTO	72624960089	220779056000	4333860000
XGo	LLGoFullLTOGlobalDCEPlugin	129907685819	185431500000	3446824000
XGo	LLGoFullLTONoGlobalDCE	129055500634	182281926000	3228363000
XGo	LLGoFullLTOGlobalDCE	124536942601	177807696000	3401130000
Aws_restjson	LLGoFullLTONoGlobalDCE	102764865733	139071707000	2356881000
Aws_restjson	LLGoFullLTOGlobalDCE	90800899990	128501355000	2392468000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	90569348874	128249664000	2289219000
XGo	LLGoDeadcodeDrop	42611796888	111530343000	2787234000
XGo	LLGoNoLTO	41787804656	109290162000	2721407000
Uber_zap	LLGoFullLTONoGlobalDCE	84750495215	109613649000	1735156000
K8s_workqueue	LLGoFullLTONoGlobalDCE	82413020533	103942989000	1896903000
K8s_workqueue	LLGoFullLTOGlobalDCE	81412061340	103702980000	1786051000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	74313040792	100682142000	1816709000
Uber_zap	LLGoFullLTOGlobalDCE	74123099480	99300195000	1813017000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	66319530403	88390763000	1861596000
Aws_restjson	LLGoDeadcodeDrop	41945978370	86612167000	2217358000
Aws_restjson	LLGoNoLTO	39846428754	83578613000	2084503000
IXGo	Go	23393737419	80187066000	5220951000
Gorm_schema	LLGoFullLTOGlobalDCE	44535454888	63603442000	1385527000
Gorm_schema	LLGoFullLTONoGlobalDCE	44350772165	63345809000	1371904000
Uber_zap	LLGoDeadcodeDrop	26935876113	58398775000	1486565000
Uber_zap	LLGoNoLTO	25584501525	56814732000	1501623000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	32910694614	53177661000	1369827000
K8s_workqueue	LLGoDeadcodeDrop	24320759597	50336371000	1621060000
K8s_workqueue	LLGoNoLTO	23924582230	49876075000	1570869000
Toml	LLGoFullLTONoGlobalDCE	37735818890	48913894000	1122900000
Toml	LLGoFullLTOGlobalDCEPlugin	29791902554	41843403000	1125676000
Toml	LLGoFullLTOGlobalDCE	29503168947	41087950000	1049956000
Gorm_schema	LLGoDeadcodeDrop	13540677143	39903338000	1210509000
Gorm_schema	LLGoNoLTO	13487377639	39112464000	1135726000
Dustin_humanize	LLGoFullLTONoGlobalDCE	27574952244	34164094000	816811000
Etcdctl	Go	10717686412	32063989000	2270605000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	19036100170	25863569000	834180000
Dustin_humanize	LLGoFullLTOGlobalDCE	18838055653	25572651000	857346000
Toml	LLGoDeadcodeDrop	9459836807	24695670000	1063020000
Toml	LLGoNoLTO	9093941395	23252586000	953067000
XGo	Go	6028384755	18228229000	1406603000
Dustin_humanize	LLGoNoLTO	5951592271	13552066000	709235000
Dustin_humanize	LLGoDeadcodeDrop	6031181879	13117691000	748436000
Aws_restjson	Go	3331224546	7443577000	686489000
Gorm_schema	Go	2203117121	5389371000	403012000
Uber_zap	Go	2116534298	4937331000	406026000
K8s_workqueue	Go	1691766334	4344138000	437559000
Toml	Go	960215318	1838890000	241912000
Dustin_humanize	Go	397201683	669532000	153128000
