benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	306880176162	592506295000	11876470000
IXGo	LLGoFullLTOGlobalDCEPlugin	293704859695	561443353000	11896381000
IXGo	LLGoFullLTOGlobalDCE	292307776237	552563777000	12820630000
IXGo	LLGoNoLTO	140072090335	469119263000	10873120000
IXGo	LLGoDeadcodeDrop	133289544911	442470144000	10481481000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	162470893684	258658895000	5032013000
Etcdctl	LLGoFullLTONoGlobalDCE	162535074721	258177049000	4794750000
Etcdctl	LLGoFullLTOGlobalDCE	158571202486	254837380000	4796650000
Etcdctl	LLGoDeadcodeDrop	65439495775	195225837000	4394045000
XGo	LLGoFullLTOGlobalDCEPlugin	131204033606	186231773000	3669720000
Etcdctl	LLGoNoLTO	62600897355	184245653000	4389736000
XGo	LLGoFullLTONoGlobalDCE	129792220786	183860939000	3378480000
XGo	LLGoFullLTOGlobalDCE	122707514188	175816104000	3501542000
Aws_restjson	LLGoFullLTONoGlobalDCE	99906336240	134647761000	2747916000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	92057622876	128715368000	2725516000
Aws_restjson	LLGoFullLTOGlobalDCE	87695682308	124544619000	2607671000
XGo	LLGoDeadcodeDrop	41692059742	110551206000	3131177000
XGo	LLGoNoLTO	41211572206	108425153000	2943995000
Uber_zap	LLGoFullLTONoGlobalDCE	84214171933	108654589000	1841452000
K8s_workqueue	LLGoFullLTOGlobalDCE	82057165145	104073588000	1950301000
K8s_workqueue	LLGoFullLTONoGlobalDCE	81755842010	103641349000	1831814000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	76092987870	102879022000	2011655000
Uber_zap	LLGoFullLTOGlobalDCE	72616200590	97653843000	1796571000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	67058414361	88777110000	1968866000
Aws_restjson	LLGoDeadcodeDrop	41392465925	86609464000	2248900000
IXGo	Go	23947759680	81734528000	5293965000
Aws_restjson	LLGoNoLTO	39696202750	83508117000	2150316000
Gorm_schema	LLGoFullLTOGlobalDCE	44794878194	64381279000	1540227000
Gorm_schema	LLGoFullLTONoGlobalDCE	44345957554	63058770000	1437388000
Uber_zap	LLGoDeadcodeDrop	25139824968	57232958000	1592243000
Uber_zap	LLGoNoLTO	24442807802	55640978000	1517285000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	33324047284	52973300000	1505378000
Toml	LLGoFullLTONoGlobalDCE	39177050474	50481971000	1159396000
K8s_workqueue	LLGoDeadcodeDrop	22735970470	49309973000	1507163000
K8s_workqueue	LLGoNoLTO	22887886237	48548477000	1722519000
Toml	LLGoFullLTOGlobalDCE	30545982260	42488700000	1098866000
Toml	LLGoFullLTOGlobalDCEPlugin	29994333675	41909959000	1065710000
Gorm_schema	LLGoDeadcodeDrop	13915772079	39794994000	1315079000
Gorm_schema	LLGoNoLTO	13366606190	38663839000	1193014000
Dustin_humanize	LLGoFullLTONoGlobalDCE	28234014695	35321926000	896021000
Etcdctl	Go	10263446659	31911320000	2045392000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	19253049419	26548883000	922766000
Dustin_humanize	LLGoFullLTOGlobalDCE	19211221078	26434638000	866724000
Toml	LLGoDeadcodeDrop	9534565617	24705799000	1070404000
Toml	LLGoNoLTO	9181949019	23721906000	981133000
XGo	Go	5784372819	18318207000	1233771000
Dustin_humanize	LLGoDeadcodeDrop	6117550981	13632149000	802116000
Dustin_humanize	LLGoNoLTO	5913612524	13552828000	818605000
Aws_restjson	Go	3997631968	7890133000	863854000
Gorm_schema	Go	2335874827	5528834000	411454000
Uber_zap	Go	2139622162	5000726000	409853000
K8s_workqueue	Go	1810028224	4379130000	544932000
Toml	Go	959132191	1822715000	254270000
Dustin_humanize	Go	384193457	668062000	163395000
