benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	271785340747	502509290000	11571160000
IXGo	LLGoFullLTOGlobalDCE	268899595167	495231553000	11984888000
IXGo	LLGoFullLTONoGlobalDCE	266340054364	495758954000	10846577000
IXGo	LLGoDeadcodeDrop	123850002330	403175513000	9994385000
IXGo	LLGoNoLTO	120045009053	390678650000	9640323000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	156647327669	251020696000	4573975000
Etcdctl	LLGoFullLTOGlobalDCE	155421499465	247828350000	4442409000
Etcdctl	LLGoFullLTONoGlobalDCE	156002878335	247253585000	4408998000
Etcdctl	LLGoDeadcodeDrop	64297621133	188108219000	4133448000
Etcdctl	LLGoNoLTO	62867018640	184607522000	3785995000
XGo	LLGoFullLTOGlobalDCEPlugin	123688020950	176407270000	3337588000
XGo	LLGoFullLTOGlobalDCE	122663631389	175392858000	3170327000
XGo	LLGoFullLTONoGlobalDCE	121487331945	172740636000	3093265000
Aws_restjson	LLGoFullLTONoGlobalDCE	97840251008	133111107000	2481319000
Aws_restjson	LLGoFullLTOGlobalDCE	86508023598	122639181000	2462630000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	86499355443	122765849000	2283634000
XGo	LLGoDeadcodeDrop	41866652873	108879499000	2795597000
Uber_zap	LLGoFullLTONoGlobalDCE	83277612137	108196466000	1798261000
XGo	LLGoNoLTO	41844526973	107119976000	2797817000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	73014058692	98794061000	1910031000
Uber_zap	LLGoFullLTOGlobalDCE	70648765105	96131561000	1799747000
Aws_restjson	LLGoNoLTO	38797706080	82757846000	2143993000
Aws_restjson	LLGoDeadcodeDrop	39129263921	82757216000	2079494000
IXGo	Go	23245948056	78405041000	5057546000
Gorm_schema	LLGoFullLTOGlobalDCE	43701572341	63216871000	1443835000
Gorm_schema	LLGoFullLTONoGlobalDCE	42019707006	60592818000	1338945000
Uber_zap	LLGoDeadcodeDrop	25599917059	56915186000	1466339000
Uber_zap	LLGoNoLTO	25379558350	55633354000	1492384000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	31385218873	50312836000	1360852000
Toml	LLGoFullLTONoGlobalDCE	36042682577	46889418000	1113649000
Toml	LLGoFullLTOGlobalDCEPlugin	28370526132	40369040000	1063930000
Toml	LLGoFullLTOGlobalDCE	28222540642	39424484000	1036859000
Gorm_schema	LLGoDeadcodeDrop	13396435221	38833605000	1209194000
Gorm_schema	LLGoNoLTO	13056946183	37898391000	1218092000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26568636811	33450529000	860065000
Etcdctl	Go	10483123536	31069814000	2225923000
Dustin_humanize	LLGoFullLTOGlobalDCE	18153809126	25312619000	882747000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	18048596198	25231639000	826673000
Toml	LLGoDeadcodeDrop	9234025172	23459611000	981384000
Toml	LLGoNoLTO	8935984816	22982470000	987467000
XGo	Go	5600876412	17821139000	1170913000
Dustin_humanize	LLGoDeadcodeDrop	5864526381	13346741000	723151000
Dustin_humanize	LLGoNoLTO	5869153053	13212881000	801926000
Aws_restjson	Go	3139714171	7222057000	667966000
Gorm_schema	Go	2161299667	5331463000	343523000
Uber_zap	Go	2084219461	4835501000	461824000
K8s_workqueue	Go	1642793413	4205995000	458656000
Toml	Go	936752866	1804778000	255247000
Dustin_humanize	Go	634709551	699639000	228815000
