benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	545847969011	773821591000	7520106000
IXGo	LLGoFullLTONoGlobalDCE	550624643886	772487658000	7318490000
IXGo	LLGoFullLTOGlobalDCE	540119732875	768503821000	7060100000
IXGo	LLGoNoLTO	146943102019	438305980000	6216949000
IXGo	LLGoDeadcodeDrop	141670987155	420833506000	6457299000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	171033062360	270096997000	5240034000
Etcdctl	LLGoFullLTOGlobalDCE	167839628096	265921881000	4985999000
Etcdctl	LLGoFullLTONoGlobalDCE	166711559360	261409107000	4822827000
Etcdctl	LLGoDeadcodeDrop	65709872113	191011614000	4522268000
Etcdctl	LLGoNoLTO	63415654770	187835216000	4370695000
XGo	LLGoFullLTOGlobalDCEPlugin	133529345917	184562817000	3657067000
XGo	LLGoFullLTOGlobalDCE	133356261603	184057899000	3484460000
XGo	LLGoFullLTONoGlobalDCE	132879587701	182327082000	3387678000
Aws_restjson	LLGoFullLTONoGlobalDCE	106531673843	139119472000	2413202000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	95326510810	129291891000	2481680000
Aws_restjson	LLGoFullLTOGlobalDCE	93266466098	127626708000	2518683000
Uber_zap	LLGoFullLTONoGlobalDCE	88566085958	111500783000	1823225000
XGo	LLGoDeadcodeDrop	42783350213	106367218000	3046498000
K8s_workqueue	LLGoFullLTOGlobalDCE	86124392429	106735150000	1856887000
K8s_workqueue	LLGoFullLTONoGlobalDCE	85442724491	105549927000	1828017000
XGo	LLGoNoLTO	41949462591	104410699000	2927493000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	78375009180	102390079000	1878889000
Uber_zap	LLGoFullLTOGlobalDCE	77653112042	101536355000	1832303000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	71888486869	93259657000	1846185000
Aws_restjson	LLGoDeadcodeDrop	39802686195	81691753000	2098202000
Aws_restjson	LLGoNoLTO	38746064798	78945763000	1978378000
Gorm_schema	LLGoFullLTOGlobalDCE	45820253908	63519643000	1461300000
Gorm_schema	LLGoFullLTONoGlobalDCE	46480389185	63459059000	1401564000
Uber_zap	LLGoDeadcodeDrop	25202358852	55100386000	1510171000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	35450306975	53505028000	1452855000
Uber_zap	LLGoNoLTO	24394938207	53238552000	1499949000
Toml	LLGoFullLTONoGlobalDCE	41078684821	51455073000	1113963000
K8s_workqueue	LLGoDeadcodeDrop	25363289008	49915718000	1530788000
K8s_workqueue	LLGoNoLTO	23191032041	47088524000	1533422000
Toml	LLGoFullLTOGlobalDCEPlugin	32751564325	43858434000	1117896000
Toml	LLGoFullLTOGlobalDCE	32810944233	43409193000	1097249000
IXGo	Go	12601796178	40261822000	3205214000
Gorm_schema	LLGoDeadcodeDrop	12360771443	36000348000	1273913000
Gorm_schema	LLGoNoLTO	12007561404	34896149000	1243059000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26847617341	32636788000	855947000
Etcdctl	Go	9754306643	30129768000	2140610000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17959044597	23943946000	862123000
Dustin_humanize	LLGoFullLTOGlobalDCE	17792832907	23791061000	844193000
Toml	LLGoDeadcodeDrop	8695405266	22275093000	999400000
Toml	LLGoNoLTO	8737000765	22054003000	951771000
XGo	Go	5445895000	17160683000	1259995000
Dustin_humanize	LLGoDeadcodeDrop	5704204763	12049371000	772252000
Dustin_humanize	LLGoNoLTO	5560800424	11909878000	720443000
Aws_restjson	Go	3259072560	7068232000	725707000
Gorm_schema	Go	2148182827	5220322000	384111000
Uber_zap	Go	2033784372	4732047000	428051000
K8s_workqueue	Go	1643817102	4122320000	469492000
Toml	Go	922737134	1755560000	242167000
Dustin_humanize	Go	390688026	664829000	144803000
