benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	316445115411	491423719000	5769920000
IXGo	LLGoFullLTOGlobalDCE	310064664226	476836488000	5719849000
IXGo	LLGoFullLTONoGlobalDCE	308976918297	464220343000	5483976000
IXGo	LLGoNoLTO	108156108166	316321941000	4733004000
IXGo	LLGoDeadcodeDrop	106894993552	311716247000	5107327000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	127261224966	200703922000	4060290000
Etcdctl	LLGoFullLTOGlobalDCE	126321720879	198888088000	3849674000
Etcdctl	LLGoFullLTONoGlobalDCE	125088408480	196320775000	3698000000
Etcdctl	LLGoDeadcodeDrop	49409972213	142313545000	3381668000
Etcdctl	LLGoNoLTO	48367533562	141705742000	3386106000
XGo	LLGoFullLTOGlobalDCEPlugin	97489003020	134760532000	2546263000
XGo	LLGoFullLTONoGlobalDCE	97123446449	134051434000	2579816000
XGo	LLGoFullLTOGlobalDCE	96654011322	133982715000	2543272000
Aws_restjson	LLGoFullLTONoGlobalDCE	79859619331	104877634000	1768578000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	70946441220	96957156000	1945399000
Aws_restjson	LLGoFullLTOGlobalDCE	70650550488	96039909000	1833917000
Uber_zap	LLGoFullLTONoGlobalDCE	65857627748	83711400000	1441376000
K8s_workqueue	LLGoFullLTOGlobalDCE	64465799866	79764634000	1468691000
K8s_workqueue	LLGoFullLTONoGlobalDCE	64556406920	79495506000	1453036000
XGo	LLGoDeadcodeDrop	31292679947	78348841000	2225775000
XGo	LLGoNoLTO	30578437982	77031556000	2321079000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	58863138704	77135598000	1441900000
Uber_zap	LLGoFullLTOGlobalDCE	58226496981	76353518000	1430559000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	53591429094	69090321000	1360017000
Aws_restjson	LLGoDeadcodeDrop	31199376140	62213422000	1694502000
Aws_restjson	LLGoNoLTO	30020340065	60556404000	1699621000
Gorm_schema	LLGoFullLTOGlobalDCE	34275141655	47558867000	1161089000
Gorm_schema	LLGoFullLTONoGlobalDCE	34536492307	47152388000	1053659000
Uber_zap	LLGoDeadcodeDrop	18933241158	40568138000	1214169000
Uber_zap	LLGoNoLTO	18785811045	40513633000	1188092000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	26365658430	39817957000	1057119000
Toml	LLGoFullLTONoGlobalDCE	30663326974	38357779000	884807000
K8s_workqueue	LLGoDeadcodeDrop	17320761885	35390520000	1226968000
K8s_workqueue	LLGoNoLTO	17136163744	35208645000	1237348000
Toml	LLGoFullLTOGlobalDCEPlugin	24892236289	33200876000	903346000
Toml	LLGoFullLTOGlobalDCE	24592866406	32539215000	823633000
IXGo	Go	9614399820	30715070000	2486770000
Gorm_schema	LLGoDeadcodeDrop	9278309113	26886114000	980498000
Gorm_schema	LLGoNoLTO	8945474142	25733419000	983582000
Dustin_humanize	LLGoFullLTONoGlobalDCE	20026114221	24649696000	779514000
Etcdctl	Go	7479748311	23139302000	1668683000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	13439272368	18481997000	685370000
Dustin_humanize	LLGoFullLTOGlobalDCE	13345863614	17966050000	647182000
Toml	LLGoDeadcodeDrop	6664437273	16639426000	787295000
Toml	LLGoNoLTO	6558245037	16173615000	751013000
XGo	Go	4175545781	13255562000	981384000
Dustin_humanize	LLGoDeadcodeDrop	4229548665	9089731000	606159000
Dustin_humanize	LLGoNoLTO	4118850510	8938347000	586113000
Aws_restjson	Go	2395000416	5284440000	542446000
Gorm_schema	Go	1628853219	3964634000	308831000
Uber_zap	Go	1538863189	3622069000	334449000
K8s_workqueue	Go	1276826172	3176852000	373326000
Toml	Go	708381877	1328829000	206375000
Dustin_humanize	Go	304254756	481799000	132429000
