benchmark	configuration	real-ns	user-ns	sys-ns
Etcdctl	LLGoFullLTOGlobalDCEPlugin	165006831058	262017415000	4965388000
Etcdctl	LLGoFullLTONoGlobalDCE	165898599547	260517191000	4817539000
Etcdctl	LLGoFullLTOGlobalDCE	163081059620	259603921000	4822042000
Etcdctl	LLGoDeadcodeDrop	62674623437	186729145000	4787861000
Etcdctl	LLGoNoLTO	61607188196	185234721000	4359774000
XGo	LLGoFullLTOGlobalDCEPlugin	128189502548	178714162000	3400794000
XGo	LLGoFullLTONoGlobalDCE	127160515022	175986065000	3094998000
XGo	LLGoFullLTOGlobalDCE	126470689587	175740061000	3200781000
Aws_restjson	LLGoFullLTONoGlobalDCE	104773841736	137661669000	2206048000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	93197518888	127190617000	2187421000
Aws_restjson	LLGoFullLTOGlobalDCE	91961753840	125453633000	2301091000
Uber_zap	LLGoFullLTONoGlobalDCE	84681087309	107235005000	1736628000
XGo	LLGoDeadcodeDrop	38531921073	102412337000	2631695000
K8s_workqueue	LLGoFullLTONoGlobalDCE	82567776114	102411481000	1909350000
K8s_workqueue	LLGoFullLTOGlobalDCE	82139032723	102374802000	1743815000
XGo	LLGoNoLTO	38118981479	100040382000	2761196000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	74379411898	98365529000	1782533000
Uber_zap	LLGoFullLTOGlobalDCE	74422038518	97730408000	1765615000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	67219781651	87848917000	1719561000
Aws_restjson	LLGoNoLTO	39417844270	80086516000	2027084000
Aws_restjson	LLGoDeadcodeDrop	37736161271	78288499000	1940121000
Gorm_schema	LLGoFullLTOGlobalDCE	45367601289	62844959000	1324090000
Gorm_schema	LLGoFullLTONoGlobalDCE	44656268907	61506198000	1327136000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	34955831330	53128518000	1332186000
Uber_zap	LLGoDeadcodeDrop	22463127991	51600163000	1454901000
Uber_zap	LLGoNoLTO	22319223146	51102099000	1529975000
Toml	LLGoFullLTONoGlobalDCE	40440238530	50725163000	987112000
K8s_workqueue	LLGoNoLTO	20353028480	44806719000	1435553000
K8s_workqueue	LLGoDeadcodeDrop	20593162517	44684211000	1402707000
Toml	LLGoFullLTOGlobalDCEPlugin	32150148755	42946397000	932934000
Toml	LLGoFullLTOGlobalDCE	31926279162	42552542000	1009030000
Gorm_schema	LLGoDeadcodeDrop	12057191914	35831147000	1229839000
Gorm_schema	LLGoNoLTO	11593045547	34341061000	1124057000
Dustin_humanize	LLGoFullLTONoGlobalDCE	27182288208	33309461000	842813000
Etcdctl	Go	9585850725	29622030000	2160774000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	18087488440	24327663000	797286000
Dustin_humanize	LLGoFullLTOGlobalDCE	17744096314	23896675000	736671000
Toml	LLGoDeadcodeDrop	8568693562	22237956000	926572000
Toml	LLGoNoLTO	8500349426	21353129000	916510000
XGo	Go	5359131477	17217777000	1323173000
Dustin_humanize	LLGoDeadcodeDrop	5612702651	12100862000	666032000
Dustin_humanize	LLGoNoLTO	5529761985	12051182000	712290000
Aws_restjson	Go	2993498671	6870396000	637530000
Gorm_schema	Go	2080408075	5111156000	387056000
Uber_zap	Go	1999582588	4779856000	432963000
K8s_workqueue	Go	1560576436	4064249000	401305000
Toml	Go	867251130	1731888000	184981000
Dustin_humanize	Go	359061451	635932000	127772000
