benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	367082222280	705051618000	12828386000
IXGo	LLGoFullLTOGlobalDCE	361891497561	687786172000	11701629000
IXGo	LLGoFullLTONoGlobalDCE	353810503576	666213542000	11616488000
IXGo	LLGoDeadcodeDrop	175535927671	566054198000	10555176000
IXGo	LLGoNoLTO	164054342985	521919206000	10492792000
Etcdctl	LLGoFullLTONoGlobalDCE	191206437868	300367186000	5139872000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	185549762941	290941817000	5340785000
Etcdctl	LLGoFullLTOGlobalDCE	170768077037	271265496000	5304463000
Etcdctl	LLGoDeadcodeDrop	69776093559	206932652000	4439055000
Etcdctl	LLGoNoLTO	69459076081	204847551000	4528525000
XGo	LLGoFullLTOGlobalDCEPlugin	145521942839	203578266000	3680719000
XGo	LLGoFullLTOGlobalDCE	140055928566	197806964000	3536445000
XGo	LLGoFullLTONoGlobalDCE	139687243372	195382223000	3383461000
Aws_restjson	LLGoFullLTOGlobalDCE	116208415604	155199757000	2663010000
Aws_restjson	LLGoFullLTONoGlobalDCE	115132976858	152894417000	2519733000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	110067681137	149533162000	2549353000
XGo	LLGoNoLTO	48728919920	125503882000	3383536000
XGo	LLGoDeadcodeDrop	45002485615	118360167000	3156876000
Uber_zap	LLGoFullLTONoGlobalDCE	91857092582	118762843000	1947810000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	79904446806	107433729000	2124304000
Uber_zap	LLGoFullLTOGlobalDCE	79472321791	106296682000	1974939000
Aws_restjson	LLGoDeadcodeDrop	54001878200	101603348000	2353845000
Aws_restjson	LLGoNoLTO	43465752072	89032763000	2323372000
IXGo	Go	25408379652	83917912000	5553387000
Gorm_schema	LLGoFullLTOGlobalDCE	46512587770	66928330000	1532416000
Gorm_schema	LLGoFullLTONoGlobalDCE	46772208061	66601460000	1390655000
Uber_zap	LLGoDeadcodeDrop	29481669649	65542641000	1687474000
Uber_zap	LLGoNoLTO	27193997160	60645120000	1592713000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	34633629412	55170359000	1504948000
Toml	LLGoFullLTONoGlobalDCE	39829786084	51382842000	1216553000
Toml	LLGoFullLTOGlobalDCEPlugin	32421271702	45287380000	1227420000
Toml	LLGoFullLTOGlobalDCE	32013527315	44076907000	1166136000
Gorm_schema	LLGoDeadcodeDrop	14621528371	42491533000	1251216000
Gorm_schema	LLGoNoLTO	14310381986	40924954000	1362996000
Dustin_humanize	LLGoFullLTONoGlobalDCE	31556405605	38951784000	966892000
Etcdctl	Go	11031132683	32856448000	2411995000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	20924148108	28670327000	924832000
Dustin_humanize	LLGoFullLTOGlobalDCE	20818566606	28505007000	974625000
Toml	LLGoDeadcodeDrop	9939436881	25418885000	1132605000
Toml	LLGoNoLTO	9741514040	24850150000	1007898000
XGo	Go	6201085649	19617114000	1410701000
Dustin_humanize	LLGoNoLTO	6469204239	14504676000	791771000
Dustin_humanize	LLGoDeadcodeDrop	6423894320	14287279000	754651000
Aws_restjson	Go	3795643604	7969157000	788260000
Gorm_schema	Go	2597334890	6167194000	509079000
Uber_zap	Go	2363925914	5243335000	474589000
K8s_workqueue	Go	2428316444	4538671000	698551000
Toml	Go	1324048463	1996924000	383636000
Dustin_humanize	Go	434058363	750470000	150154000
