benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	360980190300	568482583000	6373482000
IXGo	LLGoFullLTOGlobalDCE	358225080509	566675246000	6753248000
IXGo	LLGoFullLTONoGlobalDCE	354922890261	556979687000	6054644000
IXGo	LLGoDeadcodeDrop	126358188704	375346085000	5824164000
IXGo	LLGoNoLTO	126116524511	372990972000	5567246000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	161337600529	261445313000	4540887000
Etcdctl	LLGoFullLTOGlobalDCE	159504748594	259427311000	4487865000
Etcdctl	LLGoFullLTONoGlobalDCE	159484146394	256894959000	4552196000
Etcdctl	LLGoDeadcodeDrop	65360100778	193764515000	3984364000
Etcdctl	LLGoNoLTO	64010193485	190741082000	3896875000
XGo	LLGoFullLTOGlobalDCEPlugin	122986958624	174340147000	3067470000
XGo	LLGoFullLTOGlobalDCE	122492982865	173510742000	3043686000
XGo	LLGoFullLTONoGlobalDCE	123316492676	172380582000	2986361000
Aws_restjson	LLGoFullLTONoGlobalDCE	100469523641	135245585000	2179567000
Aws_restjson	LLGoFullLTOGlobalDCE	89876970152	125757180000	2255853000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	88996203187	125000112000	2340386000
Uber_zap	LLGoFullLTONoGlobalDCE	85393615816	109958451000	1663881000
XGo	LLGoDeadcodeDrop	40309085068	105043135000	2741614000
XGo	LLGoNoLTO	40745150009	103748018000	2581756000
K8s_workqueue	LLGoFullLTONoGlobalDCE	82475736456	103567028000	1684023000
K8s_workqueue	LLGoFullLTOGlobalDCE	81925373256	103336071000	1700829000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	75610583289	100141616000	1736245000
Uber_zap	LLGoFullLTOGlobalDCE	75346048794	99689553000	1644876000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	69310885673	90868257000	1703996000
Aws_restjson	LLGoDeadcodeDrop	37488090915	80221523000	1901884000
Aws_restjson	LLGoNoLTO	37070104079	79564756000	1929279000
Gorm_schema	LLGoFullLTOGlobalDCE	44680484869	63230901000	1349775000
Gorm_schema	LLGoFullLTONoGlobalDCE	45253855975	62867642000	1262054000
Uber_zap	LLGoDeadcodeDrop	25013799706	55956228000	1420292000
Uber_zap	LLGoNoLTO	24732229040	54546091000	1418760000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	34877609903	53613267000	1275920000
Toml	LLGoFullLTONoGlobalDCE	40240252252	50950194000	1024098000
K8s_workqueue	LLGoDeadcodeDrop	23014921086	48434313000	1470499000
K8s_workqueue	LLGoNoLTO	22677652394	47805128000	1425911000
Toml	LLGoFullLTOGlobalDCEPlugin	33082101513	44762789000	1109746000
IXGo	Go	12768480724	41950944000	2758642000
Toml	LLGoFullLTOGlobalDCE	32565071860	43538930000	1010921000
Gorm_schema	LLGoDeadcodeDrop	12301261563	36690137000	1097872000
Gorm_schema	LLGoNoLTO	12064403185	36201493000	1117584000
Etcdctl	Go	9838200762	30874658000	1935871000
Dustin_humanize	LLGoFullLTONoGlobalDCE	25403841644	31747492000	865750000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17078622306	24113785000	793557000
Dustin_humanize	LLGoFullLTOGlobalDCE	16940819137	23495084000	771133000
Toml	LLGoDeadcodeDrop	8889416372	22923479000	945508000
Toml	LLGoNoLTO	8669123132	21950778000	922994000
XGo	Go	5457408847	17832244000	1103242000
Dustin_humanize	LLGoDeadcodeDrop	5501695356	12354050000	704876000
Dustin_humanize	LLGoNoLTO	5625737331	12322530000	734037000
Aws_restjson	Go	3092295232	7150928000	625135000
Gorm_schema	Go	2152637851	5260255000	415459000
Uber_zap	Go	2015298870	4830938000	402591000
K8s_workqueue	Go	1618304141	4164753000	443486000
Toml	Go	898868943	1753086000	232855000
Dustin_humanize	Go	380466961	640836000	165298000
