benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	282692231302	532867679000	13521720000
IXGo	LLGoFullLTONoGlobalDCE	274062623002	510707219000	12421708000
IXGo	LLGoFullLTOGlobalDCE	274849751346	508917322000	12838035000
IXGo	LLGoDeadcodeDrop	121401261629	397936594000	10798024000
IXGo	LLGoNoLTO	118055215363	387306307000	10251883000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	163880186270	272372100000	5399833000
Etcdctl	LLGoFullLTOGlobalDCE	160898609152	267467822000	5151638000
Etcdctl	LLGoFullLTONoGlobalDCE	161407050499	266777704000	4976823000
Etcdctl	LLGoDeadcodeDrop	67675888652	203899511000	4602157000
Etcdctl	LLGoNoLTO	66571065927	201015833000	4512729000
XGo	LLGoFullLTOGlobalDCEPlugin	122203330293	171718761000	3481123000
XGo	LLGoFullLTOGlobalDCE	121064612295	169993628000	3447737000
XGo	LLGoFullLTONoGlobalDCE	121969309906	169584842000	3214959000
Aws_restjson	LLGoFullLTONoGlobalDCE	133248283505	164944165000	2308328000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	119126788715	151295138000	2529720000
Aws_restjson	LLGoFullLTOGlobalDCE	118780206550	151306517000	2254265000
Aws_restjson	LLGoDeadcodeDrop	69047793308	107907099000	1928791000
Aws_restjson	LLGoNoLTO	68709274553	106555276000	1957272000
Uber_zap	LLGoFullLTONoGlobalDCE	81480082920	103960157000	1894715000
XGo	LLGoDeadcodeDrop	39712094886	101334238000	2925263000
XGo	LLGoNoLTO	39628943931	100520882000	3107763000
K8s_workqueue	LLGoFullLTOGlobalDCE	78716427872	98210145000	1907795000
K8s_workqueue	LLGoFullLTONoGlobalDCE	78575449172	97921522000	1842769000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	70713655003	93692436000	1911118000
Uber_zap	LLGoFullLTOGlobalDCE	70570655711	93281226000	1767621000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	64822246020	84726839000	1829796000
IXGo	Go	21936533320	72672305000	5656476000
Gorm_schema	LLGoFullLTONoGlobalDCE	41973282710	59104117000	1376959000
Gorm_schema	LLGoFullLTOGlobalDCE	41469561350	58878934000	1471520000
Uber_zap	LLGoDeadcodeDrop	24501317032	53666950000	1467163000
Uber_zap	LLGoNoLTO	24158340266	52254420000	1610999000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	30959553695	48666295000	1398896000
K8s_workqueue	LLGoDeadcodeDrop	22428625784	46420821000	1491151000
K8s_workqueue	LLGoNoLTO	22181481584	45825019000	1608744000
Toml	LLGoFullLTONoGlobalDCE	35775914319	45830033000	1111506000
Toml	LLGoFullLTOGlobalDCEPlugin	28358002656	39390940000	1080484000
Toml	LLGoFullLTOGlobalDCE	28090154883	38625832000	1048340000
Gorm_schema	LLGoDeadcodeDrop	12852455463	36337867000	1345375000
Gorm_schema	LLGoNoLTO	12317492491	35767188000	1195096000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26327431840	32508327000	889300000
Etcdctl	Go	9465181456	29273198000	2217736000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17777844713	23821915000	910885000
Dustin_humanize	LLGoFullLTOGlobalDCE	17691602230	23501634000	871067000
Toml	LLGoDeadcodeDrop	8745183761	22170726000	1073300000
Toml	LLGoNoLTO	8419782562	21194488000	1000270000
XGo	Go	5568862440	16826966000	1436185000
Dustin_humanize	LLGoDeadcodeDrop	5668788592	12008060000	802867000
Dustin_humanize	LLGoNoLTO	5496752027	11873877000	741816000
Aws_restjson	Go	3068963287	6704567000	721242000
Gorm_schema	Go	2138788999	5075320000	424710000
Uber_zap	Go	1982542947	4598969000	488795000
K8s_workqueue	Go	1973186471	4007260000	723090000
Toml	Go	893547709	1730872000	229624000
Dustin_humanize	Go	384182261	636126000	149622000
