benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	410098264595	619875806000	6723581000
IXGo	LLGoFullLTOGlobalDCE	403569202513	604246153000	6889619000
IXGo	LLGoFullLTOGlobalDCEPlugin	386364298138	595163096000	7144961000
IXGo	LLGoDeadcodeDrop	140166921603	420482117000	6550866000
IXGo	LLGoNoLTO	131531238061	396158226000	6309854000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	162005221724	257243839000	5016961000
Etcdctl	LLGoFullLTOGlobalDCE	162334742819	256404403000	4892116000
Etcdctl	LLGoFullLTONoGlobalDCE	158733902519	249464727000	4720639000
Etcdctl	LLGoDeadcodeDrop	64616589949	184885628000	4424997000
Etcdctl	LLGoNoLTO	62710595428	181381022000	4351648000
XGo	LLGoFullLTOGlobalDCEPlugin	127206765530	178538873000	3377663000
XGo	LLGoFullLTOGlobalDCE	123812323588	171709622000	3207926000
XGo	LLGoFullLTONoGlobalDCE	124586817892	171453400000	3165628000
Aws_restjson	LLGoFullLTONoGlobalDCE	101377168255	133714624000	2382296000
Aws_restjson	LLGoFullLTOGlobalDCE	91158779752	124531718000	2304015000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	90254371416	123130175000	2491199000
Uber_zap	LLGoFullLTONoGlobalDCE	84724194602	107019567000	1781245000
XGo	LLGoNoLTO	40633927124	103362671000	2969532000
K8s_workqueue	LLGoFullLTONoGlobalDCE	82251670853	101625100000	1839253000
K8s_workqueue	LLGoFullLTOGlobalDCE	81163017580	100936077000	1790289000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	76025997190	100339747000	1917959000
XGo	LLGoDeadcodeDrop	38535613727	98747121000	2842369000
Uber_zap	LLGoFullLTOGlobalDCE	74903141815	97438725000	1825716000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	68022275681	87916581000	1783344000
Aws_restjson	LLGoNoLTO	37414012819	77468036000	2068569000
Aws_restjson	LLGoDeadcodeDrop	37822133019	77054281000	2123439000
Gorm_schema	LLGoFullLTONoGlobalDCE	44333509271	61100523000	1336786000
Gorm_schema	LLGoFullLTOGlobalDCE	43663743808	60623299000	1478589000
Uber_zap	LLGoDeadcodeDrop	26416202922	55426089000	1521332000
Uber_zap	LLGoNoLTO	24734309914	53451223000	1506669000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	33966940133	51249889000	1432316000
Toml	LLGoFullLTONoGlobalDCE	39210457140	49006441000	1138186000
K8s_workqueue	LLGoNoLTO	22542619498	46859397000	1586573000
K8s_workqueue	LLGoDeadcodeDrop	22133121883	45716780000	1483518000
Toml	LLGoFullLTOGlobalDCEPlugin	31787098724	42606221000	1142135000
IXGo	Go	12599282062	39322429000	3099816000
Toml	LLGoFullLTOGlobalDCE	31289739825	41331133000	1053586000
Gorm_schema	LLGoDeadcodeDrop	11806163851	34347020000	1271029000
Gorm_schema	LLGoNoLTO	11489042866	33959093000	1210368000
Dustin_humanize	LLGoFullLTONoGlobalDCE	27779993711	33682257000	913554000
Etcdctl	Go	9490760629	29679914000	2066252000
Dustin_humanize	LLGoFullLTOGlobalDCE	18463205854	24576179000	868875000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	16967399403	22879837000	851419000
Toml	LLGoDeadcodeDrop	8495550415	21338565000	956023000
Toml	LLGoNoLTO	8466077147	21089426000	982290000
XGo	Go	5334665498	16798650000	1256516000
Dustin_humanize	LLGoNoLTO	5551755659	11655912000	749608000
Dustin_humanize	LLGoDeadcodeDrop	5398639174	11550146000	730335000
Aws_restjson	Go	3110186632	6954354000	714458000
Gorm_schema	Go	2098983002	5093580000	396865000
Uber_zap	Go	1966922518	4667581000	408215000
K8s_workqueue	Go	1602571658	3998082000	490236000
Toml	Go	926584159	1746397000	228183000
Dustin_humanize	Go	372168346	629504000	147123000
