benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	296637063908	591974647000	11561523000
IXGo	LLGoFullLTOGlobalDCEPlugin	281405562924	518550120000	15294080000
IXGo	LLGoFullLTONoGlobalDCE	269544155620	493402532000	11484006000
IXGo	LLGoDeadcodeDrop	133236339863	441168655000	10109114000
IXGo	LLGoNoLTO	122255902465	400187997000	9595837000
Etcdctl	LLGoFullLTOGlobalDCE	163090107969	259562438000	4609460000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	161867416678	257442383000	4648592000
Etcdctl	LLGoFullLTONoGlobalDCE	155472018490	246609161000	4363818000
Etcdctl	LLGoDeadcodeDrop	65315614499	190065738000	4211076000
Etcdctl	LLGoNoLTO	63262199245	185273370000	4059862000
XGo	LLGoFullLTOGlobalDCEPlugin	128784056551	183233887000	3279674000
XGo	LLGoFullLTOGlobalDCE	128333486738	182530372000	3487087000
XGo	LLGoFullLTONoGlobalDCE	123467027532	175240706000	3252267000
Aws_restjson	LLGoFullLTONoGlobalDCE	98720652165	134121487000	2416590000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	85599962258	121913822000	2415084000
Aws_restjson	LLGoFullLTOGlobalDCE	85761787689	121770085000	2538822000
XGo	LLGoDeadcodeDrop	42269051266	109805960000	2855912000
XGo	LLGoNoLTO	42225511496	107852215000	2851059000
Uber_zap	LLGoFullLTONoGlobalDCE	81665389557	106011113000	1783442000
Uber_zap	LLGoFullLTOGlobalDCE	73669390842	99309195000	1789460000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	71748045431	97306728000	1847968000
Aws_restjson	LLGoDeadcodeDrop	41344024013	86261734000	2026307000
Aws_restjson	LLGoNoLTO	38843312483	81338547000	2045440000
IXGo	Go	23468241939	78133872000	5019379000
Gorm_schema	LLGoFullLTOGlobalDCE	41734690748	60528772000	1443164000
Gorm_schema	LLGoFullLTONoGlobalDCE	42086207944	60113941000	1383052000
Uber_zap	LLGoDeadcodeDrop	25986028318	57437048000	1707351000
Uber_zap	LLGoNoLTO	25842174275	57346268000	1535432000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	31955994871	51425657000	1439372000
Toml	LLGoFullLTONoGlobalDCE	36238448119	47062376000	1141922000
Toml	LLGoFullLTOGlobalDCE	29852281816	41501943000	1037314000
Toml	LLGoFullLTOGlobalDCEPlugin	28781012933	40385211000	1046223000
Gorm_schema	LLGoDeadcodeDrop	13671651485	39415853000	1174437000
Gorm_schema	LLGoNoLTO	13065012042	38126078000	1154946000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26674515423	33579266000	875423000
Etcdctl	Go	10340074508	32220892000	2086871000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	19004957290	26261721000	900862000
Dustin_humanize	LLGoFullLTOGlobalDCE	17995334244	24938091000	823399000
Toml	LLGoDeadcodeDrop	9076772000	23430527000	947201000
Toml	LLGoNoLTO	9129707277	22878713000	1023543000
XGo	Go	5738325037	17778802000	1151442000
Dustin_humanize	LLGoNoLTO	5974260813	13461496000	758925000
Dustin_humanize	LLGoDeadcodeDrop	5914558343	13318764000	724695000
Aws_restjson	Go	3533475309	7175551000	824079000
Gorm_schema	Go	2422624758	5349055000	509236000
Uber_zap	Go	2304192952	4913195000	502747000
K8s_workqueue	Go	1941120745	4421986000	582866000
Toml	Go	984902229	1868054000	254013000
Dustin_humanize	Go	394601004	653076000	159369000
