benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	444017339347	653842091000	6946388000
IXGo	LLGoFullLTOGlobalDCE	438849650255	648789447000	6927793000
IXGo	LLGoFullLTONoGlobalDCE	435866042389	638114176000	6747348000
IXGo	LLGoDeadcodeDrop	139618287435	405797640000	6256494000
IXGo	LLGoNoLTO	133264579436	389049300000	6045307000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	163240930335	258855491000	5261589000
Etcdctl	LLGoFullLTOGlobalDCE	162168519985	257223028000	4941835000
Etcdctl	LLGoFullLTONoGlobalDCE	162525001611	254933823000	4755401000
Etcdctl	LLGoDeadcodeDrop	62817378207	184534889000	4414857000
Etcdctl	LLGoNoLTO	63260762225	183516721000	4967739000
XGo	LLGoFullLTOGlobalDCEPlugin	124094187473	172071503000	3291024000
XGo	LLGoFullLTONoGlobalDCE	124323541511	171619861000	3294601000
XGo	LLGoFullLTOGlobalDCE	123821146551	171164693000	3392158000
Aws_restjson	LLGoFullLTONoGlobalDCE	103299419143	136118810000	2380611000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	91477673947	124288306000	2471863000
Aws_restjson	LLGoFullLTOGlobalDCE	91168374645	123974045000	2449519000
Uber_zap	LLGoFullLTONoGlobalDCE	84445565807	106668839000	1794693000
K8s_workqueue	LLGoFullLTOGlobalDCE	84254446414	103854864000	1787976000
XGo	LLGoDeadcodeDrop	39338659454	100112340000	2871446000
K8s_workqueue	LLGoFullLTONoGlobalDCE	81677876936	101038934000	1796755000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	75429443134	99124517000	1777328000
XGo	LLGoNoLTO	38011447593	97676626000	2843481000
Uber_zap	LLGoFullLTOGlobalDCE	74685068624	97289596000	1729086000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	68702127981	88645479000	1819359000
Aws_restjson	LLGoDeadcodeDrop	38750828400	79180249000	2026123000
Aws_restjson	LLGoNoLTO	37468619878	77053836000	2221803000
Gorm_schema	LLGoFullLTONoGlobalDCE	44597967278	61439717000	1384592000
Gorm_schema	LLGoFullLTOGlobalDCE	43969631736	60638494000	1417076000
Uber_zap	LLGoDeadcodeDrop	24441806900	53501510000	1579784000
Uber_zap	LLGoNoLTO	23933642690	52060750000	1528136000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	34156693081	51651040000	1388364000
Toml	LLGoFullLTONoGlobalDCE	39612501251	49596257000	1047966000
K8s_workqueue	LLGoDeadcodeDrop	22273016781	45717994000	1580198000
K8s_workqueue	LLGoNoLTO	22367271752	45715337000	1500761000
Toml	LLGoFullLTOGlobalDCEPlugin	32187967574	43012961000	1159203000
Toml	LLGoFullLTOGlobalDCE	31806169823	42024022000	1098687000
IXGo	Go	12311240067	39809305000	3104572000
Gorm_schema	LLGoDeadcodeDrop	11855265804	34857726000	1193587000
Gorm_schema	LLGoNoLTO	11623314739	34215231000	1211007000
Dustin_humanize	LLGoFullLTONoGlobalDCE	25955118866	32192933000	888060000
Etcdctl	Go	9575024087	29711772000	2170974000
Dustin_humanize	LLGoFullLTOGlobalDCE	17282180035	23158489000	814136000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17138894290	23125023000	820874000
Toml	LLGoDeadcodeDrop	8542406938	21503649000	938886000
Toml	LLGoNoLTO	8311830253	20605298000	989154000
XGo	Go	5356417739	17038037000	1240569000
Dustin_humanize	LLGoDeadcodeDrop	5370406586	11630115000	723422000
Dustin_humanize	LLGoNoLTO	5253240323	11591138000	713365000
Aws_restjson	Go	3167581471	6898835000	744432000
Gorm_schema	Go	2116022852	5117292000	395560000
Uber_zap	Go	1983246426	4736632000	384882000
K8s_workqueue	Go	1726681379	4063615000	499262000
Toml	Go	944476791	1717548000	265502000
Dustin_humanize	Go	365317108	639610000	142100000
