benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	289723506904	533658788000	13558687000
IXGo	LLGoFullLTONoGlobalDCE	273554349220	509515545000	11363256000
IXGo	LLGoFullLTOGlobalDCE	275331227248	507552595000	12087127000
IXGo	LLGoDeadcodeDrop	129776135845	425115132000	10032715000
IXGo	LLGoNoLTO	121007824895	394183733000	9752086000
Etcdctl	LLGoFullLTOGlobalDCE	167807286938	286350861000	5127781000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	167440882007	285742213000	5519518000
Etcdctl	LLGoFullLTONoGlobalDCE	165179915327	280495092000	4733385000
Etcdctl	LLGoDeadcodeDrop	72715435396	219855679000	4365938000
Etcdctl	LLGoNoLTO	73112083611	219513134000	4448897000
XGo	LLGoFullLTONoGlobalDCE	130053035829	184373384000	3364345000
XGo	LLGoFullLTOGlobalDCE	127025628082	182172092000	3482510000
XGo	LLGoFullLTOGlobalDCEPlugin	124243603609	177213520000	3229724000
Aws_restjson	LLGoFullLTONoGlobalDCE	122276680960	157486256000	2175442000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	106908603618	143217684000	2294251000
Aws_restjson	LLGoFullLTOGlobalDCE	107120456897	143194091000	2256457000
Aws_restjson	LLGoDeadcodeDrop	82769047183	125598034000	2261683000
XGo	LLGoDeadcodeDrop	43752032789	111417334000	2830712000
Uber_zap	LLGoFullLTONoGlobalDCE	84067232009	109507355000	1767277000
XGo	LLGoNoLTO	41807686959	107938633000	2843708000
Aws_restjson	LLGoNoLTO	60645957076	102918863000	1953967000
K8s_workqueue	LLGoFullLTOGlobalDCE	80566722394	102543341000	1789969000
K8s_workqueue	LLGoFullLTONoGlobalDCE	80530213796	101414902000	1876941000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	72265049442	97910917000	1719952000
Uber_zap	LLGoFullLTOGlobalDCE	72251888117	97258265000	1745308000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	66452698452	89002842000	1795641000
IXGo	Go	23380506673	79536912000	5485560000
Gorm_schema	LLGoFullLTONoGlobalDCE	43186700369	61955813000	1357479000
Gorm_schema	LLGoFullLTOGlobalDCE	42198199964	61296459000	1474398000
Uber_zap	LLGoDeadcodeDrop	27010744356	59091355000	1454502000
Uber_zap	LLGoNoLTO	26500916878	57429942000	1490232000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	31815395906	51597559000	1381480000
K8s_workqueue	LLGoNoLTO	24379683398	50835643000	1500377000
K8s_workqueue	LLGoDeadcodeDrop	24488514508	50422939000	1649057000
Toml	LLGoFullLTONoGlobalDCE	36127571573	47340915000	1043667000
Toml	LLGoFullLTOGlobalDCEPlugin	29644301920	41676662000	1176452000
Toml	LLGoFullLTOGlobalDCE	28970238798	40435268000	1035451000
Gorm_schema	LLGoNoLTO	13462877487	39366290000	1232161000
Gorm_schema	LLGoDeadcodeDrop	13658689500	39318284000	1225878000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26705576830	33366851000	891976000
Etcdctl	Go	10154273089	31077783000	1954677000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	18349478630	25188007000	886465000
Dustin_humanize	LLGoFullLTOGlobalDCE	17934607408	24589786000	872236000
Toml	LLGoDeadcodeDrop	9290614628	23816241000	1014632000
Toml	LLGoNoLTO	9044594011	23183978000	919132000
XGo	Go	6251909088	18174020000	1497037000
Dustin_humanize	LLGoNoLTO	5917907217	13300569000	744879000
Dustin_humanize	LLGoDeadcodeDrop	5841348458	13022653000	708815000
Aws_restjson	Go	4387037202	7994373000	978882000
Gorm_schema	Go	2224262413	5366576000	427350000
Uber_zap	Go	2302794364	5200537000	486044000
K8s_workqueue	Go	1673700796	4255818000	476062000
Toml	Go	1090222596	1853265000	233486000
Dustin_humanize	Go	384363608	647255000	167782000
