benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	408038472795	630750642000	7044994000
IXGo	LLGoFullLTONoGlobalDCE	408226187822	629153074000	6827952000
IXGo	LLGoFullLTOGlobalDCE	403639668933	621727106000	6436269000
IXGo	LLGoNoLTO	150364358612	455235715000	5775637000
IXGo	LLGoDeadcodeDrop	141648297540	423885617000	5931325000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	169209331867	278614136000	4965287000
Etcdctl	LLGoFullLTOGlobalDCE	169202909293	276154636000	5354129000
Etcdctl	LLGoFullLTONoGlobalDCE	168092452215	268851683000	4422938000
Etcdctl	LLGoNoLTO	67605926766	201776762000	4074203000
Etcdctl	LLGoDeadcodeDrop	66705830459	197689227000	4213950000
XGo	LLGoFullLTOGlobalDCEPlugin	133401772361	187132138000	3234219000
XGo	LLGoFullLTONoGlobalDCE	128924453390	180173094000	3002277000
XGo	LLGoFullLTOGlobalDCE	126815609803	178744493000	3215618000
Aws_restjson	LLGoFullLTONoGlobalDCE	104718036526	140169422000	2285259000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	95467567162	132998133000	2282025000
Aws_restjson	LLGoFullLTOGlobalDCE	90370938476	126458001000	2292575000
Uber_zap	LLGoFullLTONoGlobalDCE	90334467095	114476665000	1694224000
XGo	LLGoDeadcodeDrop	41350593953	108537974000	2766218000
K8s_workqueue	LLGoFullLTONoGlobalDCE	85274930819	106601006000	1734418000
K8s_workqueue	LLGoFullLTOGlobalDCE	84669700271	106322777000	1753671000
XGo	LLGoNoLTO	40609916516	105301385000	2640759000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	76709246755	101605958000	1795930000
Uber_zap	LLGoFullLTOGlobalDCE	76958040871	101490344000	1757075000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	70900011977	92647923000	1758399000
Aws_restjson	LLGoDeadcodeDrop	41321040426	86035843000	2069754000
Aws_restjson	LLGoNoLTO	38610863075	82078294000	1999124000
Gorm_schema	LLGoFullLTOGlobalDCE	46774143630	65821777000	1400521000
Gorm_schema	LLGoFullLTONoGlobalDCE	47074938816	65560511000	1268818000
Uber_zap	LLGoDeadcodeDrop	26541290780	57891452000	1418665000
Uber_zap	LLGoNoLTO	25621378861	57730571000	1480780000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	37238053831	56129653000	1285230000
Toml	LLGoFullLTONoGlobalDCE	42317359146	53279444000	1089882000
K8s_workqueue	LLGoNoLTO	23875499596	50847097000	1604843000
K8s_workqueue	LLGoDeadcodeDrop	23838384847	49854875000	1584113000
Toml	LLGoFullLTOGlobalDCEPlugin	34230381452	46184786000	1066651000
IXGo	Go	13453028981	43552147000	3004574000
Toml	LLGoFullLTOGlobalDCE	33953461870	45095645000	961529000
Gorm_schema	LLGoDeadcodeDrop	12644300868	37798883000	1170369000
Gorm_schema	LLGoNoLTO	12537036554	37208248000	1191309000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26953762932	33953743000	853000000
Etcdctl	Go	10018401654	31410052000	2028435000
Dustin_humanize	LLGoFullLTOGlobalDCE	19189301313	26435721000	813942000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17870772399	25005375000	792583000
Toml	LLGoDeadcodeDrop	9042817365	23150233000	989288000
Toml	LLGoNoLTO	8806425802	22485663000	947124000
XGo	Go	5737300355	18060908000	1157752000
Dustin_humanize	LLGoNoLTO	5646174342	12924256000	710913000
Dustin_humanize	LLGoDeadcodeDrop	5592616290	12502438000	707887000
Aws_restjson	Go	3146665666	7307353000	645827000
Gorm_schema	Go	2208795261	5414837000	399810000
Uber_zap	Go	2075931015	4888630000	392029000
K8s_workqueue	Go	1765016430	4429876000	484957000
Toml	Go	1036266047	1949122000	263393000
Dustin_humanize	Go	380772680	678993000	138650000
