benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	316641415463	617673396000	12705683000
IXGo	LLGoFullLTONoGlobalDCE	311639449741	603705028000	11006078000
IXGo	LLGoFullLTOGlobalDCE	308245839897	597658550000	11585659000
IXGo	LLGoDeadcodeDrop	149747409231	488399971000	10382503000
IXGo	LLGoNoLTO	131820172189	443465007000	9779911000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	173982500313	296879617000	5801292000
Etcdctl	LLGoFullLTONoGlobalDCE	170981227449	288997378000	5142154000
Etcdctl	LLGoFullLTOGlobalDCE	168795217950	287898114000	4720044000
Etcdctl	LLGoDeadcodeDrop	72823278212	221722993000	4675001000
Etcdctl	LLGoNoLTO	70922171356	218947869000	4377564000
Aws_restjson	LLGoFullLTONoGlobalDCE	158510204222	193542854000	2352618000
Aws_restjson	LLGoFullLTOGlobalDCE	151673130137	186918681000	2274445000
XGo	LLGoFullLTONoGlobalDCE	127559835535	181789763000	3404094000
XGo	LLGoFullLTOGlobalDCEPlugin	127306543383	181023909000	3358246000
XGo	LLGoFullLTOGlobalDCE	126560635138	180596973000	3348048000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	136119948275	171880012000	2358339000
Aws_restjson	LLGoDeadcodeDrop	108329848875	151499804000	2163171000
Aws_restjson	LLGoNoLTO	106793809201	149307134000	2077993000
XGo	LLGoDeadcodeDrop	42112841323	110128726000	3096214000
XGo	LLGoNoLTO	40794876926	108123303000	2841341000
Uber_zap	LLGoFullLTONoGlobalDCE	83829569892	108960753000	1766120000
K8s_workqueue	LLGoFullLTONoGlobalDCE	82178878131	103449372000	1890292000
K8s_workqueue	LLGoFullLTOGlobalDCE	80739911112	103118550000	1799794000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	74631811604	101475551000	1807391000
Uber_zap	LLGoFullLTOGlobalDCE	74479221150	99963944000	1768932000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	68299530959	89432619000	2177700000
IXGo	Go	23189476330	79196171000	5099178000
Gorm_schema	LLGoFullLTONoGlobalDCE	44112193842	63477000000	1357096000
Gorm_schema	LLGoFullLTOGlobalDCE	43487585397	62808606000	1498364000
Uber_zap	LLGoDeadcodeDrop	24831553788	56906262000	1509091000
Uber_zap	LLGoNoLTO	24663975799	55408509000	1572586000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	32793426609	52579485000	1349297000
K8s_workqueue	LLGoDeadcodeDrop	23470727042	49633382000	1572331000
Toml	LLGoFullLTONoGlobalDCE	38331657708	49682331000	1145185000
K8s_workqueue	LLGoNoLTO	22090030297	48147727000	1388054000
Toml	LLGoFullLTOGlobalDCEPlugin	29573109697	41604073000	1051472000
Toml	LLGoFullLTOGlobalDCE	29869144898	41487997000	1065925000
Gorm_schema	LLGoDeadcodeDrop	13931383781	40617639000	1292361000
Gorm_schema	LLGoNoLTO	13404790652	39703746000	1174123000
Dustin_humanize	LLGoFullLTONoGlobalDCE	28149758861	34906667000	912981000
Etcdctl	Go	10271666625	31610691000	2051563000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	18956710909	26022074000	901526000
Dustin_humanize	LLGoFullLTOGlobalDCE	18523096206	25351495000	854690000
Toml	LLGoDeadcodeDrop	9574711838	24835063000	1042412000
Toml	LLGoNoLTO	9371651190	23534254000	988662000
XGo	Go	5720443479	17918480000	1219080000
Dustin_humanize	LLGoDeadcodeDrop	6139801261	13428405000	777544000
Dustin_humanize	LLGoNoLTO	5932491468	13132416000	754984000
Aws_restjson	Go	3302779878	7444761000	665769000
Gorm_schema	Go	2219231320	5427206000	386482000
Uber_zap	Go	2152994628	4951146000	438443000
K8s_workqueue	Go	2208193750	4453740000	628581000
Toml	Go	1241771562	1877463000	328953000
Dustin_humanize	Go	389606082	682058000	148944000
