benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	284447410049	524687286000	11543572000
IXGo	LLGoFullLTOGlobalDCEPlugin	276924469937	511493834000	11642664000
IXGo	LLGoFullLTOGlobalDCE	270977019071	501762520000	12202577000
IXGo	LLGoDeadcodeDrop	123650542764	403648883000	10491104000
IXGo	LLGoNoLTO	117753014626	388526568000	9533995000
Etcdctl	LLGoFullLTOGlobalDCE	164337216072	261418199000	5002544000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	156081971881	250951033000	4625497000
Etcdctl	LLGoFullLTONoGlobalDCE	156948797557	249776359000	4514686000
Etcdctl	LLGoDeadcodeDrop	63362526732	187192261000	4190560000
Etcdctl	LLGoNoLTO	62055528724	184950130000	3964303000
XGo	LLGoFullLTOGlobalDCEPlugin	123590655223	175656271000	3337896000
XGo	LLGoFullLTONoGlobalDCE	121961378661	172925593000	3251377000
XGo	LLGoFullLTOGlobalDCE	120410018908	172892527000	3162596000
Aws_restjson	LLGoFullLTONoGlobalDCE	97108823223	132397659000	2344220000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	85010200552	121153676000	2425535000
Aws_restjson	LLGoFullLTOGlobalDCE	83818105384	119435939000	2262783000
XGo	LLGoDeadcodeDrop	40575431265	106519362000	2766678000
XGo	LLGoNoLTO	40058829240	106472902000	2785151000
Uber_zap	LLGoFullLTONoGlobalDCE	81123302868	105256665000	1723063000
Uber_zap	LLGoFullLTOGlobalDCE	71852715638	96613861000	2120692000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	70635213754	96168760000	1783163000
IXGo	Go	23369702028	78058200000	5061509000
Aws_restjson	LLGoDeadcodeDrop	37235548118	80078539000	2245105000
Aws_restjson	LLGoNoLTO	36770215329	79841480000	2136736000
Gorm_schema	LLGoFullLTONoGlobalDCE	41915657248	60420571000	1381721000
Gorm_schema	LLGoFullLTOGlobalDCE	41372158342	60261028000	1323287000
Uber_zap	LLGoDeadcodeDrop	24337018170	55702966000	1577558000
Uber_zap	LLGoNoLTO	24073556075	54373629000	1428226000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	31397329261	50504803000	1367122000
Toml	LLGoFullLTONoGlobalDCE	36498098634	47514564000	1084877000
Toml	LLGoFullLTOGlobalDCEPlugin	28989280024	40847140000	1151968000
Toml	LLGoFullLTOGlobalDCE	28633222318	39786365000	1093253000
Gorm_schema	LLGoDeadcodeDrop	13361194599	38718710000	1193239000
Gorm_schema	LLGoNoLTO	12902721115	38092845000	1180040000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26618818572	33494502000	867620000
Etcdctl	Go	10824745545	31338736000	2260439000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	18152141837	25184052000	886390000
Dustin_humanize	LLGoFullLTOGlobalDCE	17948136307	25036038000	881591000
Toml	LLGoDeadcodeDrop	9537044149	24392301000	1060477000
Toml	LLGoNoLTO	8928985249	23060820000	963296000
XGo	Go	5601332288	17580420000	1209220000
Dustin_humanize	LLGoDeadcodeDrop	5967158135	13558192000	733122000
Dustin_humanize	LLGoNoLTO	5766002436	13081707000	719237000
Aws_restjson	Go	3168523226	7177601000	665751000
Gorm_schema	Go	2184514675	5327320000	392638000
Uber_zap	Go	2020760700	4874754000	389437000
K8s_workqueue	Go	1661152273	4219785000	465146000
Toml	Go	917186461	1765218000	261526000
Dustin_humanize	Go	422987732	686681000	139966000
