app	config	bytes	status
base64	Go	2275731	success
base64	TinyGo	96760	success
base64	LLGoNoLTO	1669625	success
base64	LLGoDeadcodeDrop	1008596	success
base64	LLGoFullLTONoGlobalDCE	1304509	success
base64	LLGoFullLTOGlobalDCE	910165	success
checksum	Go	2264417	success
checksum	TinyGo	92685	success
checksum	LLGoNoLTO	1646749	success
checksum	LLGoDeadcodeDrop	981060	success
checksum	LLGoFullLTONoGlobalDCE	1275051	success
checksum	LLGoFullLTOGlobalDCE	877811	success
convolution	Go	2608089	success
convolution	TinyGo	201149	success
convolution	LLGoNoLTO	2799006	success
convolution	LLGoDeadcodeDrop	1631541	success
convolution	LLGoFullLTONoGlobalDCE	2349885	success
convolution	LLGoFullLTOGlobalDCE	1464423	success
fibonacci	Go	2230899	success
fibonacci	TinyGo	62386	success
fibonacci	LLGoNoLTO	1380378	success
fibonacci	LLGoDeadcodeDrop	905923	success
fibonacci	LLGoFullLTONoGlobalDCE	1110025	success
fibonacci	LLGoFullLTOGlobalDCE	816931	success
grep	Go	2848917	success
grep	TinyGo	303772	success
grep	LLGoNoLTO	2374109	success
grep	LLGoDeadcodeDrop	1581258	success
grep	LLGoFullLTONoGlobalDCE	1925348	success
grep	LLGoFullLTOGlobalDCE	1415555	success
glob	Go	2257634	success
glob	TinyGo	93153	success
glob	LLGoNoLTO	1837695	success
glob	LLGoDeadcodeDrop	1139515	success
glob	LLGoFullLTONoGlobalDCE	1466886	success
glob	LLGoFullLTOGlobalDCE	1029313	success
json-roundtrip	Go	3314587	success
json-roundtrip	TinyGo	493590	success
json-roundtrip	LLGoNoLTO	4109676	success
json-roundtrip	LLGoDeadcodeDrop	2490053	success
json-roundtrip	LLGoFullLTONoGlobalDCE	3471466	success
json-roundtrip	LLGoFullLTOGlobalDCE	2367602	success
llimport	Go	8423078	success
llimport	TinyGo	null	failed
llimport	LLGoNoLTO	12449016	success
llimport	LLGoDeadcodeDrop	10974270	success
llimport	LLGoFullLTONoGlobalDCE	8982064	success
llimport	LLGoFullLTOGlobalDCE	8270687	success
path-report	Go	2381190	success
path-report	TinyGo	116889	success
path-report	LLGoNoLTO	2178301	success
path-report	LLGoDeadcodeDrop	1471109	success
path-report	LLGoFullLTONoGlobalDCE	1793696	success
path-report	LLGoFullLTOGlobalDCE	1347023	success
sha256	Go	2780972	success
sha256	TinyGo	287449	success
sha256	LLGoNoLTO	3134422	success
sha256	LLGoDeadcodeDrop	1936415	success
sha256	LLGoFullLTONoGlobalDCE	2639698	success
sha256	LLGoFullLTOGlobalDCE	1743352	success
word-count	Go	2253620	success
word-count	TinyGo	86834	success
word-count	LLGoNoLTO	1798143	success
word-count	LLGoDeadcodeDrop	1113028	success
word-count	LLGoFullLTONoGlobalDCE	1411111	success
word-count	LLGoFullLTOGlobalDCE	996644	success
