app	config	bytes	status
base64	Go	2275731	success
base64	TinyGo	96760	success
base64	LLGoNoLTO	1120806	success
base64	LLGoDeadcodeDrop	731885	success
base64	LLGoFullLTONoGlobalDCE	781994	success
base64	LLGoFullLTOGlobalDCE	585648	success
checksum	Go	2264417	success
checksum	TinyGo	92685	success
checksum	LLGoNoLTO	1111358	success
checksum	LLGoDeadcodeDrop	721217	success
checksum	LLGoFullLTONoGlobalDCE	771520	success
checksum	LLGoFullLTOGlobalDCE	573570	success
convolution	Go	2608089	success
convolution	TinyGo	201149	success
convolution	LLGoNoLTO	1998260	success
convolution	LLGoDeadcodeDrop	1322712	success
convolution	LLGoFullLTONoGlobalDCE	1457656	success
convolution	LLGoFullLTOGlobalDCE	999254	success
fibonacci	Go	2230899	success
fibonacci	TinyGo	62386	success
fibonacci	LLGoNoLTO	984530	success
fibonacci	LLGoDeadcodeDrop	680255	success
fibonacci	LLGoFullLTONoGlobalDCE	500974	success
fibonacci	LLGoFullLTOGlobalDCE	471033	success
grep	Go	2848917	success
grep	TinyGo	303772	success
grep	LLGoNoLTO	1716944	success
grep	LLGoDeadcodeDrop	1242390	success
grep	LLGoFullLTONoGlobalDCE	1215452	success
grep	LLGoFullLTOGlobalDCE	953798	success
glob	Go	2257634	success
glob	TinyGo	93153	success
glob	LLGoNoLTO	1347780	success
glob	LLGoDeadcodeDrop	939850	success
glob	LLGoFullLTONoGlobalDCE	923241	success
glob	LLGoFullLTOGlobalDCE	700680	success
json-roundtrip	Go	3314587	success
json-roundtrip	TinyGo	493590	success
json-roundtrip	LLGoNoLTO	2902295	success
json-roundtrip	LLGoDeadcodeDrop	1956559	success
json-roundtrip	LLGoFullLTONoGlobalDCE	2133177	success
json-roundtrip	LLGoFullLTOGlobalDCE	1540184	success
llimport	Go	8423078	success
llimport	TinyGo	null	failed
llimport	LLGoNoLTO	10249152	success
llimport	LLGoDeadcodeDrop	9335674	success
llimport	LLGoFullLTONoGlobalDCE	7315958	success
llimport	LLGoFullLTOGlobalDCE	6704015	success
path-report	Go	2381190	success
path-report	TinyGo	116889	success
path-report	LLGoNoLTO	1621421	success
path-report	LLGoDeadcodeDrop	1208034	success
path-report	LLGoFullLTONoGlobalDCE	1101565	success
path-report	LLGoFullLTOGlobalDCE	873461	success
sha256	Go	2780972	success
sha256	TinyGo	287449	success
sha256	LLGoNoLTO	2251619	success
sha256	LLGoDeadcodeDrop	1557467	success
sha256	LLGoFullLTONoGlobalDCE	1641495	success
sha256	LLGoFullLTOGlobalDCE	1182503	success
word-count	Go	2253620	success
word-count	TinyGo	86834	success
word-count	LLGoNoLTO	1315605	success
word-count	LLGoDeadcodeDrop	916261	success
word-count	LLGoFullLTONoGlobalDCE	882440	success
word-count	LLGoFullLTOGlobalDCE	677319	success
