app	config	bytes	status
base64	Go	2275731	success
base64	TinyGo	96760	success
base64	LLGoNoLTO	1668195	success
base64	LLGoDeadcodeDrop	1007819	success
base64	LLGoFullLTONoGlobalDCE	1303294	success
base64	LLGoFullLTOGlobalDCE	909454	success
checksum	Go	2264417	success
checksum	TinyGo	92685	success
checksum	LLGoNoLTO	1645084	success
checksum	LLGoDeadcodeDrop	980107	success
checksum	LLGoFullLTONoGlobalDCE	1273517	success
checksum	LLGoFullLTOGlobalDCE	876852	success
convolution	Go	2608089	success
convolution	TinyGo	201149	success
convolution	LLGoNoLTO	2796603	success
convolution	LLGoDeadcodeDrop	1629708	success
convolution	LLGoFullLTONoGlobalDCE	2347894	success
convolution	LLGoFullLTOGlobalDCE	1469554	success
fibonacci	Go	2230899	success
fibonacci	TinyGo	62386	success
fibonacci	LLGoNoLTO	1378877	success
fibonacci	LLGoDeadcodeDrop	905119	success
fibonacci	LLGoFullLTONoGlobalDCE	1108614	success
fibonacci	LLGoFullLTOGlobalDCE	816311	success
grep	Go	2848917	success
grep	TinyGo	303772	success
grep	LLGoNoLTO	2370191	success
grep	LLGoDeadcodeDrop	1578505	success
grep	LLGoFullLTONoGlobalDCE	1922357	success
grep	LLGoFullLTOGlobalDCE	1413728	success
glob	Go	2257634	success
glob	TinyGo	93153	success
glob	LLGoNoLTO	1836186	success
glob	LLGoDeadcodeDrop	1138658	success
glob	LLGoFullLTONoGlobalDCE	1465490	success
glob	LLGoFullLTOGlobalDCE	1028742	success
json-roundtrip	Go	3314587	success
json-roundtrip	TinyGo	493590	success
json-roundtrip	LLGoNoLTO	4104106	success
json-roundtrip	LLGoDeadcodeDrop	2486437	success
json-roundtrip	LLGoFullLTONoGlobalDCE	3466649	success
json-roundtrip	LLGoFullLTOGlobalDCE	2364574	success
llimport	Go	8423078	success
llimport	TinyGo	null	failed
llimport	LLGoNoLTO	12431400	success
llimport	LLGoDeadcodeDrop	10958158	success
llimport	LLGoFullLTONoGlobalDCE	8968186	success
llimport	LLGoFullLTOGlobalDCE	8265057	success
path-report	Go	2381190	success
path-report	TinyGo	116889	success
path-report	LLGoNoLTO	2176436	success
path-report	LLGoDeadcodeDrop	1469891	success
path-report	LLGoFullLTONoGlobalDCE	1791811	success
path-report	LLGoFullLTOGlobalDCE	1346060	success
sha256	Go	2780972	success
sha256	TinyGo	287449	success
sha256	LLGoNoLTO	3131985	success
sha256	LLGoDeadcodeDrop	1934530	success
sha256	LLGoFullLTONoGlobalDCE	2658258	success
sha256	LLGoFullLTOGlobalDCE	1764916	success
word-count	Go	2253620	success
word-count	TinyGo	86834	success
word-count	LLGoNoLTO	1796555	success
word-count	LLGoDeadcodeDrop	1112054	success
word-count	LLGoFullLTONoGlobalDCE	1409803	success
word-count	LLGoFullLTOGlobalDCE	996122	success
base64-js	Go	2322402	success
base64-js	TinyGo	172302	success
base64-js	LLGoNoLTO	2070138	success
base64-js	LLGoDeadcodeDrop	1174333	success
base64-js	LLGoFullLTONoGlobalDCE	1846459	success
base64-js	LLGoFullLTOGlobalDCE	1083325	success
checksum-js	Go	2311672	success
checksum-js	TinyGo	169609	success
checksum-js	LLGoNoLTO	2050030	success
checksum-js	LLGoDeadcodeDrop	1146265	success
checksum-js	LLGoFullLTONoGlobalDCE	1810952	success
checksum-js	LLGoFullLTOGlobalDCE	1047667	success
convolution-js	Go	2638493	success
convolution-js	TinyGo	165385	success
convolution-js	LLGoNoLTO	3276416	success
convolution-js	LLGoDeadcodeDrop	1823274	success
convolution-js	LLGoFullLTONoGlobalDCE	2937970	success
convolution-js	LLGoFullLTOGlobalDCE	1680286	success
fibonacci-js	Go	2274375	success
fibonacci-js	TinyGo	141855	success
fibonacci-js	LLGoNoLTO	1796820	success
