app	config	bytes	status
base64	Go	2275731	success
base64	TinyGo	96760	success
base64	LLGoNoLTO	1668133	success
base64	LLGoDeadcodeDrop	1007570	success
base64	LLGoFullLTONoGlobalDCE	1303233	success
base64	LLGoFullLTOGlobalDCE	909205	success
checksum	Go	2264417	success
checksum	TinyGo	92685	success
checksum	LLGoNoLTO	1645022	success
checksum	LLGoDeadcodeDrop	979858	success
checksum	LLGoFullLTONoGlobalDCE	1273456	success
checksum	LLGoFullLTOGlobalDCE	876603	success
convolution	Go	2608089	success
convolution	TinyGo	201149	success
convolution	LLGoNoLTO	2796541	success
convolution	LLGoDeadcodeDrop	1629646	success
convolution	LLGoFullLTONoGlobalDCE	2347833	success
convolution	LLGoFullLTOGlobalDCE	1469493	success
fibonacci	Go	2230899	success
fibonacci	TinyGo	62386	success
fibonacci	LLGoNoLTO	1378815	success
fibonacci	LLGoDeadcodeDrop	904870	success
fibonacci	LLGoFullLTONoGlobalDCE	1108553	success
fibonacci	LLGoFullLTOGlobalDCE	816062	success
grep	Go	2848917	success
grep	TinyGo	303772	success
grep	LLGoNoLTO	2370129	success
grep	LLGoDeadcodeDrop	1578256	success
grep	LLGoFullLTONoGlobalDCE	1922296	success
grep	LLGoFullLTOGlobalDCE	1413477	success
glob	Go	2257634	success
glob	TinyGo	93153	success
glob	LLGoNoLTO	1836124	success
glob	LLGoDeadcodeDrop	1138409	success
glob	LLGoFullLTONoGlobalDCE	1465429	success
glob	LLGoFullLTOGlobalDCE	1028492	success
json-roundtrip	Go	3314587	success
json-roundtrip	TinyGo	493590	success
json-roundtrip	LLGoNoLTO	4104044	success
json-roundtrip	LLGoDeadcodeDrop	2486375	success
json-roundtrip	LLGoFullLTONoGlobalDCE	3466588	success
json-roundtrip	LLGoFullLTOGlobalDCE	2364513	success
llimport	Go	8423078	success
llimport	TinyGo	null	failed
llimport	LLGoNoLTO	12431338	success
llimport	LLGoDeadcodeDrop	10958096	success
llimport	LLGoFullLTONoGlobalDCE	8968125	success
llimport	LLGoFullLTOGlobalDCE	8264996	success
path-report	Go	2381190	success
path-report	TinyGo	116889	success
path-report	LLGoNoLTO	2176374	success
path-report	LLGoDeadcodeDrop	1469642	success
path-report	LLGoFullLTONoGlobalDCE	1791750	success
path-report	LLGoFullLTOGlobalDCE	1345795	success
sha256	Go	2780972	success
sha256	TinyGo	287449	success
sha256	LLGoNoLTO	3131923	success
sha256	LLGoDeadcodeDrop	1934468	success
sha256	LLGoFullLTONoGlobalDCE	2658197	success
sha256	LLGoFullLTOGlobalDCE	1764855	success
word-count	Go	2253620	success
word-count	TinyGo	86834	success
word-count	LLGoNoLTO	1796493	success
word-count	LLGoDeadcodeDrop	1111805	success
word-count	LLGoFullLTONoGlobalDCE	1409742	success
word-count	LLGoFullLTOGlobalDCE	995872	success
