app	config	bytes	status
base64	Go	2275731	success
base64	TinyGo	96760	success
base64	LLGoNoLTO	1120973	success
base64	LLGoDeadcodeDrop	744537	success
base64	LLGoFullLTONoGlobalDCE	782276	success
base64	LLGoFullLTOGlobalDCE	596297	success
checksum	Go	2264417	success
checksum	TinyGo	92685	success
checksum	LLGoNoLTO	1098650	success
checksum	LLGoDeadcodeDrop	720721	success
checksum	LLGoFullLTONoGlobalDCE	766733	success
checksum	LLGoFullLTOGlobalDCE	577229	success
convolution	Go	2608055	success
convolution	TinyGo	201149	success
convolution	LLGoNoLTO	2147194	success
convolution	LLGoDeadcodeDrop	1491184	success
convolution	LLGoFullLTONoGlobalDCE	1518230	success
convolution	LLGoFullLTOGlobalDCE	1069497	success
fibonacci	Go	2230980	success
fibonacci	TinyGo	62386	success
fibonacci	LLGoNoLTO	976098	success
fibonacci	LLGoDeadcodeDrop	680003	success
fibonacci	LLGoFullLTONoGlobalDCE	499202	success
fibonacci	LLGoFullLTOGlobalDCE	474570	success
grep	Go	2848917	success
grep	TinyGo	303772	success
grep	LLGoNoLTO	1887234	success
grep	LLGoDeadcodeDrop	1425676	success
grep	LLGoFullLTONoGlobalDCE	1285643	success
grep	LLGoFullLTOGlobalDCE	1033734	success
glob	Go	2257634	success
glob	TinyGo	93153	success
glob	LLGoNoLTO	1516226	success
glob	LLGoDeadcodeDrop	1121124	success
glob	LLGoFullLTONoGlobalDCE	992478	success
glob	LLGoFullLTOGlobalDCE	779639	success
json-roundtrip	Go	3314554	success
json-roundtrip	TinyGo	493590	success
json-roundtrip	LLGoNoLTO	3046152	success
json-roundtrip	LLGoDeadcodeDrop	2126748	success
json-roundtrip	LLGoFullLTONoGlobalDCE	2184586	success
json-roundtrip	LLGoFullLTOGlobalDCE	1609178	success
path-report	Go	2381190	success
path-report	TinyGo	116889	success
path-report	LLGoNoLTO	1796861	success
path-report	LLGoDeadcodeDrop	1397655	success
path-report	LLGoFullLTONoGlobalDCE	1177742	success
path-report	LLGoFullLTOGlobalDCE	959554	success
sha256	Go	2780938	success
sha256	TinyGo	287449	success
sha256	LLGoNoLTO	2411124	success
sha256	LLGoDeadcodeDrop	1736847	success
sha256	LLGoFullLTONoGlobalDCE	1704091	success
sha256	LLGoFullLTOGlobalDCE	1258745	success
word-count	Go	2253620	success
word-count	TinyGo	86834	success
word-count	LLGoNoLTO	1483899	success
word-count	LLGoDeadcodeDrop	1097516	success
word-count	LLGoFullLTONoGlobalDCE	952427	success
word-count	LLGoFullLTOGlobalDCE	755860	success
