app	config	bytes	status
base64	Go	2275731	success
base64	TinyGo	96760	success
base64	LLGoNoLTO	1669591	success
base64	LLGoDeadcodeDrop	1008562	success
base64	LLGoFullLTONoGlobalDCE	1304475	success
base64	LLGoFullLTOGlobalDCE	910131	success
checksum	Go	2264417	success
checksum	TinyGo	92685	success
checksum	LLGoNoLTO	1646715	success
checksum	LLGoDeadcodeDrop	981026	success
checksum	LLGoFullLTONoGlobalDCE	1275017	success
checksum	LLGoFullLTOGlobalDCE	877777	success
convolution	Go	2608089	success
convolution	TinyGo	201149	success
convolution	LLGoNoLTO	2798938	success
convolution	LLGoDeadcodeDrop	1631473	success
convolution	LLGoFullLTONoGlobalDCE	2349817	success
convolution	LLGoFullLTOGlobalDCE	1471067	success
fibonacci	Go	2230899	success
fibonacci	TinyGo	62386	success
fibonacci	LLGoNoLTO	1380344	success
fibonacci	LLGoDeadcodeDrop	905889	success
fibonacci	LLGoFullLTONoGlobalDCE	1109991	success
fibonacci	LLGoFullLTOGlobalDCE	817183	success
grep	Go	2848917	success
grep	TinyGo	303772	success
grep	LLGoNoLTO	2374075	success
grep	LLGoDeadcodeDrop	1581224	success
grep	LLGoFullLTONoGlobalDCE	1925314	success
grep	LLGoFullLTOGlobalDCE	1415809	success
glob	Go	2257634	success
glob	TinyGo	93153	success
glob	LLGoNoLTO	1837661	success
glob	LLGoDeadcodeDrop	1139481	success
glob	LLGoFullLTONoGlobalDCE	1466852	success
glob	LLGoFullLTOGlobalDCE	1029586	success
json-roundtrip	Go	3314587	success
json-roundtrip	TinyGo	493590	success
json-roundtrip	LLGoNoLTO	4109588	success
json-roundtrip	LLGoDeadcodeDrop	2489965	success
json-roundtrip	LLGoFullLTONoGlobalDCE	3471378	success
json-roundtrip	LLGoFullLTOGlobalDCE	2367923	success
llimport	Go	8423078	success
llimport	TinyGo	null	failed
llimport	LLGoNoLTO	12449463	success
llimport	LLGoDeadcodeDrop	10974717	success
llimport	LLGoFullLTONoGlobalDCE	8983296	success
llimport	LLGoFullLTOGlobalDCE	8280240	success
path-report	Go	2381190	success
path-report	TinyGo	116889	success
path-report	LLGoNoLTO	2178267	success
path-report	LLGoDeadcodeDrop	1471075	success
path-report	LLGoFullLTONoGlobalDCE	1793662	success
path-report	LLGoFullLTOGlobalDCE	1347254	success
sha256	Go	2780972	success
sha256	TinyGo	287449	success
sha256	LLGoNoLTO	3134390	success
sha256	LLGoDeadcodeDrop	1936383	success
sha256	LLGoFullLTONoGlobalDCE	2660107	success
sha256	LLGoFullLTOGlobalDCE	1766317	success
word-count	Go	2253620	success
word-count	TinyGo	86834	success
word-count	LLGoNoLTO	1798109	success
word-count	LLGoDeadcodeDrop	1112994	success
word-count	LLGoFullLTONoGlobalDCE	1411077	success
word-count	LLGoFullLTOGlobalDCE	996877	success
