app	config	bytes	status
base64	Go	2275731	success
base64	TinyGo	96760	success
base64	LLGoNoLTO	1122588	success
base64	LLGoDeadcodeDrop	733382	success
base64	LLGoFullLTONoGlobalDCE	784224	success
base64	LLGoFullLTOGlobalDCE	587841	success
checksum	Go	2264417	success
checksum	TinyGo	92685	success
checksum	LLGoNoLTO	1113118	success
checksum	LLGoDeadcodeDrop	722821	success
checksum	LLGoFullLTONoGlobalDCE	773733	success
checksum	LLGoFullLTOGlobalDCE	575765	success
convolution	Go	2608089	success
convolution	TinyGo	201149	success
convolution	LLGoNoLTO	2177860	success
convolution	LLGoDeadcodeDrop	1504414	success
convolution	LLGoFullLTONoGlobalDCE	1533271	success
convolution	LLGoFullLTOGlobalDCE	1074286	success
fibonacci	Go	2230899	success
fibonacci	TinyGo	62386	success
fibonacci	LLGoNoLTO	986317	success
fibonacci	LLGoDeadcodeDrop	681873	success
fibonacci	LLGoFullLTONoGlobalDCE	502974	success
fibonacci	LLGoFullLTOGlobalDCE	473192	success
grep	Go	2848917	success
grep	TinyGo	303772	success
grep	LLGoNoLTO	1902618	success
grep	LLGoDeadcodeDrop	1427912	success
grep	LLGoFullLTONoGlobalDCE	1293915	success
grep	LLGoFullLTOGlobalDCE	1032119	success
glob	Go	2257634	success
glob	TinyGo	93153	success
glob	LLGoNoLTO	1531562	success
glob	LLGoDeadcodeDrop	1123458	success
glob	LLGoFullLTONoGlobalDCE	1000935	success
glob	LLGoFullLTOGlobalDCE	778219	success
json-roundtrip	Go	3314587	success
json-roundtrip	TinyGo	493590	success
json-roundtrip	LLGoNoLTO	3078118	success
json-roundtrip	LLGoDeadcodeDrop	2134042	success
json-roundtrip	LLGoFullLTONoGlobalDCE	2207895	success
json-roundtrip	LLGoFullLTOGlobalDCE	1613569	success
llimport	Go	8423078	success
llimport	TinyGo	null	failed
llimport	LLGoNoLTO	10347467	success
llimport	LLGoDeadcodeDrop	9436298	success
llimport	LLGoFullLTONoGlobalDCE	7438236	success
llimport	LLGoFullLTOGlobalDCE	6829008	success
path-report	Go	2381190	success
path-report	TinyGo	116889	success
path-report	LLGoNoLTO	1811908	success
path-report	LLGoDeadcodeDrop	1399675	success
path-report	LLGoFullLTONoGlobalDCE	1185674	success
path-report	LLGoFullLTOGlobalDCE	957684	success
sha256	Go	2780972	success
sha256	TinyGo	287449	success
sha256	LLGoNoLTO	2431240	success
sha256	LLGoDeadcodeDrop	1739308	success
sha256	LLGoFullLTONoGlobalDCE	1718454	success
sha256	LLGoFullLTOGlobalDCE	1258921	success
word-count	Go	2253620	success
word-count	TinyGo	86834	success
word-count	LLGoNoLTO	1499362	success
word-count	LLGoDeadcodeDrop	1099870	success
word-count	LLGoFullLTONoGlobalDCE	960142	success
word-count	LLGoFullLTOGlobalDCE	754849	success
