app	config	bytes	status
base64	Go	2275731	success
base64	TinyGo	96760	success
base64	LLGoNoLTO	1122784	success
base64	LLGoDeadcodeDrop	733689	success
base64	LLGoFullLTONoGlobalDCE	784503	success
base64	LLGoFullLTOGlobalDCE	587977	success
checksum	Go	2264417	success
checksum	TinyGo	92685	success
checksum	LLGoNoLTO	1113327	success
checksum	LLGoDeadcodeDrop	723022	success
checksum	LLGoFullLTONoGlobalDCE	774025	success
checksum	LLGoFullLTOGlobalDCE	575901	success
convolution	Go	2608089	success
convolution	TinyGo	201149	success
convolution	LLGoNoLTO	2183930	success
convolution	LLGoDeadcodeDrop	1508022	success
convolution	LLGoFullLTONoGlobalDCE	1537032	success
convolution	LLGoFullLTOGlobalDCE	1078568	success
fibonacci	Go	2230899	success
fibonacci	TinyGo	62386	success
fibonacci	LLGoNoLTO	986521	success
fibonacci	LLGoDeadcodeDrop	682068	success
fibonacci	LLGoFullLTONoGlobalDCE	503253	success
fibonacci	LLGoFullLTOGlobalDCE	473326	success
grep	Go	2848917	success
grep	TinyGo	303772	success
grep	LLGoNoLTO	1903319	success
grep	LLGoDeadcodeDrop	1428597	success
grep	LLGoFullLTONoGlobalDCE	1294473	success
grep	LLGoFullLTOGlobalDCE	1032677	success
glob	Go	2257634	success
glob	TinyGo	93153	success
glob	LLGoNoLTO	1531761	success
glob	LLGoDeadcodeDrop	1123660	success
glob	LLGoFullLTONoGlobalDCE	1001162	success
glob	LLGoFullLTOGlobalDCE	778437	success
json-roundtrip	Go	3314587	success
json-roundtrip	TinyGo	493590	success
json-roundtrip	LLGoNoLTO	3087906	success
json-roundtrip	LLGoDeadcodeDrop	2141629	success
json-roundtrip	LLGoFullLTONoGlobalDCE	2212914	success
json-roundtrip	LLGoFullLTOGlobalDCE	1619521	success
llimport	Go	8423078	success
llimport	TinyGo	null	failed
llimport	LLGoNoLTO	10464734	success
llimport	LLGoDeadcodeDrop	9550206	success
llimport	LLGoFullLTONoGlobalDCE	7533978	success
llimport	LLGoFullLTOGlobalDCE	6922236	success
path-report	Go	2381190	success
path-report	TinyGo	116889	success
path-report	LLGoNoLTO	1812131	success
path-report	LLGoDeadcodeDrop	1399880	success
path-report	LLGoFullLTONoGlobalDCE	1186066	success
path-report	LLGoFullLTOGlobalDCE	958060	success
sha256	Go	2780972	success
sha256	TinyGo	287449	success
sha256	LLGoNoLTO	2437287	success
sha256	LLGoDeadcodeDrop	1742784	success
sha256	LLGoFullLTONoGlobalDCE	1722089	success
sha256	LLGoFullLTOGlobalDCE	1263037	success
word-count	Go	2253620	success
word-count	TinyGo	86834	success
word-count	LLGoNoLTO	1499572	success
word-count	LLGoDeadcodeDrop	1100063	success
word-count	LLGoFullLTONoGlobalDCE	960366	success
word-count	LLGoFullLTOGlobalDCE	755076	success
