app	config	bytes	status
base64	Go	2275731	success
base64	TinyGo	96760	success
base64	LLGoNoLTO	1754176	success
base64	LLGoDeadcodeDrop	null	failed
base64	LLGoFullLTONoGlobalDCE	1329279	success
base64	LLGoFullLTOGlobalDCE	939793	success
checksum	Go	2264417	success
checksum	TinyGo	92685	success
checksum	LLGoNoLTO	1732281	success
checksum	LLGoDeadcodeDrop	null	failed
checksum	LLGoFullLTONoGlobalDCE	1307085	success
checksum	LLGoFullLTOGlobalDCE	911307	success
convolution	Go	2608089	success
convolution	TinyGo	201149	success
convolution	LLGoNoLTO	3042069	success
convolution	LLGoDeadcodeDrop	null	failed
convolution	LLGoFullLTONoGlobalDCE	2527006	success
convolution	LLGoFullLTOGlobalDCE	1641465	success
fibonacci	Go	2230899	success
fibonacci	TinyGo	62386	success
fibonacci	LLGoNoLTO	1429326	success
fibonacci	LLGoDeadcodeDrop	null	failed
fibonacci	LLGoFullLTONoGlobalDCE	1142711	success
fibonacci	LLGoFullLTOGlobalDCE	851088	success
grep	Go	2848917	success
grep	TinyGo	303772	success
grep	LLGoNoLTO	2582908	success
grep	LLGoDeadcodeDrop	null	failed
grep	LLGoFullLTONoGlobalDCE	2062959	success
grep	LLGoFullLTOGlobalDCE	1556218	success
glob	Go	2257634	success
glob	TinyGo	93153	success
glob	LLGoNoLTO	2013777	success
glob	LLGoDeadcodeDrop	null	failed
glob	LLGoFullLTONoGlobalDCE	1590410	success
glob	LLGoFullLTOGlobalDCE	1153635	success
json-roundtrip	Go	3314587	success
json-roundtrip	TinyGo	493590	success
json-roundtrip	LLGoNoLTO	4548364	success
json-roundtrip	LLGoDeadcodeDrop	null	failed
json-roundtrip	LLGoFullLTONoGlobalDCE	3698831	success
json-roundtrip	LLGoFullLTOGlobalDCE	2613227	success
llimport	Go	8423078	success
llimport	TinyGo	null	failed
llimport	LLGoNoLTO	35205474	success
llimport	LLGoDeadcodeDrop	null	failed
llimport	LLGoFullLTONoGlobalDCE	11290697	success
llimport	LLGoFullLTOGlobalDCE	10570282	success
path-report	Go	2381190	success
path-report	TinyGo	116889	success
path-report	LLGoNoLTO	2366448	success
path-report	LLGoDeadcodeDrop	null	failed
path-report	LLGoFullLTONoGlobalDCE	1930714	success
path-report	LLGoFullLTOGlobalDCE	1484984	success
sha256	Go	2780972	success
sha256	TinyGo	287449	success
sha256	LLGoNoLTO	3384307	success
sha256	LLGoDeadcodeDrop	null	failed
sha256	LLGoFullLTONoGlobalDCE	2805486	success
sha256	LLGoFullLTOGlobalDCE	1919402	success
word-count	Go	2253620	success
word-count	TinyGo	86834	success
word-count	LLGoNoLTO	1972982	success
word-count	LLGoDeadcodeDrop	null	failed
word-count	LLGoFullLTONoGlobalDCE	1532977	success
word-count	LLGoFullLTOGlobalDCE	1119783	success
