app	config	bytes	status
base64	Go	2275731	success
base64	TinyGo	96760	success
base64	LLGoNoLTO	1120970	success
base64	LLGoDeadcodeDrop	744525	success
base64	LLGoFullLTONoGlobalDCE	782279	success
base64	LLGoFullLTOGlobalDCE	596317	success
checksum	Go	2264417	success
checksum	TinyGo	92685	success
checksum	LLGoNoLTO	1098641	success
checksum	LLGoDeadcodeDrop	720719	success
checksum	LLGoFullLTONoGlobalDCE	766749	success
checksum	LLGoFullLTOGlobalDCE	577246	success
convolution	Go	2608055	success
convolution	TinyGo	201149	success
convolution	LLGoNoLTO	2147197	success
convolution	LLGoDeadcodeDrop	1491186	success
convolution	LLGoFullLTONoGlobalDCE	1518232	success
convolution	LLGoFullLTOGlobalDCE	1069489	success
fibonacci	Go	2230980	success
fibonacci	TinyGo	62386	success
fibonacci	LLGoNoLTO	976102	success
fibonacci	LLGoDeadcodeDrop	680003	success
fibonacci	LLGoFullLTONoGlobalDCE	499215	success
fibonacci	LLGoFullLTOGlobalDCE	474575	success
grep	Go	2848917	success
grep	TinyGo	303772	success
grep	LLGoNoLTO	1887235	success
grep	LLGoDeadcodeDrop	1425672	success
grep	LLGoFullLTONoGlobalDCE	1285652	success
grep	LLGoFullLTOGlobalDCE	1033751	success
glob	Go	2257634	success
glob	TinyGo	93153	success
glob	LLGoNoLTO	1516228	success
glob	LLGoDeadcodeDrop	1121116	success
glob	LLGoFullLTONoGlobalDCE	992498	success
glob	LLGoFullLTOGlobalDCE	779649	success
json-roundtrip	Go	3314554	success
json-roundtrip	TinyGo	493590	success
json-roundtrip	LLGoNoLTO	3046163	success
json-roundtrip	LLGoDeadcodeDrop	2126756	success
json-roundtrip	LLGoFullLTONoGlobalDCE	2184607	success
json-roundtrip	LLGoFullLTOGlobalDCE	1609188	success
path-report	Go	2381190	success
path-report	TinyGo	116889	success
path-report	LLGoNoLTO	1796846	success
path-report	LLGoDeadcodeDrop	1397645	success
path-report	LLGoFullLTONoGlobalDCE	1177751	success
path-report	LLGoFullLTOGlobalDCE	959568	success
sha256	Go	2780938	success
sha256	TinyGo	287449	success
sha256	LLGoNoLTO	2411116	success
sha256	LLGoDeadcodeDrop	1736847	success
sha256	LLGoFullLTONoGlobalDCE	1704122	success
sha256	LLGoFullLTOGlobalDCE	1258761	success
word-count	Go	2253620	success
word-count	TinyGo	86834	success
word-count	LLGoNoLTO	1483903	success
word-count	LLGoDeadcodeDrop	1097516	success
word-count	LLGoFullLTONoGlobalDCE	952446	success
word-count	LLGoFullLTOGlobalDCE	755875	success
